author_id,author,orcid,openalex_id,scopus_id,wikipedia_url,updated_date,created_date
5005471330,一江 一場,,A5005471330,,,2024-05-08,2023-07-21
5047936248,F Stamm,,A5047936248,,,2024-06-06,2023-07-21
5098156239,Brundiers,,A5098156239,,,2024-06-11,2024-05-15
5001128226,Michele Novellino,,A5001128226,,,2024-06-06,2023-07-21
5055396947,Anycléia Samily Barbosa,,A5055396947,,,2024-06-10,2023-07-21
5095965346,sanae kagari,,A5095965346,,,2024-07-19,2024-05-02
5092140232,Lorrie MacKinnon,,A5092140232,,,2024-05-17,2023-09-07
5022899040,S. Seth,,A5022899040,,,2024-06-10,2023-07-21
5096516330,直信 見目,,A5096516330,,,2024-05-16,2024-05-07
5028079907,良 吉松,,A5028079907,,,2024-05-08,2023-07-21
5018593653,Carlos Martins,0000-0002-7816-0384,A5018593653,,,2024-08-21,2023-07-21
5070274831,R Ragni,,A5070274831,,,2024-06-05,2023-07-21
5004702791,Frank H. Lee,,A5004702791,,,2024-08-21,2023-07-21
5014503708,Samantha Seeley,,A5014503708,,,2024-06-08,2023-07-21
5069454697,Atwater,,A5069454697,,,2024-06-06,2023-07-21
5073455892,翔平 東山,,A5073455892,,,2024-06-13,2023-07-21
5082162007,A. B. Durand,,A5082162007,,,2024-05-11,2023-07-21
5045846497,隆也 糸井,,A5045846497,,,2024-05-10,2023-07-21
5100685401,Rong Tang,0000-0001-7142-6250,A5100685401,,,2024-08-22,2024-07-11
5081359152,M. Bredin,,A5081359152,,,2024-06-07,2023-07-21
5056359482,Ilya Zdanevich,,A5056359482,,,2024-06-11,2023-07-21
5016872845,Richard Byaruhanga,,A5016872845,,,2024-08-18,2023-07-21
5002894511,Thi Thuy Anh Tran,,A5002894511,,,2024-07-09,2023-07-21
5013319426,Л Е Байрамян,,A5013319426,,,2024-05-07,2023-07-21
5046455882,R MOND,,A5046455882,,,2024-06-25,2023-07-21
5082860641,R. E. McCRADY,,A5082860641,,,2024-06-08,2023-07-21
5071713129,A. Mezzetii,,A5071713129,,,2024-05-09,2023-07-21
5037328220,박녹,,A5037328220,,,2024-05-13,2023-07-21
5046264889,Walter S. Ryder,,A5046264889,,,2024-06-13,2023-07-21
5045942409,J. S Weiner,,A5045942409,,,2024-06-07,2023-07-21
5104682376,Sushma Madhusudan Betgeri,,A5104682376,,,2024-07-28,2024-07-19
5059447591,Rózsa V. Raisz,,A5059447591,,,2024-06-12,2023-07-21
5062406745,Mohd Hazizee Shahri,,A5062406745,,,2024-06-13,2023-07-21
5062689765,Morihiko Ohta,,A5062689765,,,2024-07-09,2023-07-21
5082370662,Khuld Abdullah Alhudaithi,,A5082370662,,,2024-08-19,2023-07-21
5023470131,Min-Jia Qian,,A5023470131,,,2024-08-08,2023-07-21
5095098211,J.A. ZAPATA-GONZÁLEZ DÁVILA-CEPEDAA,,A5095098211,,,2024-06-11,2024-04-11
5003350650,Zakieh Farabi Khanghahi,,A5003350650,,,2024-06-10,2023-07-21
5096305642,K. S.,,A5096305642,,,2024-05-14,2024-05-06
5058466414,Joannes Mewis,,A5058466414,,,2024-08-24,2023-07-21
5027899671,Rene Kasper Nielsen,,A5027899671,,,2024-07-08,2023-07-21
5103468929,Huiyun Yang,,A5103468929,,,2024-08-24,2024-07-14
5054110371,S. von Witzke,,A5054110371,,,2024-08-16,2023-07-21
5070955545,Marisa Derman,,A5070955545,,,2024-08-26,2023-07-21
5105496585,積山 和加子,,A5105496585,,,2024-08-22,2024-07-30
5019617138,최유임,,A5019617138,,,2024-08-10,2023-07-21
5021215378,额日敦朝古拉,,A5021215378,,,2024-05-09,2023-07-21
5000133380,Claude Chevally,,A5000133380,,,2024-05-11,2023-07-21
5021890880,Von Rokitansky,,A5021890880,,,2024-06-09,2023-07-21
5049134415,B. Schmitt,,A5049134415,,,2024-08-17,2023-07-21
5065190683,Revista Logos,,A5065190683,,,2024-08-18,2023-07-21
5083905260,Stela Gheorghița,,A5083905260,,,2024-08-26,2023-07-21
5057479374,Vu Hong Hung,,A5057479374,,,2024-06-07,2023-07-21
5098294417,G VANDERSTRAETEN,,A5098294417,,,2024-06-12,2024-05-16
5025494356,別蓮蒂,,A5025494356,,,2024-05-12,2023-07-21
5062823437,Rachana Oak-Dhamapurkar,,A5062823437,,,2024-06-11,2023-07-21
5053627210,Carmen Lucrecia,,A5053627210,,,2024-06-11,2023-07-21
5001876589,B. M. Sumer,,A5001876589,,,2024-05-22,2023-07-21
5044824125,Tamir Arbel,,A5044824125,,,2024-08-20,2023-07-21
5040201196,Ivanise Andrade Melo De Almeida,,A5040201196,,,2024-06-11,2023-07-21
5000951385,Edward B. Stockham,,A5000951385,,,2024-06-10,2023-07-21
5015472081,Changyan Yu,0000-0003-1243-022X,A5015472081,,,2024-08-21,2023-07-21
5020196988,Katrina Smith Korfmacher,0000-0002-8926-4082,A5020196988,,,2024-08-25,2023-07-21
5059468071,Robert Étienne,,A5059468071,,,2024-08-20,2023-07-21
5057201768,H. Kim,,A5057201768,,,2024-06-06,2023-07-21
5046014136,R Schroder,,A5046014136,,,2024-06-08,2023-07-21
5001030592,正二 東田,,A5001030592,,,2024-06-07,2023-07-21
5029707429,Наталія Костенко,,A5029707429,,,2024-07-02,2023-07-21
5006260358,Jean-Philippe Dupérier,,A5006260358,,,2024-06-10,2023-07-21
5098579756,Alia Baker Danch,,A5098579756,,,2024-06-13,2024-05-17
5022983495,О.К. Комилов,,A5022983495,,,2024-05-11,2023-07-21
5011932530,A. V. Kravchuk,,A5011932530,,,2024-06-09,2023-07-21
5014555550,Sue Rife Mullins,,A5014555550,,,2024-08-11,2023-07-21
5026023253,Jamie Eggleston Stowe,,A5026023253,,,2024-08-20,2023-07-21
5080534534,Jorien Kraijenbrink,,A5080534534,,,2024-08-19,2023-07-21
5060626508,Jacques Dumonteil,,A5060626508,,,2024-06-07,2023-07-21
5010172581,J. Michael Schell,,A5010172581,,,2024-06-11,2023-07-21
5105372183,Alírio H. de Matos,,A5105372183,,,2024-08-07,2024-07-30
5056651698,Feng Wu,0000-0003-4714-7707,A5056651698,,,2024-08-26,2023-07-21
5041486134,Marivone Santos,,A5041486134,,,2024-08-19,2023-07-21
5046369806,P. Serrault,,A5046369806,,,2024-05-13,2023-07-21
5029694622,S.N. Vaidya,,A5029694622,,,2024-08-08,2023-07-21
5018026061,D Rizzi,,A5018026061,,,2024-06-12,2023-07-21
5096375224,YamáUcJosé Edier,,A5096375224,,,2024-06-11,2024-05-06
5082106034,M. Kurtoyic,,A5082106034,,,2024-06-07,2023-07-21
5049396977,李載然,,A5049396977,,,2024-05-11,2023-07-21
5029592576,R. Zaremba,,A5029592576,,,2024-06-09,2023-07-21
5010802738,恵二 石埼,,A5010802738,,,2024-05-10,2023-07-21
5008113299,Bonnie Belle Barr,,A5008113299,,,2024-05-17,2023-07-21
5066377268,Giuseppe Belardinelli,,A5066377268,,,2024-08-20,2023-07-21
5095524818,Семен Васильович,,A5095524818,,,2024-07-19,2024-04-15
5048540464,Justine L. Waldman,,A5048540464,,,2024-08-07,2023-07-21
5073721123,Mario Gonzáles Ulloa,,A5073721123,,,2024-06-05,2023-07-21
5015837226,Frank Mc Keever,,A5015837226,,,2024-06-09,2023-07-21
5042043969,Paul Zwillenberg,,A5042043969,,,2024-06-08,2023-07-21
5104046326,Zhang Ziyang,,A5104046326,,,2024-08-24,2024-07-14
5003479385,S. A. Short,,A5003479385,,,2024-08-14,2023-07-21
5082907692,Marjory Banwell Mecredy,,A5082907692,,,2024-06-09,2023-07-21
5046553786,郭立芳,,A5046553786,,,2024-05-12,2023-07-21
5016283633,Iván Mesías Hidalgo Cajo,0000-0002-9059-0272,A5016283633,,,2024-08-21,2023-07-21
5093718842,Najme Zibaei,,A5093718842,,,2024-06-13,2024-01-18
5008181691,Nikolay Mozgovoy,,A5008181691,,,2024-07-27,2023-07-21
5049611654,سالار صادقی,,A5049611654,,,2024-05-08,2023-07-21
5040285846,Sourabh Mahadev Malewade,,A5040285846,,,2024-08-21,2023-07-21
5096750939,Muskat,,A5096750939,,,2024-06-13,2024-05-08
5074891448,Βασιλική Τουφάκη,,A5074891448,,,2024-05-09,2023-07-21
5017234106,조혜중,,A5017234106,,,2024-06-12,2023-07-21
5016501920,Mi-Seon Moon,,A5016501920,,,2024-05-12,2023-07-21
5075280608,Luis Román O.,,A5075280608,,,2024-06-12,2023-07-21
5010692562,順子 紺野,,A5010692562,,,2024-05-10,2023-07-21
5060667808,Cristina Carrapatoso,,A5060667808,,,2024-08-19,2023-07-21
5039905579,Drew Gantner,,A5039905579,,,2024-06-07,2023-07-21
5060168580,Andrés Basillo García Sánchez,,A5060168580,,,2024-08-20,2023-07-21
5054737588,仝江,,A5054737588,,,2024-05-13,2023-07-21
5096814683,E. Ebru,,A5096814683,,,2024-08-22,2024-05-08
5090252935,Tie-jiang Yuan,,A5090252935,,,2024-06-08,2023-07-21
5028164312,Nitikon Wongwaranon,,A5028164312,,,2024-06-07,2023-07-21
5058819330,司 松永,,A5058819330,,,2024-05-12,2023-07-21
5080002764,Mary-Kate Amato,,A5080002764,,,2024-08-21,2023-07-21
5023650634,María Cristina Isoba,,A5023650634,,,2024-06-08,2023-07-21
5006843122,Alice Milor,0000-0002-3964-8061,A5006843122,,,2024-08-19,2023-07-21
5091119888,Liang Ting,,A5091119888,,,2024-06-13,2023-07-21
5071177435,M.M.R. Slaghekke,,A5071177435,,,2024-05-16,2023-07-21
5032125734,Zhijun Hu,0000-0002-7777-8625,A5032125734,,,2024-08-03,2023-07-21
5089338017,Alvaro Posada Borrero,,A5089338017,,,2024-06-11,2023-07-21
5008744572,Huagen Liu,,A5008744572,,,2024-06-12,2023-07-21
5093926949,N. Karimpour,,A5093926949,,,2024-08-13,2024-02-15
5076630353,Bagci Sarper,,A5076630353,,,2024-05-11,2023-07-21
5035768977,Renato Vieira de Moraes,,A5035768977,,,2024-08-20,2023-07-21
5048219363,Erwin P. Meijer,0000-0002-3510-004X,A5048219363,,,2024-08-19,2023-07-21
5100496273,Sandeep Ravindran,,A5100496273,,,2024-08-22,2024-07-11
5069097223,Michael H. Sutton,,A5069097223,,,2024-08-24,2023-07-21
5082554650,Barış ÖZEN,,A5082554650,,,2024-08-20,2023-07-21
5081648832,Ramona Minguet,,A5081648832,,,2024-05-10,2023-07-21
5038625879,夏申,,A5038625879,,,2024-05-06,2023-07-21
5053346469,R Strianti,,A5053346469,,,2024-06-09,2023-07-21
5090951828,Yasuhide Numata,0000-0002-1228-7067,A5090951828,,,2024-08-19,2023-07-21
5043168187,R. Rifà-Ros,,A5043168187,,,2024-05-17,2023-07-21
5046690439,Liselott Ericson,0000-0002-3877-8147,A5046690439,,,2024-08-19,2023-07-21
5057220159,Sandra Schirmer,,A5057220159,,,2024-08-26,2023-07-21
5048872114,A Marheineke,,A5048872114,,,2024-05-18,2023-07-21
5081094038,Bruno Galmar,,A5081094038,,,2024-08-17,2023-07-21
5031003606,Susan Burch,,A5031003606,,,2024-08-25,2023-07-21
5066450669,Horst Mueller,,A5066450669,,,2024-06-08,2023-07-21
5049939407,Luciano Núñez,,A5049939407,,,2024-06-08,2023-07-21
5100784377,Felipe Torres,,A5100784377,,,2024-08-22,2024-07-11
5072351682,赵金博,,A5072351682,,,2024-05-07,2023-07-21
5077178605,Ellen Hall,,A5077178605,,,2024-08-26,2023-07-21
5072532256,Anissa Azis,,A5072532256,,,2024-05-16,2023-07-21
5095868902,George Saveljev,,A5095868902,,,2024-06-12,2024-04-25
5097040738,Σταύρος Χατζόπουλος,,A5097040738,,,2024-06-07,2024-05-10
