author_id,alternative_name_seq,alternative_name
5012695290,1,マークス アンドレアス
5084556437,1,Krystian Kucharewicz
5058891366,1,malihe shakeri
5082798955,3,Aurora Idilli
5104064653,1,L.W.M Roos
5104366318,2,Edward K. Wong
5065291845,2,P. S. Nystrom
5053378064,1,秦永方
5033303338,1,Taher Al‐Rawahi
5014939345,1,W. H. Lee
5029759872,2,Swapnil Umakant Wani
5023380702,1,Upton Wr
5069409233,1,Keunghyeong Park
5075047590,1,Motivarash Yagnesh B
5103230406,3,Ya‐Wen Cheng
5073540865,1,I. Pakvor
5053270559,1,Alicia Martínez Mañero
5059560015,2,Cynthia Johnston
5076903679,1,П.Ю. Тимохин
5011169391,2,R. V. Kretsu
5051163385,2,Alexei Lebedev
5050926664,1,Samantha Costa
5002070529,2,Joshua Buser
5021670250,2,Mingsheng Qin Mingsheng Qin
5007516263,1,SundayMusa Oguche
5051389759,1,E. E. Tozer
5031563126,1,林 靖久
5059839583,1,J. X. Hoo
5050985306,1,佳永 島野
5102386429,1,Rosa Brasal Manzanares
5012303808,1,M Gaffney
5034731570,1,Kimitoshi Okano
5044624169,1,Jim Acker
5009891794,1,Priscila Bertholo
5046866434,1,TU Aburime
5062243742,5,Guang‐Jie LIU
5059861775,1,N. Kibwami
5029937604,1,JR Sherbotie
5050681249,1,A.S. Ilnitskaya
5096382597,1,竜一 城岡
5094014483,1,MATEUS LEMOS CARREIA
5068261458,1,L Couture
5019577848,1,AL Obabiyi
5050281576,1,Fidanboylu
5053661911,1,Isaac Sibrian Henriquez Realegeño
5031598501,1,MinSik Chu
5091620824,2,K Galbraith
5104850391,1,D Dondurey
5103779159,2,N. Sagidova
5012193501,2,S. Elizabeth
5095801433,1,須田 茂樹
5088453555,1,曾正白
5079586035,1,شقایق روح الهی
5066573285,1,Ángel Sanz Villalba
5004972720,1,Е.И. Мальцев
5075334080,1,Kevin W. Robinette
5035088011,2,Faxian Shan
5015434240,2,B Bussel
5069702077,1,Orjuela Ramirez
5030284228,1,喻中
5000328892,2,Linnety Zita Lifumbela
5104582855,1,Naima Fdil
5035567832,1,R Liese
5076299513,1,Nancy Otero
5072557857,1,현병환
5101788638,4,Kailin Liang
5021255780,1,F. Seifert
5095855157,1,瑶真 李
5001321923,1,Jennifer Peoples
5023162427,1,Stephenie Hiu Yuet Chen
5089324530,4,Alexander R. Horswill
5090010301,1,Weda Wibawati
5080692511,1,S. Tiglie
5054694976,1,Sarai López Castro
5063562321,1,Traci Gabbard
5022743081,1,D. Kopyto
5101820334,2,Zhe Wang
5014632989,1,V.V. Chaika
5071284932,2,B Biadgo
5092618168,1,Courtney V. Hammill
5009574454,1,Husnija Kudić
5080866743,1,Waters Wr
5079829154,2,Luke Uzoigwe
5035669792,2,Eduardo Marcelo Moron de Andrade
5003510871,1,Susan Y. Carrigg
5078774078,2,Rong Teng‐Da
5000063765,1,Carina Widén
5014817484,1,Marti Ibanez F
5069766452,1,Mohd. Fahim Khan
5045254625,1,H Lee
5037677465,1,Mary Beth Sweetman
5024639379,2,Hayeon Chung
5084234025,2,Nikhil Khandge
5084751564,1,Ahlam Al Mohammad
5033006225,1,Sara H.M. Shareef
5055477261,1,P. Manonmani
5104200548,1,Weihong Tang
5062418405,1,Hyebin Cheon
5080373914,1,Shelli Renee Joye
5063299818,2,Diego A. Mendicino
5103529913,2,Rafael Díaz Nieto
5034798994,1,Shuan‐Ju Hung
5101476315,1,Guo Zhi‐Feng
5016209002,1,Claire Cocroft
5086201848,1,崔伟达
5029951206,1,Carrie Jacobs Bond
5056487086,2,Deborah Yip
5050823416,1,C. Cárdenas
5030636776,1,Giulio Colombo
5091071144,4,Nuri A. Temiz
5097751327,1,N. H. Moynihan
5067727018,2,K Buelow
5032370432,1,一弘 松尾
5047208527,1,J S Turem
5084700795,2,EDENIA SOARES DE FIGUEIREDO MACÁRIO
5065757728,1,Jiang Shuqing
5099061186,1,Belén Campos‐Martínez
5055279261,1,金玟冏
5102866965,4,Tamas Molnar
5033575952,4,Nabi Pérez Vásquez
5088316604,1,Solomon Matthew Prastein
5001868785,1,振程 胡
5070017069,1,M Soto
5010449923,1,paris . Coordination Nationale Pour La Défense Des Semences Fermières
5065485505,2,L Holmqvist
5099581897,1,ZHAI Cuihong
5025978792,1,Adriana Zarin Kronka
5032898279,1,João Paulo Aprígio Moreira
5020324924,1,Anuradha . Pandey
5046077465,5,K. M. Taylor
5054090571,2,T. Obel
5029181634,1,Wang Zhangfei
5006248766,1,田中広政
5001066193,1,A. D. Starikov
5087882691,1,M.C. Deng
5038243667,1,Birgit Lösch
5080272087,1,John Loeser
5001528950,1,ปารีณา ประยุกต์วงศ์
5099453889,1,Travis B. Williams
5061936903,1,Sri Rajiv
5064189769,4,G. Uzodinma Ugwuanyim
5012456183,1,M Crockett
5036532004,1,T. Okamura
5073285601,1,D R Leader
5083966621,1,Fernandez Magan
5033655472,1,素民 王
5079907158,1,وجیهه قندهاری
5009389206,1,Ruey‐Lin Lin
5006422391,1,Cameron Kiani
5079271572,1,Bede Siman Tang
5035973576,1,Maha Al Subaie
5086152815,10,C. O’Dwyer
5040440222,1,Claude . Auteur du texte Bréghot Du Lut
5050841211,1,Turq Alain
5001391487,1,بنیامین کیومرثی
5064508654,2,Jude Chukwuma
5019782130,1,E.A. Langan
5092980941,1,Firdha Hardianti
5009672006,1,C.D. Latham
5081703066,2,Joshua Jacob Fitzgerald
5023048593,1,Gerald Lee Harbour
5062094925,1,Pranita Aritrina
5101984820,2,Inoue Kazuhide
5102107877,1,Chang Qing Luo
5080524126,1,J. U. Felding
5072907207,1,Nurwalima Halawa
5000322983,6,Emma Quijada
5032445334,1,ZHALUO
5037117330,4,Zongtian Li
5031783597,1,Maximilian Jager
5074808609,2,Carsten Wikkels�
5053946794,2,Herrera Garzón
5087960092,2,S. Ramiah
5009812075,2,Д А Юрин
5057305601,1,B KC
5079237724,1,José Antonio Candela
5050852249,1,Brea Rj
5023976643,2,Robert P. Smilanich
5084097270,3,Eline Van De Wetering
5059144071,2,Bernard Hanzon
5094669682,1,Kolleginnenund Kollegen
5090210101,1,J. A. W.
5062558026,1,N Nurabiah
5047658368,2,C.‐L. Huang
5087862582,2,Ali Hopkins
5047773149,1,J. Rosset
5034499911,3,Y. E Jung
5045554576,1,Kim Golder
5073640393,1,R. H. Stier
5057349219,2,Pedro Martin Escribano
5015429730,1,F. N. Smalley
5043502227,1,David Cia
5029202367,2,Sarah Pachtman
5060929016,1,F.Yeşim Bozkurt
5059973874,3,Ramon Pacheco Pardo
5088376579,1,Eneida Lopes Ferreira Guimaraes Ricardo
5041721030,2,G. Ciancio
5078150574,1,Jian‐ke Sheng
5062608588,1,Pamela J Fulkerson
5055616888,1,彭宝珍
5009939642,2,Tang XinLian
5082794098,1,Benjamin Bockisch
5046948137,1,K.B. Donovan
5059103115,2,M Yakubi
5023883632,1,李专成
5036231822,1,吴绍长
5025410341,1,M.R. Trejo
5031072433,1,J. Magalhaes
5071561110,1,José Pilco
5001529442,1,H Hazama
5098501772,1,P. Karlson
5001350669,1,Olafuyi Olalekan
5001261380,1,Xavier Augusseau
5030630594,1,熊礼龙
5038598122,3,Kaitlin H. Maditz
5080286918,4,Mark Alan Prieksat
5039312163,3,Елена Петровна Ермачкова
5091283513,1,Koutarou Inse
5043062099,1,良平 孫田
5026530499,1,及川裕司
5045524032,1,C Sauter
5002306149,1,Akiko Fukup
5008041564,1,Ann Scott
5056585395,1,T. Tchangai
5004297437,1,F. X. Chen
5092492448,1,Siavash Manzoori
5046755663,1,Hui‐sun Je
5036911038,1,A. N. Chatterji
5025709910,1,A. Ianance
5014780994,1,能子 高野
5015986538,1,Trina Lapis
5009843075,1,Ilia Çano
5100674656,2,Dandan Song ‐
5062955220,1,Óscar Viramontes‐Olivas
5013651942,1,Long Earl
5101232714,1,Dipra Mitra
5038850315,4,M. Lagunas‐Solar
5041098387,1,早雄 鷲崎
5086757867,1,朱晓春
5052483995,1,翟惠娟
5046189764,3,Mendoza Encinas
5008061670,1,Aparna Kaistha
5022086258,1,FABIO DE SÁ ROMEU
5014776568,1,Farmin A. Moayed
5074438533,1,A. VOVIAN
5025617905,5,F. C. Campbell
5016428923,1,K. Ivanitskii
5033040114,1,Thorin Tabor
5079726044,1,Moore Nd
5030302038,1,Wafa Treidi
5005991726,17,Jin‐liang Gu
5014103268,8,Kirdyashkin A.I.
5091282530,1,Emre Kaçan
5013418452,1,Caner Köse
5063000450,1,Renan Nakamura Lopes da Silva
5059012754,1,吴丽琼
5007081920,1,Frank Merken
5035612619,2,Shota Kamei
5022843780,1,О С Потапова
5079429438,2,Fábia Daniela Lobo de Sá
5106270520,1,Amanda Ardita Panjaitan
5072246733,1,Paul Varhegyi
5096208281,1,真杉 井上
5092516776,1,S.M. Zheliznyak
5019135941,1,三千雄 太田
5101286581,1,Yunfeng She
5012531713,1,昭子 高橋
5035527155,1,G. Durand
5065537709,1,Brandon Welbourn
5073964009,2,Simran Deep Kaur
5040418453,2,T. Carrard
5008100747,1,Chenhui SONG
5001178629,1,清彦 鈴木
5046829341,3,Yu Hong
5006455751,1,Olga Tiunova
5044701643,2,M R Mahvi
5073594808,1,M Lerinţiu
5078531776,1,光朗 村上
5017533251,1,吴帝
5053981432,1,许欣景
5016715425,1,Ossi Kalenius
5001768913,1,Roman Zingarelli
5057891610,1,K. V. Prozorovskij
5065963555,3,Celia Rifkin
5092208072,1,Tatjana Veličković
5084116207,1,Tim Sexton
5018752521,1,Iman W. Aminata
5023407281,1,Nilay GÜRLEYEN
5029359887,1,I. ... Nacef
5079071113,1,Joan‐Carles Alonso‐Campos
5034708536,3,QI ZHONG
5026125763,2,Joy Griffin
5101015868,4,Feng Yudong
5060787758,2,H.Bryan Donkin
5003936896,1,Hai‐jiang Zhang
5076386552,1,JA Escuder
5101144897,1,Zhonghao Zhu
5012114826,1,Kopka
5011428483,1,Dongheng Hao
5006975410,1,Pitsamai Homjumpa
5063905557,2,M. Emin Asker
5002181896,1,J.J. Kai
5016557117,1,Miriana I. Doneva
5096456073,1,陆路
5043131032,1,Uttamjeet Kaur
5053862045,3,Ferdaous Guasmi
5083352803,1,T Sellaroli
5049862354,2,Sarah Isabel Pfeiffer
5035250699,1,张全亮
5044978023,2,A. Traça Almeida
5013928191,1,Roberto Boldú de Luelmo
5039329940,2,Amani A.H. Zayed
5086384976,1,Ari Honka‐Hallila
5091660760,1,Kleber A. Lima Francisco
5056644474,1,А Т Канаев
5086434090,1,Abilene Nascimento Gouvêa
5023360869,1,骆从燕
5032123736,1,K. N. Pukhilas
5030154418,1,Deying Meng
5054872112,7,Belkıs Atasever
5072811084,1,Que Bang‐liu
5003261914,1,P. Wagner
5102333774,1,JR Diwan
5035820064,1,I. Watts
5031971940,1,María José Ortega Heras
5046856679,1,Hikmat Desfriansyah
5041589749,1,D. Kröpfl
5065272857,2,Deepak Vaghela
5104788896,1,Christopher J. Coyne
5054415591,1,Sergey Bogidayev
5101847887,1,Yuriko Okamura
5026322226,1,J. C. Medrano
5061354065,1,Erkki Heinaenen
5013255290,2,Paula Alejandra Blanco
5058097660,1,Baboki Jonathan Dambe
5100658118,2,X. Gao
5003700260,1,J F Tokarsky
5102456435,2,Laurie A Dempsey
5016639432,1,E. L.
5022403805,1,WA Zeng‐cheng
5099285874,1,C. Moulopoulos
5073938156,2,Rodrigo Cristofoletti
5059526362,1,Adeel A rif
5022104089,2,C T Lu
5029199956,1,D Gauthier
5083517850,1,Susanne Potucek
5068335188,1,Danielle E. Weaver
5033746259,1,ขนิษฐา เสถียรพีระกุล
5006685517,1,Rumanty Pardede
5083366907,1,Yael Nechemya
5039800415,1,Elway Olkeriil Lewis
5089582750,1,E. Søreide
5043467058,1,J. F. Witty
5101592950,3,Surya Prakash Singh
5006093027,1,秀明 駒木
5016320866,2,David Andres
5094738428,1,Matthew Aina
5025543218,1,David Vasir
5105891966,1,Sandra Leone
5103740480,1,MF Yousif
5017691219,2,V. V. Hegai
5075191474,2,А. Соломевич
5043365624,1,Eka Natalia
5033097921,1,김일현
5098621824,1,Stephanie Boluk
5019648194,5,Paul V. Puzinauskas
5043826736,2,Sun Bin Yim
5060681414,1,Margaux Dehon
5084435044,1,Helen Rose Lopes dos Santos
5006234282,1,Byeongchul Lee
5101951150,2,A. A. Khan
5079113295,1,湊 川口
5033337264,1,Л. В. Макєєва
5089759265,2,M. Madan Mohan
5023723196,2,Tong Ying
5039938882,1,Alexandr Riehokainen
5079358790,3,Shulai Huang
5101892191,4,Carlos Velázquez
5089317033,3,Alain Jodi Corso
5004292417,2,James G. Bumstead
5100613405,4,Chen Lixiang
5008145005,1,Julianne Flora
5014010515,1,Saleh Abu Alkhir
5085064588,5,Samy A. Darwish
5101682970,3,Ş. Uzun
5090023240,1,Z. Kedzior
5041517368,1,Wenzhou
5047396412,1,Peter Jambai
5035223196,4,S. C. Spevack
5025249213,1,Sangyun Kim
5012422070,1,杨柳婧
5059617825,1,小玉高弘
5010935316,1,Alexander Saffran
5092011950,1,Oxana P. Goryacheva
5019197077,1,晴雄 大國
5022559664,8,M.S. Wong
5038625020,1,庞培刚
5011956682,1,P. Tirelli
5030975951,1,Wang Jing
5076764763,2,N. Whitehouse
5075981704,1,Katharina Willems
5092720089,1,Marcos Welliton Daros Felipe ‐ SENAI SC
5000325194,1,Γεώργιος Χρήστου
5031272686,1,Kanah Kanah Kanah
5003369792,1,Holger Wittges
5013227372,1,Kyu Ho Byeon
5098718471,1,山口 彌衛門
5030966848,1,A. J. Steele
5017373103,5,Philippe Stock
5025539943,3,Franz Baudenbacher
5006069247,1,A.A. Shirokova
5035091202,1,R. Kliemt
5075005446,1,Fernanda Escardó
5030234402,1,Samuel B Metzler
5034416011,1,Nadezhda N. Lipkina
5018573172,2,J ‐i. Yoshida
5057633221,1,Berman Jonathan
5105953535,1,B Berris
5054595956,3,Timothy Weber
5071650783,2,Jiarong Guo
5085320174,1,Tika Setiyawati
5073907509,1,J.A. Mader
5039531363,1,RB Aguiar
5101926450,1,S. Reddy
5011758226,1,J. R. Marques da Silva and J. M. C. N. Soares
5028291008,4,D. E. Campbell
5097001931,1,Christina Manacu
5025272061,1,廖文梅
5050462521,1,Simon Valentini
5000873495,2,L. Neudert
5079882015,2,T. Ya. Vorobjeva
5068123108,1,Monireh Razaghian
5060591252,1,Byoung‐Chang Lee
5003280591,1,吉野巌
5005895773,1,Jia Wu
5064640764,2,LUDWIG FINK
5078817487,1,K. Scheffers
5024588962,1,喜久男 高階
5054423047,1,Inge Scheiermacher
5092174879,1,Larissa Ferrarez
5024751120,1,H. C. Müller‐Busch
5031563071,1,S. Hostelard
5040733457,1,Ka Hin Choi
5010650280,1,R NAKAZATO
5054487352,2,Jianyi Zheng
5003807049,1,John Akpan Markson
5000141405,1,ジャン・リュック アズラ
5031285195,2,Péter Rajczy
5103750096,1,Maryam Rad
5078817940,2,Philipp Kastl
5013322669,2,Myriam Abouseif
5076912649,1,G Costes
5053889638,1,大久保暢子
5060176680,1,J.I Illaro Ramos
5069963643,1,Luyang Wei
5054082999,1,Sehrish Shafeeq
5030053390,1,J. Liang
5055535640,1,L. Lenart
5076785803,1,Jennifer Englund
5016162336,1,Edogun Abike Helen
5056379905,1,Jia Ren‐anb
5085177661,2,K.‐Å. Engdahl
5031541523,2,Anil Jindal
5027740187,1,Valdiza Nascimento de Abreu
5070646025,5,L. Madoff
5000269873,1,陽道 齋藤
5070503424,1,Christopher Ben Farmer
5101382005,1,Abduyusupova K.M
5020072061,1,Margaret Steven
5064043145,1,L. J. Chen
5102373550,4,Н В Воронина
5002007100,1,Paula Esnal Osa
5038015036,2,Xiaoyan Sun
5041174285,2,TA Warfield
5096302462,1,Mychel Jordan
5006443802,3,A. Lizardi‐Gómez
5065448522,1,Am Epaiiob
5020427296,1,Yu Min
5034028214,1,〔イク〕子 小室
5059648157,3,A.H. Alhamad
5061817800,1,L.‐W. Li
5091783824,2,A. Čeponis
5053512418,1,डॉ. सुरेश चन्द
5022037322,2,Tae‐Sik Kwak
5097260458,1,Faez Firdaus Je
5056797693,5,Amy H. Attaway
5026984992,1,Jeziel Pena Forte Lopes
5070843086,1,D Schmidt
5037784534,1,Surya Oto Wijaya
5006450378,2,Md. Monjourur Roshed Fahim
5031463456,1,Б А Клубов
5060129526,2,H. White
5099706590,1,Kailibinuer·Abulikemu
5101378931,1,Wei Qi Yan
5097989883,1,Siu
5051783218,1,Rajasekhar T.M.K
5004154714,3,Hyang‐ju Lee
5019891724,1,Triennale‐India
5036499131,1,護 酒本
5100622173,17,A. Awais
5052967813,2,Camil Joubran
5018729678,1,Jing Xi‐yong
5010253416,1,E Lynette
5002220653,2,A J Deck
5003300933,1,J. Roth
5087720978,1,Dennis Solid
5034621617,2,P. Amerlynck
5074415680,1,XU Zun
5100597001,1,Jie Liu
5027584715,3,Svetlana M. Puzikova
5095771885,1,Yiqiang Pang
5025132336,1,Henrique Menna Barreto Nunes
5054187846,2,Jemin George
5051318304,2,A. Gattami
5039836227,1,聡子 真野
5031757219,1,Manuela Parreira da Silva
5016888031,3,Jens W. Kück
5102137800,2,YI‐JIN ZHANG
5007155605,1,峻 菅原
5095588532,1,Canagasabey Canagasabey
5016125239,1,Alexis Mast
5101840415,1,Shi‐Zhao Ma
