author_id,institution_seq,institution_id
5037863185,2,186692466
5100606226,2,2800370534
5026815300,5,62885914
5042194460,7,26489229
5072484964,1,16365422
5018753136,1,4210109462
5069683199,1,1291453478
5089683674,1,4210090141
5034878867,1,73114660
5069798057,1,88085062
5028419471,1,1288882113
5058640471,7,161318765
5020240767,4,4210131479
5100306464,10,4210130714
5021482417,3,4210155741
5075699526,1,33213144
5071742303,3,4210145894
5071290943,1,111277659
5101995756,7,106994412
5064247037,7,4210165513
5000919851,3,201537933
5089645902,3,4210148914
5077110105,1,135120706
5002713672,1,4210165216
5075296202,3,2799282979
5061289612,5,142606810
5034324346,1,177055848
5103516015,2,106663880
5016863657,1,174458059
5094509791,2,1174212
5041779848,7,2801030728
5058896726,1,111979921
5003284959,1,3129642645
5045277130,6,40542001
5071606562,2,58956616
5085336710,1,189109744
5022510133,1,202697423
5075692273,2,126158947
5028442264,2,206011266
5067042929,1,4210109779
5045856846,2,4210120022
5024941309,2,25399158
5102378975,2,142631665
5071384206,1,196664497
5056163928,3,179093154
5104027800,3,4210124606
5028018718,2,4210129087
5072061775,5,4210119108
5046702855,1,187494767
5041106886,2,121883995
5099725942,1,198423848
5076873132,6,4210088668
5101039245,2,76903346
5039417491,2,198423848
5054522480,1,174104030
5027568735,6,905734797
5080293158,1,1338124936
5010399839,8,47652572
5102961303,1,157773358
5032577612,1,8204097
5073937522,7,17974374
5101940644,6,4210158030
5100749011,5,177739611
5021391990,2,159385669
5076446674,1,4210121914
5034090798,3,4210166444
5009686843,1,28166907
5032372867,2,204722609
5099819965,1,1338006420
5067717329,5,4210136185
5018178020,10,166846921
5039948433,4,848706
5062137463,1,8961855
5102052788,4,159385669
5085910768,5,2802668928
5012110485,1,202524275
5015152073,1,159885104
5075752885,2,40347166
5079680974,1,20529979
5084047903,2,4210095439
5003852651,2,202697423
5069767419,6,1330254920
5048079064,4,4210147945
5077174426,6,41455075
5077335066,1,4210125982
5082937396,3,4210127634
5102083033,8,4210145693
5106549631,1,4210106064
5065424152,5,899635006
5069603786,1,4210165093
5102896657,7,151727225
5001323419,1,60587646
5058554527,1,4210102163
5083093758,8,4210089115
5099248818,1,3131389504
5046155337,6,121797337
5065696178,7,79767729
5030735085,1,916357946
5008619728,1,4210116581
5097988906,1,4210088715
5067719280,7,97018004
5081845064,3,98251732
5031656135,1,52357470
5065583491,1,198243066
5041375208,1,4210116838
5044580642,4,35928602
5049923538,4,97018004
5074670436,1,141950808
5074527704,2,4210140902
5087354634,8,132091411
5089288507,2,177483745
5095738293,1,92178344
5000466139,8,189158943
5098506321,1,4210126298
5048480920,3,11855966
5073900128,3,4210137516
5067514235,1,45129253
5065967267,2,4210086099
5100188046,1,4210094346
5067517026,6,4210146116
5055125101,1,4537092
5016545982,4,4210153543
5104172360,1,19008122
5000571411,2,4210124956
5008942908,2,183697816
5017378232,2,4210145863
5090324741,2,522815984
