author_id,institution_seq,year_seq,year
5040527719,1,1,2013
5021082547,3,4,2017
5033290068,1,6,1998
5041991613,1,1,2024
5092059617,1,1,2024
5019619855,2,1,1983
5083116100,5,1,2015
5011046764,2,1,2019
5035080566,6,1,2024
5102883100,3,7,2015
5028302847,4,1,2017
5032026142,2,3,2022
5104226564,4,10,1982
5020709165,6,1,2015
5073713205,3,1,2015
5104688667,1,3,2015
5031178846,1,1,2023
5085050199,1,1,2008
5088670633,2,1,2018
5040193599,3,1,2011
5086113997,1,1,2021
5050593601,2,2,2021
5105901269,2,1,1989
5017787518,1,1,1996
5021232334,2,7,1975
5054115811,9,1,2018
5083099696,1,1,2016
5019895656,2,3,2022
5066950898,1,5,2020
5009524614,9,2,2009
5035451440,1,1,2024
5014728263,1,1,2022
5044970123,7,1,2002
5084520550,1,9,2016
5090843851,5,1,2010
5010343018,3,1,2015
5078632672,4,1,2014
5010105396,4,4,2021
5061641838,2,1,2024
5012480315,2,1,2021
5102015382,4,1,2024
5041770599,2,1,2022
5030100082,3,1,2024
5100938502,2,1,2020
5037042944,5,3,2016
5005704442,4,3,2021
5063314463,8,4,2019
5036446086,2,9,2006
5053942165,1,2,2022
5101947056,3,2,2019
5065121504,3,6,2014
5038233270,6,3,1998
5085310460,1,1,2024
5100544396,1,2,2018
5070550124,1,1,1984
5069486117,2,1,2019
5001789395,7,2,2014
5075264300,1,1,2019
5104979798,5,1,2022
5101567903,5,6,2017
5066885076,7,5,2015
5006149277,1,5,2014
5092619098,1,1,2023
5018651760,1,6,2019
5066242750,1,6,1993
5071492885,1,1,1993
5022649478,9,1,1967
5082767447,3,1,2015
5061974357,4,1,2009
5022636826,2,1,2018
5010161205,2,1,2020
5068550625,2,2,2016
5049912725,1,4,2018
5086917741,1,1,2024
5000654786,1,1,2015
5037932842,2,1,2023
5074709281,3,1,2014
5087990973,2,9,2015
5074519732,1,3,2022
5095231329,2,1,1978
5017740847,2,2,2014
5014017416,7,7,2001
5106480819,8,1,2006
5081825575,1,1,2019
5094773306,1,1,1997
5083035911,1,7,2017
5065520120,2,6,2019
5102471253,4,1,2020
5068559028,1,1,2023
5008685086,3,2,2021
5005098377,1,6,2014
5101458713,1,5,2018
5034609889,3,8,2017
5002676925,2,3,1982
5048690978,1,1,2022
5006674331,1,1,2018
5033983440,1,1,2022
5053176469,4,1,2022
5008068495,2,1,2021
