author_id,last_known_institution_seq,last_known_institution_id
5074626095,1,43439940
5069175023,1,119561980
5026009739,1,1320133117
5042256736,9,879563668
5056324854,1,114027177
5056551711,1,2802728090
5076330791,7,78577930
5097491730,4,95634034
5029628499,1,4210090003
5076834367,2,4210148121
5101446803,6,4210089508
5075174232,4,160354086
5039561485,1,43545212
5065561333,1,36685595
5105764571,6,103716689
5094042158,1,158248296
5030356933,7,4210134835
5106287904,2,67311998
5015363625,1,36443711
5064788428,1,4210102928
5012699832,2,157725225
5027705811,1,2799309473
5076585264,2,1301076528
5065093233,2,201448701
5022414480,1,181343428
5055579159,1,24062138
5041906300,2,317356780
5025800425,2,4210119589
5049801446,2,4210164485
5044124752,1,102322142
5101773990,1,97018004
5013358642,1,4626487
5100767752,4,4210135985
5041194416,4,2802369498
5102068455,1,98834328
5032179690,2,2800258182
5003059329,3,202697423
5050139599,1,40120149
5082098859,1,71999127
5068953561,2,4210149558
5080571647,1,29617571
5087642906,2,865915315
5100552343,2,4210160793
5074532924,1,4210146220
5045901258,1,174458059
5001180357,1,7882870
5067214444,1,4210141747
5049895868,5,3130004620
5051612341,2,921716337
5021756974,1,145311948
5061008538,1,4210092322
5100414547,7,4210162190
5030485731,7,2803209242
5068758617,3,1850255
5038024318,3,4210156806
5063043592,1,63596082
5101612672,5,199305430
5098913257,1,4210122635
5046380357,3,4210140709
5105035417,6,95457486
5009699279,2,47720641
5013448393,7,2802225915
5103366456,2,2801138448
5049291377,2,4210162920
5064289402,1,72227227
5014559780,2,881427289
5039496331,2,4210136213
5105411800,1,55931168
5041892616,2,1296452710
5060929381,5,145311948
5066230469,1,4210086920
5100410186,4,87111246
5102788472,1,168864056
5101512602,8,4210092172
5079312026,1,45571689
5036589454,1,139894009
5080973649,9,95457486
5093994471,1,3018176973
5034076832,2,165143802
5025964137,10,2801926401
5073635666,1,4210162190
5076881143,1,109954829
5085252196,2,4210118675
5073130132,4,115228651
5095750940,3,4210114266
5050381948,3,187531555
5073105795,1,1315288073
5049002688,1,1317886745
5008518940,2,4210115327
5020317519,1,4210157089
5052840157,6,2799798094
5033262856,5,1335686170
5062809129,1,131141727
5081415852,1,4210157802
5066006895,1,130830085
5084065042,1,4210135900
5106070556,3,277688954
5103253212,2,77631543
5058544757,1,4210112946
5070555545,1,128212801
5064116197,3,4210156779
5047592108,3,1343052199
5016898930,1,4210135736
5049301770,3,1298742617
5042488803,1,2802841970
5056564285,1,181028852
5075925941,4,122346577
5059712133,3,25974101
5101650381,4,4210119674
5057271565,2,170201317
5013596994,1,2799303410
5090977823,1,180670191
5065321500,7,21250087
5100603843,2,921716337
5094733060,1,4210143834
5073164841,2,82002896
5016429368,1,1316902750
5091016154,5,165951966
5076057402,3,1174212
5022447876,7,159948400
5069856050,7,126520041
5071688787,2,201448701
5102778343,1,4210147750
5029729131,3,4923324
5049138713,1,197507943
5074966371,9,5681781
5051334364,7,136199984
5071679842,2,149851306
5033949570,3,4210154479
5023610999,1,3133090473
5065698004,2,4210127897
5061487575,2,848706
5050796550,3,4210154441
5097208379,1,31746571
5097186460,2,2801317318
5050512000,6,3019322962
5038627796,1,1314135232
5041904354,1,204465549
5092769120,1,114202661
5095420018,1,188740104
5034851209,5,161318765
5078670178,1,31944674
5068755562,1,122346577
5017287385,3,188703185
5100586925,1,33849332
5031575675,3,4210125241
5009106548,1,141450709
5013975942,1,4164984
5048197948,4,136199984
5074260535,1,88017793
5004133974,1,4210157296
5014148691,8,4210109567
5077014301,1,68891433
5084949977,9,4210156450
5081991797,7,84884186
5015702550,6,36234482
5022404518,2,4210121203
5040408033,1,4210111069
5057610298,4,4210103448
5077265398,1,87111246
5092307424,2,106663880
5103656798,1,183067930
5022524409,10,163340411
5100941679,8,204553293
5024534814,9,1280367701
5021922442,10,98677209
5102930973,1,150468666
5031015661,5,4210130363
5092843279,5,39804081
5019895887,2,79238269
5022615361,3,76214153
5001050690,1,43545212
5022582131,1,3131416359
5071659310,5,27357992
5073689885,3,59270414
5019284734,3,114027177
5017425053,1,146824383
5093648356,1,130701412
