citing_work_id,reference_seq,cited_work_id,pub_year,cit_window,is_self_cit
3009663630,1,1880754354,2016,4,0
4290837101,166,2478571252,1997,11,0
2054342050,22,2050774051,1992,11,0
2042853179,25,2071898756,2000,1,1
3159354710,17,2003565371,1992,29,0
2170864733,15,2002844771,2009,3,0
4283156180,22,3103440675,2020,2,0
4401380220,13,2016017492,2011,13,0
2608129908,4,168951952,2005,10,0
2129131626,24,2059489976,2001,11,0
3191077719,2,1983291852,1996,25,0
2052713289,64,2184190506,1999,6,0
4385235262,56,4224219700,2022,1,0
3198781615,22,2893668183,2019,3,0
2947640934,22,2139984039,2012,7,0
2529347379,70,2394486445,2016,1,0
3122747300,37,3125502051,2014,1,0
3131765043,46,3015658132,2020,1,0
2806036258,60,2739688203,2017,1,0
2947263817,47,2768039145,2017,2,1
2008536141,2,146662650,1985,23,0
2036537368,4,1996051467,2007,2,0
2063543995,5,1670083416,1995,13,0
4213364856,12,2481948672,2016,6,0
3038223925,14,2167956058,1996,24,0
4400251657,52,2884367402,2019,5,0
1986538179,22,2032861656,1990,15,0
4386251431,2,1964759286,2005,18,0
2759422303,9,2048614879,2014,3,0
3188723574,1,2557102945,2013,8,0
2572787628,119,4245940691,2007,10,0
3150561553,38,2057974706,1973,41,0
2478203872,13,3101483322,2009,7,0
1978793039,36,2078189636,2004,2,0
2009024801,18,2087561016,2005,8,0
2126164620,33,4246915563,1989,19,0
2047694907,12,2048763459,1989,12,0
2103736146,18,2022490019,1988,1,0
4389287713,9,4252828689,2009,14,0
4401592160,62,4395044595,2024,0,0
2137498893,31,4242165296,1966,3,0
4289711277,101,2572657306,2017,5,0
3044741224,48,2998366549,2020,0,0
4399330839,29,4289521608,2022,2,0
4394876561,13,2111112308,2012,12,0
4401852082,14,2026572419,2010,14,0
428149249,13,2071349088,2008,5,0
2169111063,29,2147634085,1986,6,0
2080528867,21,2023074156,2009,6,1
2913195971,2,1991248779,1994,25,0
4386878632,7,2101382344,2012,11,0
4392752148,3,1972527462,1997,27,0
2755238364,9,2023528259,1989,28,0
2319983753,11,1976714933,2004,8,1
2077823072,23,4246253176,2019,-43,0
4293795667,14,2166892036,2004,19,0
2604267612,31,2530445751,2016,1,1
4396471096,7990,2808289949,2018,5,0
