concept_id,ancestor_concept_seq,ancestor_concept_id
3020203576,1,158739034
105322999,9,31972630
68239362,5,86803240
2777237215,5,136764020
2910311954,6,86803240
150178126,3,76155785
134546842,4,41008148
2779670319,7,192562407
2779483780,6,95457728
2778838027,4,191897082
2778725032,1,2780665704
10927478,1,77805123
2777085297,1,2778718757
134215751,2,199539241
109115496,10,185592680
2987826769,4,86803240
6506403,1,83104080
201176492,1,38606739
17289045,1,169900460
38104776,1,199539241
2776017861,1,155647269
198815454,5,144027150
134975968,6,162324750
2780999109,5,71924100
34863106,8,145420912
108305453,1,56837625
2778804033,5,2779306644
113207822,7,121332964
2779183417,1,2777132085
2779427971,1,55493867
152909973,2,2361726
3017910513,1,2908647359
85961473,12,121332964
33825631,20,162324750
104541649,5,41008148
77913304,2,21099588
2781057849,3,90924648
103474985,6,54355233
2779296933,10,141071460
140020054,16,97355855
116871256,8,178790620
200786668,3,121608353
7266685,2,165205528
2777237215,6,86803240
2780192828,3,126322002
124600460,6,62520636
2777004525,10,33923547
93501484,1,111936080
175336444,3,57879066
552554468,1,135788738
2778079118,4,71240020
2777061170,4,185592680
2780372748,6,127413603
97154109,2,149364088
2777114532,7,86803240
2910997768,4,2779134260
1691868,1,138496976
2779324052,9,126322002
188471824,9,205649164
14650364,12,192562407
121850381,7,199539241
133599803,4,41008148
125792925,8,41008148
3020139451,2,519581460
84907815,6,119599485
2780256643,3,526584372
183778304,2,202444582
161691276,1,41971633
27896171,2,153294291
2991803051,2,97137747
64792281,3,178790620
180768130,14,185592680
2780075363,4,185592680
196048820,11,138885662
173102733,6,41008148
2776687965,7,147789679
2779743592,6,127313418
2776464990,2,14216870
152669594,1,45189115
23302255,2,79974875
155710745,1,164705383
176734034,5,162324750
3017426381,2,70410870
2776035437,2,141071460
110307207,6,205649164
2780396716,5,205649164
21592294,4,104317684
2778617976,5,178790620
21936154,9,71924100
2983538551,2,159985019
2775862159,6,19417346
101219045,11,41008148
2776243922,3,42935608
2776387689,2,41895202
2779345646,1,55493867
180379752,5,137607661
2779803247,3,55493867
2777788586,4,71924100
115179944,3,100376341
2779999543,1,59822182
108882727,3,78519656
2779570749,1,36454342
2776234997,5,127413603
547724660,4,142362112
2909112397,2,2779134260
2780282346,5,54355233
2778373884,3,138496976
142354902,6,119157956
150668497,4,86803240
171958077,6,55493867
2778176769,8,86803240
2778681481,5,27206212
2908653458,1,155647269
2983877603,1,41895202
144992956,1,72886185
180837527,7,146978453
2779090685,3,112570922
2992548019,1,112698675
206423108,1,2524010
2992282928,3,521977710
3018852811,5,185592680
156080657,12,19474535
119104473,3,121332964
2779480337,5,126838900
162948026,6,152877465
15964574,5,121332964
2910547607,15,71924100
95238685,1,60799052
76196390,2,206139338
119128870,6,170493617
2993008072,3,127313418
74676461,3,111919701
182979987,9,86803240
2779819216,5,71924100
2775938767,4,162324750
2780462192,2,522964758
2781160685,3,2778048844
2991819120,3,54355233
2994132137,3,162324750
66862320,12,33923547
77851909,3,191897082
2780053542,5,97355855
66905080,2,154945302
91810955,2,34447519
2993760346,2,144133560
2779955632,2,159750122
2781320022,12,185592680
2778012502,1,2779422922
2776348555,2,126322002
2776256026,1,126322002
2779039770,2,519885992
2779687958,2,104317684
3020489390,5,194828623
2777292126,3,86803240
2776488936,5,2522874641
19177301,1,62520636
2776412285,2,126838900
42174275,3,40767141
69766542,1,10879258
2780186017,9,185592680
155008239,5,31972630
2780428219,2,127413603
65185188,5,127313418
2779740938,1,124490489
2778755977,1,94625758
184497039,3,62520636
34259666,4,142362112
3019432306,1,196558001
68387835,15,144133560
123026534,4,178790620
68389820,4,153349607
116270902,3,59822182
2780527621,6,127413603
65232700,3,166957645
158488048,1,146978453
2780059578,4,178790620
1034443,1,146978453
38739810,1,49461877
2780981602,5,114793014
90061646,1,555293320
145261411,4,142362112
180650514,3,526584372
2779388726,2,126322002
195358072,3,76155785
2778302132,7,191897082
54237361,10,121332964
203637571,8,76155785
101335993,8,121332964
2777854368,3,185592680
103762249,2,107966497
2910234648,3,17744445
102379996,3,126087398
86642149,2,120398109
2777123377,4,86803240
2778062554,7,144024400
124223222,4,127413603
2775968953,6,15744967
2779519902,3,134018914
50251070,10,127413603
2778112282,8,178790620
2779148768,1,2778750930
2910559741,3,54355233
2781309008,3,81885089
18444321,4,44870925
2778979269,11,71924100
66322947,5,121332964
2778250313,6,191897082
2909356555,7,97355855
59801894,1,3288061
201051825,18,1276947
46802686,2,105795698
173347748,5,86803240
2777735972,1,2775924081
2910255311,6,159985019
2777119230,1,61716771
169344191,5,121332964
85142804,3,75280867
2911183331,4,34447519
2780870192,3,164705383
13934251,9,71924100
2780362310,1,178790620
198004926,5,17744445
180032290,1,144027150
115483411,8,112680207
2781185258,1,2779076696
38626664,9,39432304
66384103,3,159985019
2780114369,7,178790620
2780223390,8,126322002
2779969927,3,142724271
2777957228,2,27206212
2777072894,4,199539241
170836113,4,22590252
2910250545,6,71924100
11154512,3,155109394
2776725920,2,2778333808
2778980435,1,2779489039
2992283565,2,2781192897
31786546,5,162324750
2777470744,3,205649164
16090227,4,185544564
71681937,8,31972630
2780437316,10,86803240
2910696605,5,126322002
103522932,5,127413603
2910429700,2,144024400
2778474501,7,71924100
108204754,2,185592680
2776263037,4,134018914
2910455596,2,71924100
65257409,2,187736073
2909615965,9,121332964
2779052582,4,136948725
2780478730,2,19417346
124139854,2,24890656
32437296,5,17744445
2777121736,4,134018914
207141826,3,153349607
2778136109,2,86803240
2985178602,2,2777904410
2781135666,3,104317684
54794346,5,95457728
126116589,2,151730666
2911194072,5,86803240
31531917,1,17500928
11645699,2,194232370
165617652,2,72563966
2779794527,1,15490471
2991770496,4,162324750
13112181,2,110872660
2779067591,13,185592680
2911127645,12,71924100
170961132,2,178790620
2777478136,7,105702510
2780051471,2,178790620
2777008809,1,6557445
115903868,2,127413603
98359873,6,119857082
78343239,2,2780394045
148221864,1,7451433
2776398474,4,86803240
2776067312,5,54355233
2909530129,2,126322002
10590036,1,16671776
2779271181,1,116403925
2778034309,5,169900460
2779299957,6,71924100
49533043,3,76155785
3018711027,3,2777338322
149347711,4,127313418
2777751288,1,204232928
2994313005,8,144133560
2781419962,11,121332964
136622501,4,151730666
107674354,6,18903297
2993043157,2,199639397
2776111856,6,111919701
94644931,2,169549615
2776957994,4,121608353
39235581,2,104047586
2778234038,5,71924100
30335454,4,187320778
12143843,9,121332964
2778975583,1,518008717
2779504336,5,151730666
2992120911,3,77805123
139043278,2,199539241
3018006013,4,71924100
2777009965,1,203397868
4150253,3,62520636
2776384856,1,38652104
2779904463,2,523546767
2779319593,1,55493867
2779941686,11,178790620
14042566,1,199539241
55286048,2,36588987
3019806175,1,160735492
2781087876,2,54355233
2777150844,1,2778198053
2993114420,1,163258240
2910935648,5,118552586
2778551188,6,59822182
137105694,6,105795698
7982388,1,8892853
2778939646,5,185592680
3019492093,6,199539241
2780634384,3,159985019
2779873939,11,38652104
60312476,2,121398111
138893092,8,199539241
2781203471,5,62520636
194630095,8,178790620
144655898,2,165801399
17732976,1,114614502
156930551,6,31972630
2778830669,6,54355233
2779357833,1,2775891814
2779855358,2,138885662
2992104508,14,15744967
16838498,9,121332964
2777708036,2,512968161
2778476535,1,55493867
160515943,2,199539241
2780356529,7,141071460
3020116447,1,190283241
2779863501,5,95457728
2779116671,5,86803240
72891097,9,98229152
2992801396,1,153911025
532629269,2,41895202
3017988006,3,18903297
2777052490,1,154945302
37734731,6,186644900
196166836,2,553184892
2992789181,4,169760540
43096290,3,112950240
2776668709,9,159047783
2778651285,2,199539241
2776034340,3,54355233
162075064,5,86803240
2778510232,5,105702510
16920402,2,199539241
2776714205,3,120665830
2909183380,2,2779602430
2778212984,8,86803240
42566525,1,100544194
2988738274,3,30475298
2778417259,2,55493867
2776810017,1,78519656
2777675136,7,120665830
138873322,13,71924100
2780376250,4,82217956
2776174506,2,2778541603
2778666239,3,2778163477
16884802,1,150117547
111766609,5,121332964
39464130,1,159750122
41708705,2,176933379
2779736553,5,55493867
2992755650,2,2778444522
42832001,2,197046000
2777866876,1,23123220
25630934,3,78045399
2778325081,8,90856448
194304873,5,162324750
2776026663,6,142724271
39292890,3,202444582
2778617581,2,55493867
2776176627,5,2986817661
6586637,2,52913732
2776140321,5,71924100
2776472008,5,165205528
56154687,2,542102704
2994545443,3,17744445
11445154,10,185544564
16108499,5,192562407
125800877,13,192562407
149866677,5,144133560
196509110,4,55493867
2778086801,4,121332964
2778969186,6,104317684
2778386843,3,120665830
169684477,4,18903297
2911002212,3,188382862
2781056559,8,15744967
2779721657,1,2779881121
2777099928,1,2776545026
2909867262,7,126322002
114850418,4,62520636
175365462,5,55493867
2781003276,1,2780014101
39981086,6,55493867
2777472991,6,121332964
3018809729,1,78458016
2781408873,1,84309077
2778350275,3,22508944
138634970,2,74916050
2779424105,5,144027150
98025372,1,123657996
2122615,1,131227075
153726182,2,104317684
66325886,4,62520636
2778695046,3,54355233
2781470882,1,125705527
2909029650,3,2780368125
2910535624,2,500558357
2781300247,5,158622935
2777936327,3,151730666
69672822,5,1276947
177634923,4,69990965
96711827,2,2780451532
2779076967,3,104317684
66153210,7,199360897
2780004239,2,173758957
7707877,3,33923547
2991898273,6,71924100
113325137,12,130402806
189014844,3,54355233
2780751777,2,161790260
183006278,1,93130614
157892014,4,127413603
25570617,3,112633086
2777952868,4,185592680
2777247629,2,2777466421
180879305,2,73283319
98893333,7,2129575
2777205947,1,2777055891
2776259327,10,192562407
150495011,1,120314980
2776534226,8,159047783
2779149496,5,138885662
2775838275,8,178790620
2779417484,1,199360897
48461290,2,94184115
72615636,8,23123220
3017851829,4,548081761
2777793825,4,121608353
146213904,2,107054158
164265269,4,55493867
59377437,3,142724271
3019456619,1,199539241
141404830,2,12267149
2911165735,11,185592680
20832178,7,66938386
81369262,8,138885662
2778308277,5,17744445
2780228366,11,192562407
2778679308,2,50522688
96040317,10,149441793
2909197731,1,27911776
95373548,2,1276947
2780079514,9,205649164
2778156585,2,62520636
2778643307,5,118487528
2780623815,6,15744967
2778774319,2,90856448
2778971668,2,158525013
44498088,6,86803240
2984150052,2,199539241
2777949327,2,2779306644
2993377508,1,59659247
199501884,9,24326235
100243477,1,199539241
118689300,5,41008148
2776911203,1,204787440
84824328,1,115961682
186260285,6,76155785
2780153877,5,71924100
140651703,5,127413603
2911091503,1,2775915377
94435474,3,54355233
2777142071,2,190253527
2992021640,1,42360764
67174900,2,2777826928
183641309,15,127313418
2779106978,3,2779538911
2992606362,8,185592680
2910800646,1,2776439734
2778261623,4,86803240
64287253,5,192562407
2778431482,1,133386390
2779714868,6,86803240
164768185,3,123657996
2776020190,4,17744445
2780536370,1,161790260
189914265,1,2780781376
2779729312,4,23123220
2776106465,8,185592680
2777080924,6,41008148
2775966667,2,58166
2777284652,7,149782125
35482069,4,111368507
9086966,2,542903549
133576831,3,62520636
60592354,6,150903083
33825631,6,197096303
67905146,3,28490314
2776919953,1,2776341189
2909999415,7,86803240
2776707286,13,33923547
2908794349,7,141071460
182021174,4,39549134
2909007308,5,86803240
2781105225,1,54355233
2779390400,5,121332964
2779181126,9,86803240
42629822,4,127313418
58141971,6,55493867
2780248691,3,17744445
86111242,5,127413603
2994309678,4,144133560
169912494,10,192562407
157154645,5,164120249
2778920558,4,55493867
141496672,8,55493867
144301174,5,41008148
2781283050,5,126322002
7943809,10,192562407
2781031786,3,55493867
2780054349,1,31903555
2777003408,4,15744967
2993963472,2,199539241
2910604640,9,185592680
39269415,4,134306372
195545963,8,169760540
2909349919,3,2780775167
2776098176,1,126838900
140367098,5,54355233
2779121111,1,52119013
127957640,17,185592680
175815440,4,15744967
172860338,1,146978453
2780966626,1,73752529
540751848,3,509550671
141073059,3,55493867
149532602,3,55493867
150997102,3,160446614
103474985,5,55493867
2776873876,1,2780105995
2994150672,4,126322002
2909274461,12,90856448
193943012,10,162324750
2780132029,4,185592680
122348159,10,24326235
165770473,2,95763700
2780342937,2,2776409635
157044486,2,55493867
140711978,9,86803240
94925161,6,111919701
133256868,4,121332964
2777132456,3,126322002
42222113,4,127413603
2909745347,1,52119013
2911114726,3,126322002
1344699,4,199539241
109661977,10,185592680
2777625098,7,178790620
154314014,3,544335954
