concept_id,language_code,concept_international_name
2776279094,war,Brachionus calyciflorus
2779958940,ast,Loxodonta
100906024,hy,Պուասոնի բաշխում
542138692,ky,Ларингология
45119746,pt,reação exotérmica
2994265754,ms,Pemindahan haba
2777480472,zh-cn,信托法
2910525902,ro,Antidiabetic
136229726,pl,inżynieria biomedyczna
2780623531,arz,ايرلاندى
154775046,sms,saksslaǩiõll
111805635,pt,matriz de Hilbert
28134486,pt,reação em cadeia da polimerase
2779678110,olo,Sienet
99888217,fr,temps d'arrêt
206423108,lt,Bezjė kreivė
2777098013,vi,Foreknowledge
2779266040,en,Scanning electrochemical microscopy
2983311337,hu,hangszer
2993258587,an,Independencia
2909458119,am,የውሃ ድብ
2778043853,nb,Acartia
2776742690,ko,국소 마취
531131001,sq,Itriumi
2992191624,gd,Cnàmh
131598440,nl,Syllogisme
2993006401,ca,cateterització urinària
89551170,pl,Wiek kostny
26856880,zh-hk,自組裝
536601067,zh-sg,独立媒体
2779647737,tr,Aktif karbon
2780802079,ja,ペンタゾシン
3018541784,cs,Gas analysis
558461103,mn,Айдас
3019158842,et,Prostaglandiinid
2909623084,azb,ایبولا ویروسی
85555665,lt,Kamuolinis žaibas
2993060064,ko,모집단
2781089062,pl,kwas chenodeoksycholowy
2992453961,uk,лабораторія
99712631,zh-cn,经济间谍
119073576,nb,migmatitt
3020366999,bn,হরিতকী
2776517233,ru,Fagopyrum tataricum
2777050379,th,เซฟีพิม
105565629,fr,Prédiction de gènes
2909351178,ru,антигистаминный препарат
104091681,ja,決定性有限オートマトン
3020349426,ta,சிப்பமிடுதல்
187064257,en,orthogonal basis
2778330419,ms,Protis
3019778037,en-ca,Hydrolysis
2910227796,cs,hysterektomie
3020775280,uk,Су-від
176932811,pa,ਸਪੇਸ ਗਰੁੱਪ
3019616415,uk,федеративна держава
2987362361,hy,լազեր
19699116,rue,Кеплеровы законы
2993857929,ca,Medicina preventiva
2985358483,pl,związek organiczny
2778212192,ca,bumetanida
130217890,sms,biolooglaž määŋghämmsažvuõtt
2908738225,wuu,免疫学
2992029382,eo,ŝtata lernejo
3018364605,zh-cn,运输
169606439,zh-hant,波特率
2779192670,nn,Ancylostoma
2779437838,sl,Venerologija
12823836,ar,مستقبل كيموكين
2780475245,bg,Gerbera jamesonii
135889238,et,kineetiline energia
69746256,eo,onda-partikla dualeco
99054511,gl,Esferoplasto
2909489605,th,บัณฑิตวิทยาลัย
2909637497,de,Morbus Fabry
2992820272,lb,Routverrécklung
2778395844,es,Escarificación
104727253,ms,kawalan perosak biologi
534529494,fa,دستگاه تنفس
2778917330,pt,poliartrite
529173508,yue,軟件開發
193991484,bg,Държавни приходи
3020437955,km,ឈាម
137546455,en,trigram
2780102689,af,Slowaaks
2778842783,de,Plasmapherese
2779075128,hak,Sṳ́-vut-téu
2779159077,ml,അരേസീ
25534917,nn,Eksakt sekvens
133603901,it,TRHR
79261456,kk-cyrl,Пішінөлшегіш
2778081122,mk,Розацеа
2777056302,pl,Relatywizm moralny
2777449483,sq,lenda
2983909278,gl,Navegador web
2908728446,hy,Ատամների ոսկրափուտ
2776316342,hy,ամոթույք
76155785,en-ca,Telecommunication
2992575119,ko,조사선
2779999868,be,Фінансавы год
2780255968,vi,Probiotic
195324797,lv,dabiska valoda
2777704519,pt,MAGIC (telescópio)
137246740,zh,頻譜效率
190612196,ja,寄生虫学
58053490,gl,Computación cuántica
3019737400,zh,宿主
2780928516,ast,Sesamum
2778609550,en,Robinia
2777066214,nl,groene perzikluis
2908738153,nl,gelaatsscherm
2910308651,zh-hk,頭孢菌素
153025619,ms,sistem siaraya
2780059344,zh-hans,碘乙烷
2777112846,hr,Egzogamija
2911072751,zh-hant,冷發光
2778975583,de,Schneehühner
188382862,nb,Predasjon
3019171606,en-ca,Grape
192065140,cs,Multinomické rozdělení
2992428333,ur,آواز
2776976155,azb,کلوزی کیمی‌لر
2987803363,sq,prodhim
2776013622,it,gerarchia polinomiale
53991642,kk-cn,بىيووتىن
133347239,uk,Ізотермічний процес
2778048899,it,sindrome di Goldenhar
2992404166,oc,Calòta glaciària
119513131,ar,صحافة
2909924247,ga,Aigéad sucsanach
3020251336,sr-ec,сома
2776835828,de,Bronchopneumonie
2984499602,en-ca,software
524765639,ca,gestió de recursos hídrics
149347711,zh-hant,太古宙
132165367,kw,Yethow Semitek
2776708134,ar,كانجريلور
23042974,fa,خدمات متفاوت
2780269026,ja,トラニラスト
2992167242,ca,espècie introduïda
2986736532,pl,Przenikalność elektryczna
2776390293,es,inyección subcutánea
2779696498,bg,мукорови
2780105190,zh-tw,杯葛
2777996765,it,anagramma
19351080,uk,Інноваційний дизайн продукту
2994432249,mk,етика
2780378152,ja,セックスオフェンダー
2908650547,bar,Intrinsics
52272595,es,ratio de liquidez
167651023,pt,plotagem
175551986,sh,Rasjed
183021626,sn,Nhengo dzesikarudzi
2777252815,el,στανοζολόλη
2992561413,yue,聚乙烯
61782718,et,aatomnumber
2778145024,yue,炒魷魚
2777144786,be,даўжыня хвалі
106516650,my,အယ်လ်ဂေါ်ရစ်သမ်
2776993930,pt,Estereologia
2984423262,az,Elmi kütləvi ədəbiyyat
2779519742,la,Dimerum D
24961977,nn,bisyklisk sambinding
3019162307,lij,Respiaçion
3020230634,en,antibiotic
85323577,ur,حور لاروا
2777029203,tr,Ammonoidea
115260700,rue,Маґнетічне поле
2780593183,ru,Вирус гепатита B
101271287,ur,ایل ای ڈی بلب
7516956,gv,Pobblaght Weimar
152551177,lb,Planetologie
2909789815,wo,Septo
2776051709,cs,Gramnegativní bakterie
2779609443,de,Lebertransplantation
103874350,nb,Hubbles lov
2778322612,nl,Thiolacton
16942324,sco,lithosphere
544778455,da,kobber
2779594886,uk,павіан
2991930421,sk,Air cell
97039730,ja,パルスパワー
2483381,zh,核仁磷酸基因
2910305967,vls,Reproductive endocrinology
2910508445,zh-hans,膀胱癌
124042286,azb,آریاچی‌لیک
204160518,sh,Brojevni sistem
2780614658,pt-br,Cleptoparasitismo
2776061406,sh,Izoamil acetat
2994130051,ie,Financial globalization
2778295731,eo,Premfrapo
169976997,ru,Пространство Орлича
2911143526,de,Haus-Spitzmausbeutelratte
514301927,sh,Realizam
2908964160,pt-br,Amaranthus cruentus
2992929089,he,מרחק גנטי
2992586835,zu,Standard units
81539297,tl,Pagpapalakas (matematika)
2985522263,ta,நீர் ஆற்றல்
43622095,ar,كائنات القاع
2776625710,fa,تلخ‌بیان
134444547,fa,شبکه بولی
2984335091,frr,Infraruad
2777871726,hak,Sit-thit
2778758504,pt,periclase
2776901170,pt,dinucleótido de nicotinamida e adenina
2781007278,kk,Триггер
73710890,ca,Enginyeria de biosistemes
2780875844,et,Müokardiit
2777096784,sv,referent
148008966,en,electrically powered spacecraft propulsion
2777750367,yue,變焦鏡頭
2992168552,ur,دماغی سرطان
2779910751,be-tarask,Балёнскі працэс
6947382,fa,انرژی خلاء
751236,sr,фотодиода
92936396,fr,Constructivisme social
2909511158,ceb,Pneumovirus
2991897378,sl,slikanje z magnetno resonanco
2778188105,sv,Parestesi
2989277270,kk-cyrl,Бихевиоризм
2779637612,ext,Fosfatidilserina
123657996,is,Byggingarlist
2777847592,sh,Acetilcistein
2910317908,gl,edema
50929876,cs,podčeleď
18293161,en,ellipsometry
2779852338,en,cyclobutanone
3018055247,war,Sinirangan nga Timor
49110097,tr,Katot
3020234875,ca,contingut
2993983287,sv,Sojamjölk
19269812,hi,उपग्रह
2780117679,ja,リンパ組織過形成
2778838687,es,Mycoplasma
16654397,ja,Dig
2986944758,tr,Otomobil Dinamosu
132235601,ar,نقاط التلامس الكهربائية
2781249023,bg,Арт терапия
8880873,nb,genetisk algoritme
2908793008,ta,தேசி
2780124186,en,Ovotransferrin
2910241647,zh-my,奶制品
2778778583,ro,Capsulă
2778563252,ku,Glukagon
2778975662,fr,Cholangiographie transhépatique percutanée
41260117,de,Hepatologie
134387633,et,Kodustamine
2779564974,pa,ਅਡੈਨੋਸੀਨ ਟਰਾਈਫ਼ੌਸਫ਼ੇਟ
2779291638,fr,symétrie
2910018961,de,Atrio-ventrikulärer Septumdefekt
2778943297,be-tarask,скорапіс
24394798,ta,தொடர்புசால் தரவுத்தளம்
2779223262,de,Baccharis
79584836,zh,牙骨质交界处
76801838,zh-cn,邵德尔基
64016661,ms,Kekeruhan
3018596841,sw,Power index
2777973936,tr,Küçük işletme
89560881,sv,trombocyt
2775879999,sv,Meloidogyne arenaria
83283714,sh,Superračunar
2779106941,fur,Kiwi
85940911,kk-cyrl,Фикһ
2776863245,fr,Schistosoma mansoni
2778986533,nl,zeereep
2776735967,sl,železova litina
2776858399,uk,екстракорпоральна мембранна оксигенація
2908923111,la,Musculus brachialis
2776793192,ml,കോൻജുഗേറ്റ് ആസിഡ്
2779460620,lb,immateriell Kulturgidder
51575053,nn,byråkrati
2780345532,pt,ligamento cruzado posterior
2776423180,uk,Міжкультурна комунікація
2778058571,ml,അനാർത്തവം
