concept_id,related_concept_seq,related_concept_id,score
2779011373,1,111919701,1.2382579
2779980412,4,55447825,2.315989
4777664,3,110251889,4.7604675
2775935930,14,191935318,1.0837221
2778736646,10,37789001,1.6244462
3305159,13,2781249023,2.41376
2777962934,9,2779136216,1.3968487
40567965,11,139532973,1.4921334
2779227729,18,505870484,9.756895
2779808186,5,2776273225,1.2257665
6448772,11,200096950,1.4437898
171635847,13,165880335,0.8382947
2780631144,10,2781407631,2.3400254
2781073084,8,44208683,1.335292
21810127,1,25492975,10.370389
2781246090,5,2778541603,4.515439
62605544,7,147120987,9.563938
33807043,12,36819163,2.1691377
94625758,21,119513131,14.647135
2779153526,3,178624890,0.907359
2779577033,17,144429999,1.3391209
2776465824,10,169900460,0.78554696
2779245659,8,2778938600,3.3724408
9075549,30,99578197,4.385102
57918260,14,2781129745,1.4170289
2781271479,12,2777203310,2.0962782
80478641,13,151406439,1.7328662
106804226,3,192191005,3.5080159
2781140480,27,2776918371,1.2937332
2778201750,13,2779134981,1.2852379
65589250,23,173209714,2.2911208
2779073485,1,2776839432,23.826624
75586009,9,175444787,0.8191161
200096950,4,77557913,2.1762776
554736915,14,130056557,1.7254716
49102809,9,119824511,1.0157145
103784038,57,147061848,5.262827
51968632,14,2779876028,3.545802
14380042,26,27592594,3.6093743
2779733990,3,2778140631,2.8968315
2775898464,2,120488504,1.6194162
187614132,15,99098479,0.8206215
2778689049,9,2780263894,10.066626
148292158,29,164132191,3.6625516
538909803,66,2779002150,1.2147341
136071829,10,2776415932,1.3045211
162500139,6,109718341,1.1050553
158617107,50,18699975,5.235356
2778772119,3,107641696,6.1975193
2776159415,1,2781196997,11.85704
2781151444,24,2779055911,2.1692033
200239111,31,68463220,6.1045866
2781185063,15,2779739782,1.1371977
124855248,13,17525397,0.99728686
181683161,6,162324750,3.172562
508106653,3,512735826,30.612505
2780186721,16,2777917749,1.3396477
2779740938,8,2776699218,2.3582067
138851942,8,18414845,1.4396061
2778804639,3,59822182,5.1856313
63036615,38,32848918,9.891504
2779305415,5,2778775820,5.2350397
2777629877,8,2777458120,3.5790305
2779347749,1,186037533,1.9358647
2779875868,13,2778170955,1.4584547
83873408,58,2778539631,2.35268
193478032,10,512968161,1.1684757
2781425419,22,2776943423,1.8953979
101142426,13,30066665,5.5331845
19843653,27,24432333,6.086769
166482635,14,165479943,2.231261
82581908,26,24145651,1.5498602
40212044,24,2776386860,2.4338396
61203554,22,2779000718,1.5126996
2777461220,6,144027150,2.0905812
105072915,10,32303920,7.947252
21491501,7,2780615140,1.9299344
60859754,13,119477230,5.3693237
2779251873,64,2778452849,2.5540426
107872376,2,39432304,4.563429
40343088,1,157286648,4.8070483
109786386,9,79221468,4.855474
2780219775,12,194110935,5.615258
2781035694,11,2775899180,1.034657
65589250,29,94656876,1.7264385
2781375147,9,2776090121,8.559819
69216139,12,77331912,4.017334
2778447024,5,47798520,36.54889
2780359582,2,137355542,5.473434
19843653,9,11804247,22.86827
168816792,22,48047823,0.9631691
141112555,7,182610534,1.0506221
2778203192,2,14712689,54.531147
93391505,15,89031862,3.2737255
2776486484,15,122845125,1.4985437
2778916964,20,2779869580,0.8409235
41261787,4,8298632,12.818835
124989549,5,117137515,6.5845256
2777852031,42,2778447413,1.9445629
115903097,18,139532973,2.7318838
207658827,1,50151734,2.8114586
52124034,12,62231903,0.8152716
36091686,82,39104958,8.781074
71112949,6,41008148,1.1350731
2777408375,10,2779244956,1.3002423
172100665,28,142014798,3.333262
2778178086,5,2780187287,4.2546997
2781397288,9,2777239413,0.89015055
2775929963,3,45792457,1.8337643
2776365360,17,71572567,4.9490013
37999436,9,23951316,1.5857201
73090800,2,184185385,3.2945776
92698915,9,194232370,1.062537
207987634,14,97744766,6.140133
2780203522,10,2778854520,2.2942235
109335069,16,2780942790,1.131497
2780010897,7,504460877,4.895813
2776804113,4,100817775,7.079081
92381491,12,180577832,1.176689
151620405,34,20538924,4.3203435
147944092,5,2778794669,7.4507055
24870808,1,100094513,10.005206
2776484668,8,2776743534,2.3075852
54303661,10,179909247,2.045161
4042151,16,9973445,8.698669
40904291,7,96026104,2.7732036
152478114,20,129692064,2.0855088
19479481,6,115490710,1.406716
24276413,16,96386209,3.8351815
2781409005,18,138331970,3.1853871
195855529,10,2778234026,2.5646272
20822588,35,2780683402,5.351805
196781063,9,176871988,3.3692403
90149880,2,90208660,3.5333412
2780638806,16,2776129502,2.7069056
113078167,2,189394030,4.756812
2780495617,4,523546767,13.415615
2776188179,9,2780485761,3.5215113
93984277,2,135285700,2.0009866
120317633,25,159674985,0.81637335
2778435480,19,2777929615,5.5708547
2777105136,19,130805567,7.370534
2777071753,5,205300905,0.93257916
155730078,6,2777463368,1.9008116
106278948,19,13670688,0.989022
2777683962,2,103631927,3.0464494
116921373,13,205711294,1.2792618
34208539,17,86803240,11.4832
2778304665,16,24566897,1.5467949
139669111,15,11731853,6.644363
98501671,11,129792486,1.1527859
2779056813,9,2776243918,1.0159123
22615655,5,105580179,12.261656
21176728,5,15190523,0.83214676
204723758,13,6260449,1.7452517
8415881,6,60644358,0.8399065
51274741,2,95981142,6.7520266
2776033226,50,50442881,2.0086699
2777059624,21,2778618852,0.9043736
