concept_id,umls_aui_seq,umls_aui
2909590382,3,A26677018
2909500757,18,A3044541
2911055575,4,A7568888
2910035552,1,A15577648
2909905686,11,A23021956
2909828532,1,A0021077
2908807203,4,A5057191
2909380610,1,A1108798
2908689829,5,A21046284
2910317908,1,A0427511
2910545032,11,A9343762
2910732395,3,A18046063
2908776448,5,A3087721
2909998350,2,A18655382
2910205722,9,A7781370
2911225412,3,A0105933
2910254177,1,A18460467
2910877098,1,A0395050
2910354044,2,A0465591
2910034789,2,A18619442
2909657710,3,A18630709
2909974199,2,A18593592
2910339780,3,A18048187
2909837681,6,A17774343
2910790502,2,A7664794
2908838615,5,A0089493
2910496842,2,A18050623
2909947164,6,A18064803
2908551600,5,A12011312
2910872340,6,A3262955
2909220140,1,A1655787
2909971615,15,A27065606
2910669755,2,A1394980
2911210598,4,A17941579
2909191862,1,A7648887
2908642939,1,A4713712
2909110812,2,A7163160
2909623084,3,A19244028
2910975744,4,A18690390
2908812692,2,A25723026
2909448170,1,A0448108
2909113481,6,A9339807
2909334127,1,A0126864
2910561923,16,A7577920
2911035656,1,A14244939
2910090564,8,A3058901
2908839706,3,A24667881
2909986158,1,A0035180
2910689142,1,A0130139
2909901341,5,A17993239
2910230970,1,A0246988
2909252273,1,A0067855
2910049883,6,A7576794
2909408758,1,A0129533
2909065260,8,A24673257
2910715184,1,A0241962
2911002200,12,A18664887
2909030593,6,A15402645
2910841738,2,A0439022
2908711114,3,A0477824
2909241879,7,A0448819
2908559789,1,A0128436
2910312965,3,A17993027
2911054351,1,A18612221
2908885563,7,A13736022
2910046258,19,A7582612
2910933807,2,A26616700
2909528911,1,A0082314
2910118542,5,A15436747
2908916198,6,A19723038
2911188655,5,A8554851
2909571518,2,A0587032
2910531384,5,A0464980
2910826258,16,A7572698
2909223747,5,A20771551
2911190787,2,A26447153
2908967332,13,A22992658
2909420578,6,A18168132
2910568048,4,A23022418
2910353367,1,A0106857
2909972456,1,A23111881
2909870554,5,A25748129
2908554969,2,A0446113
2909117068,1,A0643371
2908524427,1,A0124112
2910060629,2,A22859695
2909040729,12,A24372450
2910366845,3,A7573014
2910042226,3,A17876731
2908775802,1,A17341721
2908991464,1,A0318992
2910137039,9,A22651363
2908724844,20,A22947480
2909204789,10,A9333001
2909184456,10,A13901250
2911073662,2,A0117018
2910536731,6,A26487560
2909938333,1,A0051544
2910639518,1,A0677121
2909461552,5,A18557107
2909828192,3,A0858246
2910703761,17,A23926364
2909868925,7,A26638602
2908868211,1,A17930110
2909134871,4,A18039603
2908852235,2,A23483020
2910111610,2,A19591963
2910857717,5,A28585977
2909680690,21,A2935320
2909298252,6,A24131294
2909698591,8,A24156066
2908646432,1,A0894958
2909640154,2,A0435105
2909437798,1,A10794069
2911202600,13,A4708649
2908748658,1,A0719152
2908570505,11,A23964115
2908520674,5,A16610032
2909347786,1,A18598189
2910492473,2,A0711734
2908924393,5,A18609242
2909176747,15,A8394973
2908875944,3,A26464624
2910317908,17,A4759738
2909048046,2,A0121062
2910668435,1,A0170072
2908795679,7,A3023250
2909752691,22,A8380576
2908929163,1,A1930191
2910901367,1,A0118582
2908730789,9,A8355471
2908724844,18,A21240357
2909217002,2,A0242005
2908737378,2,A14185843
2908728990,1,A0747942
2910891963,1,A1255217
2910106207,3,A24384900
2910046242,2,A11737128
2910543872,3,A23901788
2910168157,4,A23944658
2910274206,2,A0018482
2908762713,8,A24361627
2910351856,2,A1394726
2910378060,1,A0671058
2910927766,11,A2951437
2911082436,5,A24683199
2909831755,1,A17906466
2909600360,2,A0416326
2910509766,4,A18648260
2909837681,8,A18594428
2910404822,1,A8377768
2909544034,4,A6852875
2909890400,9,A7595113
2910288590,4,A0399333
2910927766,10,A26601519
2910908958,1,A1387773
2910349174,1,A0793396
2910552941,3,A18564685
