concept_id,umls_cui_seq,umls_cui
2776352991,1,C0013725
2779157977,1,C0349639
2985530498,1,C0282569
2780092750,1,C0027996
2776620988,1,C0226859
2908976351,1,C0034529
2780795997,1,C0038836
2909987724,1,C0038818
2777241137,1,C0254370
2776496254,1,C0037105
2779814588,1,C0010613
2781436864,1,C0051508
187069183,1,C0597345
2780560023,1,C0033124
2777006276,1,C0008356
2780023029,1,C0015082
2993743986,1,C0020748
73492039,1,C0331774
2780847362,1,C0033727
155647269,1,C0008003
2781137540,1,C0206283
20137635,1,C0005550
2779765511,1,C3538759
2908667503,1,C0079345
2910803801,1,C0035379
205875245,1,C0041197
2910130992,1,C0019100
2909974548,1,C0545594
516994506,1,C0008138
2776325015,1,C0230956
2781283055,1,C0077096
48921125,1,C2346679
2994199306,1,C0680779
3018086343,1,C1718384
2776214540,1,C0972314
2777542201,1,C0162789
2777916540,1,C0165073
2777529992,1,C0086247
98156149,1,C5211343
2908839706,1,C0266283
2779915019,1,C0870082
2779192864,1,C1268855
2776599950,1,C0995425
523008124,1,C0013816
2779829264,1,C3179549
2776281056,1,C0702091
2909986567,1,C0149506
140530291,1,C0205095
2908684587,1,C1184923
2778173338,1,C0067067
2777765887,1,C0262705
129669068,1,C1517334
2777825092,1,C2350281
2987404301,1,C0085559
2778586271,1,C3496176
2779878957,1,C3501358
2910945917,1,C0686895
2781459932,1,C0039432
2781297163,1,C0022536
2778050454,1,C0230045
140441792,1,C0679035
158589558,1,C3146223
206615009,1,C3538748
2775859304,1,C0014563
2777155639,1,C0330232
2986206625,1,C0700132
2778889443,1,C3652446
2779755712,1,C0042260
2781254715,1,C2015938
49249380,1,C1450280
2777448540,1,C0022957
3018667095,1,C1326961
17140001,1,C0949236
2776957298,1,C1955851
2779547071,1,C0206326
2776877979,1,C0002594
2781157581,1,C0023065
19869320,1,C0009630
2780657110,1,C0057277
2776606100,1,C0010570
2910589225,1,C2586298
27420735,1,C0030944
85704489,1,C0051508
3017819844,1,C2238079
2778261623,1,C1301019
2777752497,1,C0600495
143876685,1,C1748474
2909318450,1,C1711255
2781127917,1,C0071777
206103511,1,C0682996
2992655842,1,C4520844
2777635637,1,C0330839
2777135195,1,C0060426
37140074,1,C1423682
149288182,1,C4067879
2909074800,1,C0206187
2779417574,1,C4733715
2910142877,1,C1042458
157085824,1,C0221188
132096540,1,C0225442
2777786120,1,C3498679
2775939985,1,C1700535
2780472472,1,C2609414
2776630066,1,C0074718
136434205,1,C0598700
176019070,1,C0019421
178596483,1,C4068833
2909614525,1,C0009492
2778495548,1,C0968233
92274894,1,C3179134
2781023310,1,C0295734
529928208,1,C0679771
70816921,1,C3890194
2780296214,1,C0068812
2780148907,1,C0344323
2911203908,1,C0024141
2778748851,1,C0003588
2778394261,1,C0995142
2777347110,1,C1608295
2776430180,1,C0019104
2776611274,1,C0998622
162462552,1,C0376644
3020442864,1,C0266362
20497413,1,C0695534
2779411416,1,C0446214
189166818,1,C0030607
2777509971,1,C0041196
2781042402,1,C1002338
2909121775,1,C0010163
106257327,1,C0907411
2776469228,1,C3160815
2777822432,1,C0444498
527038400,1,C0039994
2777682441,1,C0430462
2777914855,1,C0006825
204106720,1,C1707536
2909208188,1,C0278604
138379479,1,C0699956
2910900810,1,C0035228
2781275326,1,C1262461
51886252,1,C0002068
2777910461,1,C0043049
2776505523,1,C1301732
59111918,1,C0086498
2777553912,1,C0057233
2908738153,1,C5203172
2779978075,1,C4551529
181901479,1,C0021759
2780016893,1,C5240560
199521495,1,C1704775
2781068226,1,C0079507
59582021,1,C1511491
2777032962,1,C0072494
2776066529,1,C0071304
2780464318,1,C3880387
12505134,1,C1510628
2776972258,1,C0162835
207103383,1,C2985465
2777766392,1,C0023374
133807990,1,C4744865
2911195050,1,C3179392
2777111245,1,C0996909
95930237,1,C2350474
173523689,1,C0813981
2780777367,1,C0085294
2910335277,1,C0008466
2778062582,1,C0056655
2777587929,1,C0650824
2776766014,1,C0319863
120527767,1,C0581901
2778286760,1,C0002979
16634123,1,C0871388
2780983412,1,C0163305
2776094402,1,C0287829
2985420695,1,C3858744
2778605236,1,C0006496
8184842,1,C0025987
2779745421,1,C0009003
2779659934,1,C0331000
2777832065,1,C0003134
2780996943,1,C1285334
2779200925,1,C0054247
2776244770,1,C0205443
2778744836,1,C0163697
192144188,1,C1710123
2779990042,1,C0014733
26517878,1,C1554080
3018868011,1,C0008732
31684184,1,C0678595
2910111155,1,C1261248
179093185,1,C0064635
2908892503,1,C3494405
183873130,1,C0007609
2779306647,1,C0870619
2781167329,1,C0030521
2777038808,1,C0008152
2910589926,1,C0026510
2910678351,1,C0220838
100921725,1,C0871396
2780013391,1,C0001648
58328972,1,C0015324
2776261420,1,C0085568
2780133907,1,C0011103
206836424,1,C0037400
2909956880,1,C0019364
206865886,1,C0597234
92880739,1,C1721059
2779594111,1,C0015731
2780136152,1,C0890451
2908999040,1,C0546879
2910435018,1,C0681144
64927066,1,C0019652
2780910680,1,C1006183
2779209897,1,C0376587
2781116636,1,C0042305
2781131914,1,C0085209
2775847163,1,C0006774
2993199152,1,C0078814
94081185,1,C0751980
2796436,1,C1517676
3019662062,1,C0920397
511355011,1,C0028754
2779303437,1,C0006948
160704184,1,C1850386
2778648569,1,C0077513
2777653605,1,C0753645
194887381,1,C0162686
2779813781,1,C1956110
2778557577,1,C0004245
2775960720,1,C0033511
2778334829,1,C0079850
125555471,1,C0040688
2910262544,1,C0263333
2781460891,1,C0029446
134056017,1,C0034559
2777497464,1,C0037871
2777469381,1,C0949586
2780854726,1,C0022541
133882971,1,C0292147
2992613538,1,C0005560
168444539,1,C0029216
2781418243,1,C0239816
2777960920,1,C0179740
200288055,1,C0013879
2776332859,1,C0649350
2779234561,1,C0032961
1232282,1,C2827657
3019164498,1,C0037669
2779030066,1,C0026850
125046197,1,C0019565
2910644744,1,C0039063
37228920,1,C0243012
2778563749,1,C0085529
2778525890,1,C0002006
18103114,1,C0035142
2908929680,1,C0348007
537208039,1,C0028158
160941953,1,C3658328
2778829437,1,C2713369
143121216,1,C1956108
127801297,1,C0214153
2775895372,1,C0033689
81182388,1,C0009566
2779573886,1,C0037558
521304379,1,C0870587
176398731,1,C0680961
558565934,1,C0681246
2779442720,1,C0997987
2992865130,1,C0043056
2780427682,1,C0598800
2909279666,1,C0327682
97615245,1,C3853632
2778724459,1,C0022949
206391251,1,C0028723
2780660124,1,C0053526
3019020247,1,C2938905
2778624547,1,C0768119
2988145974,1,C3658310
2776286485,1,C0005078
124952713,1,C0023866
2778803964,1,C0319941
2778230176,1,C0751383
125907379,1,C1706911
29456083,1,C0018417
516920438,1,C0025617
169403781,1,C0031264
206729178,1,C3244294
2778972612,1,C0034050
98319499,1,C0686878
2776775700,1,C1449837
35802184,1,C4505322
2776350087,1,C0222660
2779642046,1,C5197695
166151441,1,C0085978
53009064,1,C0031939
2778834519,1,C1044232
2777145635,1,C1698488
170858558,1,C2600034
2777121669,1,C0034150
162376815,1,C4684678
2776009832,1,C0025526
172507514,1,C0311375
2779529041,1,C4505151
2780877482,1,C1409894
3017924640,1,C0020522
205309187,1,C5202635
25834368,1,C0221929
2779564476,1,C1058727
2776701107,1,C2003424
83482732,1,C1417541
58489278,1,C0150098
59167565,1,C4505214
51575053,1,C0680826
172256273,1,C1326520
169453685,1,C0598031
2778163040,1,C0392777
2776780031,1,C0238334
2778984665,1,C0014479
2776680279,1,C0085551
2776264772,1,C0038522
2777926911,1,C0074798
76717236,1,C1510525
2777543196,1,C0035372
2910109830,1,C0006345
2776258492,1,C0132524
2909832856,1,C0752304
35651441,1,C0085862
2909916134,1,C0085297
2780534471,1,C0162344
2780634440,1,C0123091
83263248,1,C0108171
124385694,1,C0259980
40684141,1,C1516801
2776238763,1,C0085129
2781264555,1,C0064971
2994453816,1,C1532552
3019235130,1,C0032080
2776228421,1,C0014964
2910372796,1,C0005395
2775963564,1,C0020710
555894677,1,C0023031
105696609,1,C1155874
2776639550,1,C0337794
192071366,1,C0013171
2909050692,1,C0700632
128489963,1,C0016107
2780088626,1,C0040434
2778902199,1,C0055431
2778594517,1,C0085593
2781238263,1,C0272414
2779496863,1,C0025506
2779950389,1,C0238621
2909567013,1,C1720997
2778420591,1,C0070276
2992108202,1,C0016116
2776264970,1,C0008267
2908820407,1,C1518453
551968917,1,C0008532
2778804307,1,C0007117
2908900992,1,C0342418
2779546955,1,C0031397
2780783007,1,C1263846
2779400912,1,C0208097
2775935906,1,C0997261
2776780712,1,C2350345
203394866,1,C3494276
2779036879,1,C0997162
136475424,1,C0950142
2779988585,1,C1184808
2780654407,1,C3272784
3018552312,1,C1456630
2777612989,1,C0242637
7029365,1,C0600401
132010649,1,C0233828
2992700788,1,C0205905
3017944768,1,C0597261
19407854,1,C0086042
2775944640,1,C0042156
2777111502,1,C0011535
45801056,1,C2717811
108260229,1,C0228206
2779936836,1,C0005779
100598020,1,C2585246
22958824,1,C3879789
2775857624,1,C0038543
75786782,1,C0440048
2779849746,1,C0137758
2777062278,1,C0008441
3020572553,1,C0681098
2781171461,1,C0149555
41132520,1,C0574317
2779789524,1,C3273176
2778740770,1,C1708790
2909643359,1,C1093024
197115733,1,C0443221
2779321498,1,C0074738
2776684476,1,C0041214
26077564,1,C0439656
2777336333,1,C0937917
2994117223,1,C0814785
5150642,1,C4546908
557119937,1,C0008088
2776134716,1,C0681205
