field_id,alternative_name_seq,alternative_name
11,2,agrobiology
13,2,genomics
15,1,process engineering
17,1,CS
17,5,sciences of computing
17,9,comp sci
17,13,informatics
18,3,operations research
19,2,planetary sciences
21,2,energy science and technology
23,1,green science
25,2,materials of engineering and construction
27,1,healthcare sciences
31,2,physical science
34,2,veterinary medicine
35,3,oral health sciences
13,3,molecular biology
14,1,business management
16,1,chemical sciences
17,4,computing sciences
17,8,computer studies
17,12,compsci
18,2,theory of choice
20,2,financial economics
22,1,engineering sciences
24,2,microbial sciences
25,3,material engineering
28,1,neurobiology
30,2,pharmaceutical sciences
31,3,astrophysics
33,1,political sciences
35,2,oral medicine
11,1,scientific agriculture
13,1,biological chemistry
14,3,corporate studies
15,2,chemical process engineering
17,2,science of computing
17,6,computation science
17,10,comp. sci
19,1,geosciences
21,1,energy studies
23,2,environmental studies
25,1,materials science and engineering
31,1,general physics
33,3,anthropology
34,1,veterinary science
36,1,health sciences
12,1,humanities
14,2,business administration
17,3,information processing science
17,7,computing
17,11,comp. sci.
18,1,decision theory
20,1,applied economics
23,3,environmental and ecological sciences
24,1,allergy and immunology
28,2,cognitive neuroscience
30,1,therapeutics
33,2,sociology
35,1,dental medicine
