field_id,sibling_field_seq,sibling_field_id
11,3,28
12,2,18
13,3,28
14,1,12
14,5,33
15,4,21
15,8,26
16,1,15
16,5,22
16,9,31
17,4,21
17,8,26
18,2,14
19,3,17
19,7,25
20,2,14
21,3,17
21,7,25
22,1,15
22,5,21
22,9,31
23,4,19
23,8,26
24,2,13
25,3,17
25,7,23
26,1,15
26,5,21
26,9,31
27,4,34
28,1,11
29,4,34
30,2,13
31,3,17
31,7,23
32,4,20
33,1,12
33,5,32
34,3,27
35,2,27
36,3,29
11,2,24
12,3,20
13,2,24
14,4,32
15,1,16
15,5,22
15,9,31
16,4,21
16,8,26
17,1,15
17,5,22
17,9,31
18,3,20
19,2,16
19,6,23
20,3,18
21,2,16
21,6,23
22,4,19
22,8,26
23,1,15
23,5,21
23,9,31
24,3,28
25,2,16
25,6,22
26,4,19
26,8,25
27,1,35
28,4,30
29,1,35
30,3,24
31,2,16
31,6,22
32,1,12
32,5,33
33,4,20
34,2,36
35,3,29
36,2,27
11,4,30
12,1,14
12,5,33
13,4,30
14,2,18
15,3,19
15,7,25
16,2,17
16,6,23
17,3,19
17,7,25
18,1,12
18,5,33
19,4,21
19,8,26
20,1,12
20,5,33
21,4,19
21,8,26
22,2,16
22,6,23
23,3,17
23,7,25
24,1,11
25,4,19
25,8,26
26,2,16
26,6,22
27,3,29
28,2,13
29,3,27
30,1,11
31,4,19
31,8,25
32,3,18
33,2,14
34,4,29
35,1,36
36,4,34
11,1,13
12,4,32
13,1,11
14,3,20
15,2,17
15,6,23
16,3,19
16,7,25
17,2,16
17,6,23
18,4,32
19,1,15
19,5,22
19,9,31
20,4,32
21,1,15
21,5,22
21,9,31
22,3,17
22,7,25
23,2,16
23,6,22
24,4,30
25,1,15
25,5,21
25,9,31
26,3,17
26,7,23
27,2,36
28,3,24
29,2,36
30,4,28
31,1,15
31,5,21
31,9,26
32,2,14
33,3,18
34,1,35
35,4,34
36,1,35
