field_id,subfield_seq,subfield_id
11,4,1105
11,8,1108
12,1,1204
12,5,1202
12,9,1209
12,13,1213
13,4,1305
13,8,1309
13,12,1313
14,2,1403
14,6,1406
15,3,1504
16,2,1603
16,6,1607
17,3,1704
17,7,1708
17,11,1712
18,1,1800
19,4,1907
19,8,1912
20,1,2002
21,4,2104
22,2,2216
22,6,2205
22,10,2200
22,14,2214
23,3,2304
23,7,2311
23,11,2312
24,1,2402
24,5,2406
25,4,2500
25,8,2508
26,2,2604
26,6,2610
26,10,2614
27,3,2704
27,7,2708
27,11,2714
27,15,2718
27,18,2723
27,22,2727
27,26,2731
27,30,2735
27,33,2738
27,37,2742
27,41,2747
28,2,2803
28,6,2807
29,3,2916
30,1,3002
31,4,3104
31,8,3109
32,3,3204
32,7,3207
33,2,3302
33,6,3303
33,10,3305
33,14,3309
33,19,3311
35,1,3500
36,4,3605
36,8,3611
11,3,1104
11,7,1100
11,11,1111
12,2,1205
12,6,1207
12,10,1210
13,3,1304
13,7,1308
13,11,1312
14,1,1402
14,5,1405
14,9,1409
15,4,1506
16,1,1602
16,5,1606
17,4,1705
17,8,1709
18,2,1802
19,3,1906
19,7,1911
20,2,2003
21,3,2100
22,1,2202
22,5,2215
22,9,2208
22,13,2211
22,16,2213
23,4,2305
23,8,2308
24,2,2403
25,3,2504
25,7,2507
26,1,2602
26,5,2608
26,9,2613
27,4,2705
27,8,2711
27,12,2715
27,17,2721
27,21,2726
27,25,2730
27,29,2734
27,34,2739
27,38,2743
27,42,2748
28,1,2802
28,5,2806
29,4,2922
30,2,3003
31,3,3107
31,7,3108
32,4,3205
33,1,3314
33,5,3317
33,9,3300
33,13,3308
33,16,3310
33,20,3312
35,2,3504
36,3,3600
36,7,3609
36,11,3616
11,1,1102
11,5,1106
11,9,1109
12,4,1200
12,8,1208
12,12,1212
13,1,1302
13,5,1306
13,9,1310
13,13,1314
14,3,1410
14,7,1407
15,2,1503
15,6,1508
16,3,1604
17,2,1703
17,6,1707
17,10,1711
18,4,1804
19,1,1902
19,5,1908
21,1,2102
21,5,2105
22,3,2203
22,7,2206
22,11,2209
22,15,2212
23,2,2303
23,6,2307
23,10,2310
24,4,2405
25,1,2502
25,5,2505
26,3,2605
26,7,2611
27,2,2703
27,6,2706
27,10,2713
27,14,2717
27,19,2725
27,23,2728
27,27,2732
27,31,2736
27,32,2737
27,36,2741
27,40,2746
28,3,2804
28,7,2808
29,2,2911
30,4,3005
31,1,3102
31,5,3105
32,2,3203
32,6,3206
33,3,3315
33,7,3304
33,11,3306
33,15,3319
33,18,3321
33,22,3322
34,1,3402
35,4,3506
36,1,3603
36,5,3607
36,9,3612
11,2,1103
11,6,1107
11,10,1110
12,3,1206
12,7,1203
12,11,1211
13,2,1303
13,6,1307
13,10,1311
13,14,1315
14,4,1404
14,8,1408
15,1,1502
15,5,1507
16,4,1605
17,1,1702
17,5,1706
17,9,1710
18,3,1803
19,2,1904
19,6,1910
20,3,2000
21,2,2103
22,4,2204
22,8,2207
22,12,2210
23,1,2302
23,5,2306
23,9,2309
24,3,2404
25,2,2503
25,6,2506
26,4,2607
26,8,2612
27,1,2702
27,5,2707
27,9,2712
27,13,2716
27,16,2720
27,20,2724
27,24,2729
27,28,2733
27,35,2740
27,39,2745
28,4,2805
28,8,2809
29,1,2910
30,3,3004
31,2,3103
31,6,3106
32,1,3202
32,5,3200
33,4,3316
33,8,3318
33,12,3307
33,17,3320
33,21,3313
34,2,3404
35,3,3505
36,2,3604
36,6,3608
36,10,3614
