funder_id,funder,country_iso_alpha2_code,description,homepage_url,ror_id,openalex_id,wikidata_id,image_url,thumbnail_url,updated_date,created_date
4320307044,Pasteur Foundation,US,"nonprofit organization in New York, United States",http://www.pasteurfoundation.org,01n0cq521,F4320307044,Q30268302,,,2024-08-30,2023-02-13
4320323401,Universidad Nacional Autónoma de México,MX,public research university in Mexico,https://www.unam.mx,01tmp8f25,F4320323401,Q222738,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Escudo-UNAM-escalable.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Escudo-UNAM-escalable.svg&width=300,2024-08-30,2023-02-13
4320335143,"Islamic Azad University, Fasa Branch",IR,,http://iaufasa.ac.ir/homepage.aspx?site=DouranPortal&tabid=1&lang=fa-IR,01xbtjm93,F4320335143,,,,2024-08-29,2023-02-13
4320329516,China National Biotec Group Company,CN,"company in Beijing, China",https://www.cnbg.com.cn,,F4320329516,Q107518085,,,2024-04-13,2023-02-13
4320312248,HAND Research Foundation,US,,http://www.thehandfoundation.org,05bnw2b86,F4320312248,,,,2024-08-29,2023-02-13
4320313700,Mobile Housing Board,US,,,,F4320313700,,,,2024-08-26,2023-02-13
4320334460,VA Pittsburgh Healthcare System,US,"healthcare organization in Pittsburgh, United States",http://www.pittsburgh.va.gov,02qm18h86,F4320334460,Q30279819,,,2024-08-30,2023-02-13
4320321555,Chubu University,JP,"Higher education institution in Aichi Prefecture, Japan",http://www.chubu.ac.jp,02sps0775,F4320321555,Q5115295,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Chubu University.JPG,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Chubu University.JPG&width=300,2024-08-30,2023-02-13
4320319978,Brain Tumour Foundation of Canada,CA,organization,https://www.braintumour.ca,04w23ys68,F4320319978,Q3075602,,,2024-08-30,2023-02-13
4320311841,Fundació Ciutat de Valls,ES,"foundation in Valls, Spain",,,F4320311841,Q45131920,,,2024-03-19,2023-02-13
4320308664,Parent Project Muscular Dystrophy,US,"nonprofit organization in Hackensack, United States",http://www.parentprojectmd.org,01hhm9k47,F4320308664,Q30291322,,,2024-08-30,2023-02-13
4320308129,Cancer Prevention and Research Institute of Texas,US,"facility in Austin, United States",http://www.cprit.state.tx.us,0003xa228,F4320308129,Q30296524,,,2024-08-30,2023-02-13
4320309642,ISEF Foundation,US,"nonprofit organization in New York, United States",https://iseffoundation.org,04tnf8c76,F4320309642,Q30272418,,,2024-08-30,2023-02-13
4320321194,Chonbuk National University,KR,a South Korean university,http://www.jbnu.ac.kr,05q92br09,F4320321194,Q623851,,,2024-08-30,2023-02-13
4320333679,South Central Climate Adaptation Science Center,US,,,,F4320333679,,,,2024-08-29,2023-02-13
4320315401,International Society for Biomedical Research on Alcoholism,US,,,,F4320315401,,,,2024-03-19,2023-02-13
4320313749,Taser International,US,"American developer, manufacturer, and distributor",https://global.axon.com,,F4320313749,Q690604,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/AXON Company logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/AXON Company logo.svg&width=300,2024-08-11,2023-02-13
4320336715,"Future Robotics Organization, Waseda University",JP,,https://www.waseda.jp/inst/fro,,F4320336715,Q28691343,,,2024-08-18,2023-02-13
4320336582,Collaborative Innovation Project of Colleges and Universities of Anhui Province,CN,,,,F4320336582,,,,2024-08-29,2023-02-13
4320310880,Rygbi Innovations,GB,,,,F4320310880,,,,2024-03-19,2023-02-13
4320318730,Aminex Therapeutics,US,"company in Kirkland, United States",https://aminextx.com,05qfktv10,F4320318730,Q107517988,,,2024-08-30,2023-02-13
4320308816,International Furnishings and Design Association Educational Foundation,US,,http://www.ifda.com,04pc51341,F4320308816,,,,2024-08-30,2023-02-13
4320322354,Kronotex,DE,"company in Heiligengrabe, Germany",http://www.kronotex.com/cms/Kronotex/0008163044.html,04y8p8435,F4320322354,Q30264116,,,2024-08-30,2023-02-13
4320336925,Shandong Provincial Postdoctoral Science Foundation,CN,,,,F4320336925,,,,2024-08-30,2023-02-13
4320323453,Hyogo College of Medicine,JP,"higher education institution in Hyōgo Prefecture, Japan",http://www.hyo-med.ac.jp,001yc7927,F4320323453,Q5957059,,,2024-08-30,2023-02-13
4320311949,Hadassah Foundation,US,,http://www.hadassah.org,04tst3481,F4320311949,,,,2024-08-30,2023-02-13
4320306481,Prevent Cancer Foundation,US,organization,http://www.preventcancer.org,03jpt8f29,F4320306481,Q7242348,,,2024-08-30,2023-02-13
4320317793,Department of Human Resources and Social Security of Guangxi Zhuang Autonomous Region,CN,,,,F4320317793,,,,2024-08-10,2023-02-13
4320331595,Tourette Gesellschaft Deutschland,DE,,,,F4320331595,,,,2024-03-19,2023-02-13
4320337960,Global Ocean Monitoring and Observing Program,US,,,,F4320337960,,,,2024-08-27,2023-02-13
4320313669,Hoechst Marion Roussel,US,American pharmaceutical company,,,F4320313669,Q112085305,,,2024-08-11,2023-02-13
