funder_id,alternative_name_seq,alternative_name
4320307128,2,The ALS Hope Foundation
4320311825,2,Facoltà di Medicina e Psicologia dell’Università degli Studi di Roma — La Sapienza”
4320312045,3,Vegetables New Zealand Inc.
4320325314,1,KUF
4320325133,1,Bundesbank
4320308045,3,"Connecticut Innovations, Inc."
4320310370,1,PNASH
4320313567,1,UNSW Canberra
4320337312,4,IM-UGR
4320318943,1,SCS
4320321435,1,安徽大学
4320310983,1,Italian Foundation for the fight against Neuroblastoma
4320317497,5,Российский технологический университет
4320333502,5,UK Center for Applied Energy Research
4320318278,1,爱茉莉太平洋
4320331251,3,สอวช
4320316427,1,Federal University of Viçosa
4320329690,1,国立清洁低碳能源研究所
4320335363,1,PDG
4320338184,3,ARC Centre of Excellence for Mathematical & Statistical Frontiers
4320311810,1,Stiftelsen Maud Kuistilas minne
4320318253,3,Иркутский национальный исследовательский технический университет
4320312143,9,National Center for Supercomputing Applications University of Illinois
4320334554,3,Biointerfaces Institute University of Michigan
4320315861,3,Missouri Department of Health & Senior Services
4320330551,1,University of Technology of Troyes
4320314956,1,NJSCA
4320328400,1,Crous Lyon
4320323481,2,"Ministerio de Economía, Fomento y Turismo de Chile"
4320320365,40,EĀDD
4320318389,2,Torbat Heydarieh University of Medical Sciences
4320309809,2,"SHIONOGI & CO., LTD."
4320328548,1,ILRI
4320321250,1,KMU
4320333336,2,Foundation for Research in Science and the Humanities at the University of Zurich
4320309408,3,Indiana CTSI
4320333450,8,United States Department of Energy's National Energy Technology Laboratory
4320319309,4,Cerevel Therapeutics Hldg
4320314738,2,"Black Belt Community Foundation, Inc."
4320326778,4,Centre Suisse de Toxicologie Humaine Appliquée
4320333816,2,Bayer Public Limited Company
4320310673,1,SDBOR
4320333850,3,SCTR
4320324596,2,NIG
4320310205,10,ML4
4320334469,5,UNLV Lee Business School
4320315227,2,The Scottish Rock Garden Club
4320324020,2,SARDI
4320333412,7,Department of Anesthesiology & Pain Medicine of the University of Washington
4320328798,2,NITC
4320338373,35,ENVIRONMENT - Programma specifico 'Cooperazione': Ambiente (incl. cambiamenti climatici)
4320319006,1,ইউনাইটেড ইন্টারন্যাশনাল ইউনিভার্সিটি
4320327187,2,The European Association of Cardiothoracic Anaesthesiology
4320306914,1,LCF
4320314920,5,Harvard's Loeb Classical Library Foundation
4320316790,3,Kyūshū Electric Power Company
4320321469,2,Federal Ministry of Economics and Technology
4320335779,2,Environment Building for S&T Industries
4320338007,1,TIP/TI
4320316471,2,"Inovio Pharmaceuticals, Inc."
4320333191,1,CNSM
4320310560,2,"Associated Western Universities, Inc."
4320331108,1,湖南省科学技术协会
4320329329,3,René and Susanne Braginsky Foundation
4320328840,1,"Anhui Provincial Key Laboratory of Chemistry for Inorganic/Organic Hybrid Functionalized Materials, AHU"
4320329092,2,Padjadjaran University
4320323003,1,AMA
4320328997,1,SIDB
4320319697,1,Avotres Therapeutics LLC
4320337131,1,國立陽明大學張平倫癌症暨生物治療研究中心
4320332043,4,Swiss Society for Endocrinology and Diabetes
4320332138,4,Svenska naprapat förbundet
4320338367,13,FP7 NMP
4320338371,17,Programa específico 'Capacidades': Apoyo al desarrollo coherente de políticas de investigación
4320335749,2,Brazilian Synchrotron Light Laboratory
4320323539,1,Ministry of Human Resources and Social Security of the People's Republic of China
4320312333,3,Chennai University
4320316826,2,BioFire
4320323809,2,MEC
4320317325,1,International S&T Cooperation Program of Sichuan Province
4320337997,2,The National Integrated Drought Information System
4320329411,2,Federal University of São Francisco Valley
4320330687,2,The Uganda Cancer Institute
4320316125,2,"China State Railway Group Company, Ltd."
4320337173,1,کمیته تحقیقات دانشجویی
4320317788,2,山西省卫生健康委员会
4320334476,3,Hopkins Population Center
4320312266,1,The Ford Family Foundation
4320334045,3,GNSAGA
4320318281,3,The Lowy Medical Research Institute
4320318140,4,Foundation of the Liver
4320308695,4,NASA Florida Space Grant Consortium
4320317260,6,The Steven Giallourakis Adolescent and Young Adult Cancer Research Fund
4320337083,3,Faculty of Medicine and Health - The University of Sydney
4320318482,2,ARPF
4320336781,2,"The Key Laboratory of Myocardial Ischemia, Chinese Ministry of Education"
4320327636,2,Biomedical Research Center Network on Physiopathology of Obesity and Nutrition
4320332454,5,PRF
4320337210,3,UNILIM
4320308766,1,Georgia O'Keeffe Museum
4320306305,8,Dana Foundation Inc.
4320317811,1,EQT Foundation
