funder_id,publisher_seq,publisher_id
4320334717,44,4310316182
4320321409,90,4310321980
4320313792,30,4310315607
4320321409,18,4310312944
4320326728,64,4310318911
4320323482,108,4366736682
4320317438,85,4310321201
4320317047,85,4310321201
4320307759,96,4324004213
4320309899,24,4310314114
4320320377,103,4360969405
4320315142,102,4360969390
4320337449,20,4310313035
4320332511,49,4310316467
4320322998,1,4310319025
4320323482,103,4360969405
4320325076,80,4310320595
4320328664,93,4310322741
4320308001,53,4310316851
4320337426,25,4310314115
4320323482,96,4324004213
4320318072,60,4310318525
4320308416,87,4310321318
4320313331,56,4310318349
4320312168,14,4310312535
4320307768,97,4324114469
4320338085,1,4310318613
4320335130,55,4310317726
4320307948,50,4310316487
4320310223,1,4323970070
4320335130,84,4310321136
4320321458,34,4310315758
4320313331,70,4310319632
4320332511,81,4310320615
4320337504,57,4310318363
4320335313,1,4310312927
4320337450,13,4310312516
4320337756,60,4310318525
4320311420,1,4310321629
4320337645,1,4310316229
4320311418,91,4310322173
4320313903,67,4310319542
4320315142,36,4310315795
4320316986,1,4310319657
4320321591,73,4310320083
4320325560,82,4310320631
4320307759,59,4310318496
4320337549,1,4310315789
4320322390,94,4320800646
4320307768,80,4310320595
4320334716,53,4310316851
4320335258,42,4310316006
4320332546,53,4310316851
4320332194,71,4310319908
4320306617,53,4310316851
4320321089,57,4310318363
4320327444,55,4310317726
4320326417,65,4310319053
4320317438,88,4310321339
4320311418,50,4310316487
4320313331,76,4310320465
4320311203,68,4310319546
4320327748,1,4310313425
4320332606,1,4310315630
4320309754,30,4310315607
4320320560,76,4310320465
4320326574,73,4310320083
4320332456,44,4310316182
4320311344,46,4310316318
4320335078,46,4310316318
4320332546,78,4310320561
4320307937,79,4310320583
4320332164,38,4310315910
4320337583,55,4310317726
4320335130,39,4310315964
4320324705,69,4310319613
4320308416,69,4310319613
4320337589,96,4324004213
4320323425,85,4310321201
4320308889,39,4310315964
4320323589,70,4310319632
4320320303,6,4310311851
4320315142,71,4310319908
4320337429,85,4310321201
4320313331,21,4310313205
4320332584,105,4362724850
4320323746,28,4310315402
4320337589,34,4310315758
4320326574,8,4310311891
4320313331,67,4310319542
4320321609,94,4320800646
4320324337,16,4310312843
4320337449,45,4310316289
4320326417,22,4310313324
4320322715,79,4310320583
4320332718,92,4310322525
4320330293,58,4310318480
4320306105,61,4310318641
4320332194,106,4362724855
4320323605,15,4310312682
4320310752,78,4310320561
4320326728,20,4310313035
4320325560,104,4361730441
4320337529,29,4310315416
4320337449,106,4362724855
4320323589,56,4310318349
4320323037,42,4310316006
4320320377,14,4310312535
4320321169,1,4322764866
4320307794,84,4310321136
4320320560,46,4310316318
4320323497,39,4310315964
4320307765,98,4327874076
4320326574,31,4310315654
4320309705,37,4310315849
4320309775,12,4310312461
4320332920,23,4310313371
4320310137,1,4310312995
4320307898,28,4310315402
4320307794,27,4310315397
4320323037,13,4310312516
4320332896,41,4310316000
4320334938,43,4310316084
4320306994,6,4310311851
4320308416,6,4310311851
4320332433,38,4310315910
4320317157,16,4310312843
4320307759,35,4310315774
4320322390,98,4327874076
4320332456,37,4310315849
4320337527,1,4310315575
4320320524,1,4362724839
4320308451,1,4310315747
4320337529,68,4310319546
4320313331,33,4310315693
4320327444,11,4310312441
4320335078,89,4310321767
4320337583,108,4366736682
4320332916,89,4310321767
4320322547,44,4310316182
4320310570,88,4310321339
4320329263,1,4310315469
4320328664,71,4310319908
4320307759,106,4362724855
4320306994,20,4310313035
4320310960,103,4360969405
4320317047,31,4310315654
4320308416,75,4310320258
4320330895,62,4310318686
4320337449,10,4310312391
4320335078,70,4310319632
4320322715,19,4310312960
4320313903,82,4310320631
4320332731,1,4310315701
4320322547,56,4310318349
4320307158,1,4310315639
4320320892,103,4360969405
4320337601,68,4310319546
4320307898,41,4310316000
4320337583,74,4310320186
4320311989,1,4310311647
4320307937,91,4310322173
4320324526,75,4310320258
4320317059,3,4310311490
4320307898,48,4310316446
4320307946,64,4310318911
4320312106,1,4310316198
4320330895,103,4360969405
4320308416,79,4310320583
4320309775,90,4310321980
4320335191,96,4324004213
4320313903,66,4310319200
4320337583,9,4310311937
4320320377,58,4310318480
4320321697,1,4310313918
4320309070,1,4310316608
4320311344,4,4310311671
4320309705,82,4310320631
4320337756,27,4310315397
4320323603,1,4310318956
4320307784,78,4310320561
4320332164,33,4310315693
4320337589,3,4310311490
4320331623,35,4310315774
4320317157,57,4310318363
4320311899,39,4310315964
4320308678,104,4361730441
4320307784,14,4310312535
4320309163,82,4310320631
4320326728,82,4310320631
4320309503,88,4310321339
4320337429,6,4310311851
4320335140,1,4310319342
4320321603,1,4361727540
4320324086,42,4310316006
4320334938,6,4310311851
4320326574,103,4360969405
4320334820,39,4310315964
4320309163,55,4310317726
4320310960,35,4310315774
4320332920,93,4310322741
4320307948,24,4310314114
4320337529,47,4310316371
4320317039,1,4310318773
4320307784,95,4320800704
4320337429,90,4310321980
4320311880,92,4310322525
4320330636,25,4310314115
4320309705,1,4310310985
4320320892,22,4310313324
4320306617,62,4310318686
4320330293,106,4362724855
4320332546,99,4327874768
4320323744,62,4310318686
4320337756,73,4310320083
4320326417,46,4310316318
4320321479,37,4310315849
4320321479,16,4310312843
4320326417,27,4310315397
4320337504,83,4310321047
4320310986,1,4310319600
4320310960,55,4310317726
4320323605,55,4310317726
4320332456,86,4310321283
4320308612,42,4310316006
4320310960,46,4310316318
4320307768,59,4310318496
4320320377,55,4310317726
4320317059,29,4310315416
4320311344,96,4324004213
4320307766,105,4362724850
4320337756,83,4310321047
4320335078,107,4365921336
4320308889,98,4327874076
4320322715,10,4310312391
4320330293,74,4310320186
4320337583,20,4310313035
4320334820,57,4310318363
4320309775,95,4320800704
4320309705,15,4310312682
4320319227,16,4310312843
4320320737,108,4366736682
4320307453,32,4310315662
4320322867,37,4310315849
4320311899,77,4310320558
4320311880,52,4310316729
4320311203,26,4310314938
4320323425,3,4310311490
4320322452,105,4362724850
4320318072,86,4310321283
4320307794,67,4310319542
4320322687,1,4361729657
4320310570,16,4310312843
4320325185,1,4310312338
4320307771,51,4310316725
4320326574,56,4310318349
4320323037,103,4360969405
4320337756,41,4310316000
4320318253,46,4310316318
4320326417,101,4360969318
4320332456,77,4310320558
4320307784,98,4327874076
4320334986,1,4310311940
4320310752,97,4324114469
4320309110,27,4310315397
4320317059,89,4310321767
4320311899,59,4310318496
4320311148,1,4310316082
4320309021,69,4310319613
4320335191,44,4310316182
4320307784,58,4310318480
4320337589,45,4310316289
4320311274,60,4310318525
4320318253,9,4310311937
4320312144,66,4310319200
4320307765,64,4310318911
4320332735,93,4310322741
4320328705,65,4310319053
4320322452,22,4310313324
4320323746,42,4310316006
4320309251,6,4310311851
4320313794,52,4310316729
4320337579,1,4310315571
4320320737,7,4310311861
4320311203,104,4361730441
4320337504,100,4327986515
4320324086,72,4310320017
4320332735,30,4310315607
4320332511,39,4310315964
4320313903,69,4310319613
4320321609,58,4310318480
4320313794,67,4310319542
4320311899,71,4310319908
4320332314,1,4310315895
4320323432,9,4310311937
4320317438,84,4310321136
4320332194,46,4310316318
4320321609,17,4310312935
4320320377,73,4310320083
4320315434,36,4310315795
4320321591,106,4362724855
4320309110,96,4324004213
4320322715,54,4310317233
4320317438,12,4310312461
4320337449,52,4310316729
4320307937,83,4310321047
4320337583,25,4310314115
4320306105,38,4310315910
4320330636,84,4310321136
4320323606,1,4310319589
4320323309,1,4310321128
4320336181,1,4310318740
4320332511,11,4310312441
4320307771,10,4310312391
4320326728,94,4320800646
4320322715,41,4310316000
4320329719,47,4310316371
4320322452,48,4310316446
4320328205,1,4310317268
4320327444,103,4360969405
4320335200,1,4310313373
4320323482,97,4324114469
4320307768,90,4310321980
4320311899,81,4310320615
4320320892,10,4310312391
4320309021,66,4310319200
4320334938,35,4310315774
4320320560,65,4310319053
4320324850,1,4362643775
4320329987,73,4310320083
4320323605,8,4310311891
4320307937,38,4310315910
4320309250,82,4310320631
4320313903,61,4310318641
4320330895,96,4324004213
4320332920,92,4310322525
