institution_id,acronym_seq,acronym
4210116601,1,CWAE
126527374,1,PFUR
3132096951,1,HEI
1280536761,1,ARC
4210129394,1,ACEA
8679417,1,OUHK
4210100389,1,UNIVILLE
4210100835,1,CMC
4210096427,1,INSB
2800943276,1,MPI
17937529,1,DKFZ
102373834,1,BMC
2800675817,1,NLC
4210159189,1,MMS
4210101380,1,MC
4210094659,1,ELI-ALPS
1282927378,1,IOM
4210135419,1,NDA
1326158516,1,WARF
4401041593,1,ITSH
64045040,1,FYU
4390039276,1,VIP
1294053255,1,ACC
4210102774,1,TIWTE
184824882,1,KSRCT
4387152422,1,ISPP NAES
2801017091,1,AIF
4389425218,1,GPCC
4210163545,1,INCAPER
4210095923,1,TFME
4210137808,1,FCA
4210096634,1,AUGS
2799424536,1,SAAS
82410551,1,NSVU
187175081,1,SUT
4210128244,1,IBB PAS
4210144540,1,EAMA
83205935,1,MNIT
4210162948,1,IPSK
4210147013,1,IPBm
96369009,1,DMCH
16351329,1,CWNU
4387156436,2,BNZ LTER
4210109969,1,PML
4400573248,1,ITSNa
4210145441,1,MDIFW
4210162377,1,ISTN
4210116423,1,ITD
63718949,2,ОГУ
3129707047,1,THTU
4210131070,1,ODISSEI
4210127432,1,SMART
4210091856,1,HTI
4210101598,1,SHMI
4210147965,1,NAAC
2800901821,1,RKD
4210091343,1,SSDC
3191808711,1,INAM
154632036,1,MUST
4210151931,1,CAF
4387155055,1,EMI
4210158415,1,HGF
4210093363,1,ÚSMH AV ČR
1286959531,2,ONU
4210131645,1,SEFSC
149743910,1,UL
4210140112,1,HEF
12187552,1,ESIEE
4210120405,1,MDSGC
4210093749,1,NADAP
4210132726,1,LARIA
4210163996,1,CSU
4210132422,1,Cermes3
4210115110,1,AIPH
4210103989,1,ASWARA
4210160130,1,ADA
4210122714,1,GCH
4210088762,1,NSO
4210145525,2,GSC
63202286,1,CCN
4210119889,1,NFMMC
2801380106,1,SAA
4387154818,1,ISARIC
4210137569,1,RFC
2802068357,1,ICRF
4210151759,1,MACED
119635470,1,ULPGC
4210156336,1,PuschGU
4210153750,1,IPHIC
4210139725,1,AFES-PRESS
4210104785,1,CMRI
4210098830,1,MEC
4210142004,1,CUGRI
4210134262,1,NISO
2799355011,1,MARC
4210101415,1,SDS
124015162,1,INSA
4210106924,2,RNIISP
4210114077,1,GCTF
204403938,1,HUC-JIR
4210114685,1,DMT
154864474,1,NTUST
4210109318,1,MSFHR
205924995,1,JSPS
4210093533,1,BIC
2799559561,1,CASEM
2802081207,2,USLA
2802249273,1,MGH
132157868,1,DBATU
4210123779,1,CLI
4210154799,1,C2MI
4210157643,1,DUE
4210164652,1,TSPI
4210088231,1,LIMMS
4210086984,1,MTPPI
4210093410,1,TGI
4210091885,1,NDHB
4210118442,1,BBIB
5950314,1,UWG
4387153589,1,KISN
59781447,1,IUCAA
4210143291,1,JUC
45935490,1,NIWA
4210130339,1,CCA
4387153462,1,OSUNA
4387155468,1,KFIBS
57629906,1,NU
4210117627,1,EOC
4210165746,1,SJC
2800405502,1,RACC
4210153552,1,AIBS
4387154185,1,MU
122964287,1,NITT
4210141876,1,HGWR
3199278483,2,AAPSE
4210150653,1,CDF
4210154676,1,CCIN
4210128234,1,PASG
4210152965,1,ADPC
142631665,1,ENPC
3018473509,1,IPA
4210099204,1,SCISERV 
4210112704,1,IPiSS
4210089467,1,FTIAN
4387152567,1,UNACH
4210137508,1,HVSU
4210116216,1,NLIU
4210156841,2,NFAMA
4210097140,1,EMBL
1301991143,1,ABA
4210086490,1,MCC
2802288015,1,HCMC
4387154401,1,AMBA
4210144648,1,WANRI
4210126783,1,AASG
4210163351,1,UKB
4210100911,1,BBJ
4210154628,1,TIGA
4210113758,1,CPTP
4210098399,1,AFL–CIO
4210121885,1,ACSZ
4210134552,1,MDS
4210105033,1,KDRA
4387155623,1,IRP
4210105916,1,SWR
4210145499,1,DTL 
37048141,1,ICMR
4210097961,1,INP-ENSIACET
4210099758,1,SCRC
2801582894,1,NBIC
4210166730,1,UMK
2802260388,1,EMCC
4210090011,1,AMDA
4210148248,1,AAC
4210109360,1,VOU
2802832453,1,CJC
162514690,1,LFC
2800559942,1,AAMI
28630478,1,KMV
4210111979,1,CWG
200769079,1,HKUST
4210127230,1,ICEDD
4210087049,1,HIACT
4387153805,1,DEVCOM CBC
4210117966,1,IGPS
202502355,1,SP
4210150950,1,CEDES
4210147041,1,НИУД
4210102571,2,CDC
4210140175,1,CCMX
4392738051,1,AES NMSU
4210152887,1,SA
4210108331,1,HI
4401200388,1,ITCdJ
4210105614,1,FSVO
4210120044,1,UNISDA
3129643721,1,JaSU
4210138373,1,DAV
