institution_id,alternative_name_seq,alternative_name
4210152358,1,厦门长庚医院
4387152353,2,Olomoucký kraj
4391767773,2,CTSC Cleveland
4210117382,1,安阳师范学院
391668,1,제주한라대학교
4210132912,1,Daugavpils medicinas koledza
4210117966,2,Institute Galien Paris-Saclay
4210111006,1,Fibrous Dysplasia/McCune-Albright Syndrome Alliance
301027571,1,Universidad Azteca de Chalco
2800727657,1,Persistent Systems Private Limited
4210147500,1,Hoffmann-La Roche
4387154733,1,WSA Weser
4210099871,2,Fraunhofer-Zentrum für Chemisch-Biotechnologische Prozesse
14140830,1,Shíjiàn Dàxué
4387156450,3,Government of Styria
4391767921,1,煤炭资源与安全开采国家重点实验室
171074897,2,현대제철
4210115568,1,Service communautaire d'information sur la recherche et le développement
4210100848,1,Justiitsministeerium
4210147734,1,Sixth People's Hospital of Hebei Province
4210090212,1,Royal Dutch Shell
4210147657,1,"Guest, Keen and Nettlefolds"
172324550,1,جامعہ گومل
2800818028,2,ছত্তীসগঢ় স্বামী বিবেকানন্দ প্রযুক্তি বিশ্ববিদ্যালয়
4210116001,1,贵阳学院
3129675061,1,มหาวิทยาลัยฟาฏอนี
102516824,1,University of Technology of Compiègne
148178115,3,"Institute of Civil Engineering, Bucharest"
4210122002,1,Medline Industries
71799228,1,KDDI株式会社
4210122728,1,London Association for Hospital Services
4210107511,1,Nemzeti Fejlesztési Minisztérium
4210143113,2,Ukrainian-American Liberal Arts Institute
4210113080,1,SyNergy
4210131288,1,École Nationale d'Ingénieurs de Tunis
3019930557,1,Universidade do Grande Rio
229325710,1,Savonia-ammattikorkeakoulu
4210148854,4,Shandong Institute of Special Equipment Inspection
4210166258,1,جمعية بيت لحم العربية للتأهيل
4210104011,1,中央研究院歐美研究所
4210164329,1,内蒙古自治区中医医院
4210125871,1,Jozef Goluchowski University of Applied Sciences
4210114663,1,Union Géographique Internationale
4210120434,1,CRC for Beef Genetic Technologies
4588055,2,Tottori Daigaku
4210109676,1,Federal State Institution of Science Institute of Water Problems of the Russian Academy of Sciences
4210128119,3,Norway Post
4210158273,1,中国社会科学院财政与贸易经济研究所
142732210,1,جامعہ ہندسیات و طرزیات، لاہور
4210114004,1,National Asian American Telecommunications Association
4210106569,1,Hutchison/MRC Research Centre
4210114855,1,Everyfit
4210137095,2,Society for Hematology and Stem Cells
4210108073,2,Kapadokya Üniversitesi
4210092724,1,Bulletin canadien d'histoire de la médecine
167609691,1,جامعة هولير الطبية
4210153768,1,Werk-Goed Bedrijfskleding alle rechten voorbehouden
4210129854,1,Fordham-Tremont Community Mental Health Center
35928602,1,경희대학교
4210133940,1,AstroNova
4210092415,1,University Multiprofile Hospital for Active Treatment and Emergency Medicine
858936495,1,ZHAW Zürcher Hochschule für Angewandte Wissenschaften
4210098664,1,Alitalia – Società Aerea Italiana
4210114161,1,Global Micro-Clinic Project
123096312,1,มหาวิทยาลัยมหาสารคาม
4210092948,1,GTCbio
2803026726,1,Hospital de la Universidad de Utah
4392021124,3,USGS Western Geographic Science Center
108714496,1,جامعة تونس
142024983,1,Prince Sultan Private College
4210153258,1,国連大学サステイナビリティ高等研究所
4210153579,1,Sir John Deane's Grammar School
4387153441,1,"French Institute of Science and Technology for Transport, Spatial Planning, Development and Networks"
4210145318,1,新潟県立新潟翠江高等学校
4210118377,1,All-Russian State Library of Foreign Literature. M.I. Rudomino
4210103088,3,Yulin Quantang Industrial Cooperative
4210087433,1,ក្រសួងធនធានទឹកនិងឧតុនិយម
2800991225,1,The Royal
4387156210,1,Chemours
4210106759,1,Fundación Factum
4210117048,3,Harbin Power Plant Equipment Corporation
4210125911,5,University KROK
4400573171,1,Yakult Bio-Science Foundation
179324530,2,吉林财经大学
4210115892,2,CVS Caremark Corporation
2801509770,2,INSA Strasbourg
4210159532,2,"Федеральное государственное бюджетное научное учреждение ""Федеральный научный агроинженерный центр ВИМ"""
4210112885,1,Exergia
4210088859,1,Grupa Bumar
4401041613,2,Xorazm Agromaslahat Markazi
4210150707,1,Broadway Theatre
4210133678,2,山西医科大学第二医院
2450724,2,ものつくり大学
4210160655,1,日本分析センター
4210120900,3,SLAC National Accelerator Laboratory Stanford Synchotron Radiation Lightsource
4210145837,1,島根県産業技術センター
4396570609,4,Azienda Sanitaria Locale 4 Provincia di Cremona
27483092,2,Universität Perugia
4210153851,1,Unité Mixte Internationnale de Modélisation Mathématique et Informatiques des Systèmes Complèxes
4210163567,1,Grupo de Información en Reproducción Elegida
44073558,1,공주교육대학교
4387156203,3,DEval – German Institute for Development Evaluation
