institution_id,associated_institution_seq,associated_institution_id,institution_relationship_type_id
4210162051,5,4210101194,1
4210165492,2,4210163294,1
255234318,3,4210114466,1
2801663869,4,4210121696,1
4210124037,1,275542036,3
4210150888,5,4210158065,1
76569877,2,4210105806,4
4210096427,48,4210140961,1
4210115014,1,4210152642,3
4210121748,7,4210139046,1
90344618,7,4210089716,1
198244214,2,4210163188,1
4210110956,1,4210095849,3
1337250831,1,1282113950,3
4210146038,1,4210113540,3
133868755,1,24943067,3
4210140930,7,4210095320,1
4210138933,1,193170854,3
2799976261,1,4210094724,1
4210156476,1,4210095346,3
4210154877,5,4210107666,1
1296747019,1,4210154153,1
4210134084,1,4210164537,3
21740220,2,4210137105,1
57053284,1,4210127883,1
4210128300,59,4210094297,1
4210107588,4,4210096427,3
4210131437,1,4210140091,1
137594350,2,4210140450,1
134987099,1,4210140047,1
4210091845,1,200323923,3
4210161484,5,68947357,3
4210165260,9,4210122621,1
4210138677,1,4210163436,3
1294671590,13,4210094239,1
4210153971,1,4210095685,3
4210133025,2,2800446032,4
3005327000,1,91275662,3
4210148111,1,2802073232,3
4210099901,2,4210127390,3
4210167289,1,4210102083,3
4210148726,1,4210138940,3
2800550174,2,2801578218,1
255400825,3,55769427,4
1317227900,11,126744593,1
4210158065,1,4210159186,1
4210103476,1,4210126300,3
174216632,15,10421873,1
3020162681,1,4210109450,1
11019714,1,4210140856,4
4210102581,3,32686375,1
149851306,13,4210098675,1
4210131185,1,4210121451,3
165779595,4,4210103108,1
4210111677,1,1339070495,4
4210159436,1,871655764,1
4210142724,5,4210157339,1
4210104410,1,4210107625,3
4210148025,9,4210099840,1
4210116966,1,4210129690,3
4210152054,1,1332737386,3
87048295,22,2801782436,1
120506574,1,4210162304,4
47881588,4,148523915,4
4210158855,3,1334950195,1
2799535048,5,2802090066,1
4210160774,5,154526488,3
4210151315,2,2801979204,3
110378019,1,2801502357,3
4210121908,1,4210136791,3
188950975,18,4210141913,1
5857645,1,4210138685,1
4210108032,1,1285764155,3
4210128104,1,141816643,3
4210102700,18,4210099576,1
4210150323,3,4210087432,1
135915864,3,9057330,1
4210117499,1,2802074625,1
158708052,1,2802209374,4
4210158695,2,4210106152,1
4210104374,1,142395110,3
4210128300,25,4210147247,1
2801686906,2,4210166427,3
2801522713,1,199936661,4
1301507905,1,4210107229,1
4210166884,1,4210123307,3
4210098738,2,4210110334,3
1310421338,4,4210164627,1
4210093752,1,4210112722,3
4210134666,1,4210138501,3
2802229908,2,2799323385,3
1342214328,1,4210163447,1
205747304,9,4210104620,1
4210166295,1,134820265,3
4210165050,1,4210088087,1
181343428,3,138937732,4
4210147907,1,4210110846,3
4210147819,1,114218197,3
4210100430,1,1291425158,3
4210118692,1,71001175,3
4210140493,2,2802624667,3
4210115976,2,2802230104,1
2799289046,1,1336053918,3
4210134885,1,4210125843,3
24768866,10,4210097643,1
4210121451,5,4210156339,1
115420810,1,110525433,3
4210159916,2,4210112218,1
4210105606,1,1343052199,3
193198326,1,4210126032,3
4210088651,2,4210159916,3
27804330,4,4210112379,4
4210128921,1,157773358,4
4210095727,1,1330995197,3
4210096272,1,3149551504,3
4210121601,4,4210112581,1
4210131047,1,207623266,3
150993360,1,4210145887,1
4210095302,1,1323638106,3
4210115427,2,100532134,3
4210104630,6,4210102700,3
4210118953,1,4210155077,3
4210095849,15,4210161484,1
158818660,1,200399037,3
4210166223,2,4210150854,3
4210106814,4,44677085,1
1299022934,18,35344726,1
4210087136,1,4210150854,3
4210136960,1,1330995197,3
4210109172,4,4210112872,1
4210102457,1,1283280774,3
4210157027,1,228664971,3
4210107913,1,257179599,3
4210092852,7,2800360054,1
4210127009,4,4210140078,1
44673925,2,4210130949,4
2799998900,1,2802705668,3
4210166444,26,4210091584,1
4210164652,1,2799808293,3
133731052,5,4210140777,1
4210133684,1,4210140486,4
4210154430,4,66217341,4
4210152684,4,4210120836,1
4210167168,16,4210090900,1
1295801184,1,1322597698,3
215048945,2,4210105074,1
4210110114,1,1294671590,3
134820265,35,4210126142,1
4210137000,1,44892455,3
2800277939,3,4210107145,1
99464096,2,4210153928,1
4210156542,1,4210096427,3
4210128192,1,2799969541,3
4210122671,1,4210095849,3
4210109720,8,4210111329,1
84653119,12,4210128530,1
114030911,5,4210156418,1
4210104593,1,2800509701,1
113974858,1,1306287861,3
159385669,2,4210099339,4
139660479,2,4210153856,4
4210099454,3,100532134,3
4210146695,1,149899117,3
172656520,1,4210125760,1
4210123816,1,4210124215,3
35570632,1,4210124003,1
4210133019,1,4210089050,3
4210124742,1,4210134722,3
43406934,3,4210093650,4
4210167168,4,4210101754,1
154526488,56,4210117840,1
1294671590,8,4210140053,1
149251103,5,2799611072,4
2802992173,2,77216272,1
98677209,14,2802789809,4
4210138103,1,202391551,3
202391551,11,4210116752,1
157536573,3,4210112943,1
4210138940,15,4210148726,1
4210142855,1,4210088209,3
91935597,1,4210143187,4
2801339556,1,2802250515,1
4210158190,2,4210153451,4
4210110459,1,1301076528,3
4210154950,1,891521709,3
4210087018,1,4210092810,1
4210139324,2,2802503132,4
2802108709,1,4210100373,3
24768866,22,4210141563,1
136199984,4,4210155419,1
4210154430,3,59897056,4
118347220,4,4210107353,1
4210134216,1,4210096859,3
32881790,10,4210111187,4
4210092945,5,2802818602,3
92156820,1,63135867,4
4210133270,1,5740404,4
4210102801,1,4210154233,1
2802661869,1,2802801955,1
2799503643,1,78577930,4
4210108625,1,1290206253,3
19820366,34,4210128819,1
4210130108,1,4210133643,3
4210093650,1,4210133967,1
4210122682,1,4210095994,1
4210114128,1,157536573,3
4210117779,2,2800872281,3
4068193,4,4210142671,4
874236823,1,1299303238,3
126131087,1,1318157472,4
2799833905,1,162361429,4
4210124896,1,1337719021,3
4210131539,1,2802417501,3
4210164537,12,4210129800,1
1320553840,2,4210145351,1
2800548410,2,1299303238,3
4210106474,1,4210162265,4
4210124361,1,4210098836,3
1312995270,2,193670377,4
4210157170,3,4210127142,1
4210120212,1,4210114062,3
4210099692,5,4210157998,1
4210140185,1,2801565596,3
91819753,1,4210086620,4
4210117703,2,4210143050,1
201448701,3,2802617771,1
161106909,2,4210094544,4
4210121451,1,4210129009,1
4210119104,1,1343052199,3
4210155680,1,187986737,3
142207940,1,161318765,3
150037166,1,66760702,3
98910050,11,190752583,3
4210129375,1,1332460256,3
4210118127,2,4210128300,3
2799567697,2,4210104749,1
4210156418,1,114030911,3
4210128300,35,4210153401,1
206426038,1,1320721754,3
79266365,1,90344618,3
2802369498,1,153355300,3
2802549562,2,1174212,4
4210086900,1,1299303238,3
4210163436,1,4210149315,1
4210115484,1,184490438,3
198244214,21,4210138910,1
4210129939,2,4210088668,3
149899117,10,4210120881,1
4210087895,4,4210114163,1
4210143518,1,4210145274,3
2961216182,2,121748325,4
1286329397,4,1335927249,3
1320320070,5,1319408584,1
2800993576,1,74316835,3
901861585,2,4210096570,1
4210158426,3,177064439,3
3130945570,8,4210134770,1
4210097207,1,21491767,3
1325203003,2,47838141,4
2801120601,2,7882870,4
1321686444,3,181190671,4
1294671590,40,4210137582,1
4210130433,1,4210110334,3
199157343,10,4210114584,1
2800926667,1,1302211766,3
4210125105,14,4210148318,1
4210165260,6,4210105555,1
4210098750,2,110152177,4
4210140785,3,204730241,3
4210100035,4,113428412,3
79209787,3,2799594651,1
315704651,6,2802835680,1
4210141803,1,4210136628,3
4210144972,1,98910050,3
4210149126,1,4210136136,1
20231570,6,4210093964,4
4210115918,1,74680897,3
1305941100,1,2801037857,3
126595936,4,4210096834,1
4210110458,1,4210107198,1
4210166758,4,4210158646,1
4210146771,1,2800780654,1
2801247003,11,12609526,1
4210157339,2,4210142724,3
4210140930,3,2801356230,1
5124864,3,2799323385,3
4210106353,2,1302444339,3
4210134784,2,39586589,4
4210165553,1,4210140884,3
98677209,4,4210130014,1
4210105497,1,4210136261,3
117015748,1,2801333002,3
4210159778,4,4210096059,1
