institution_id,funder_seq,funder_id
205783295,11,4320332766
4210096521,1,4320308148
4210155937,1,4320330955
2801087145,1,4320313470
4210164619,1,4320306693
929597975,1,4320324282
4210091933,1,4320331052
123387679,1,4320323853
2802506851,1,4320334630
4210165171,3,4320332563
100633361,1,4320315739
4210135520,1,4320313692
4210139040,1,4320333428
102322052,1,4320317128
4210096468,1,4320306233
4210144371,1,4320306973
4210103524,1,4320335357
4210087580,1,4320320727
155284866,1,4320322949
180857899,2,4320307784
177328695,1,4320309588
4210086100,2,4320310448
4210099393,1,4320312265
4210141509,1,4320320903
4210150050,1,4320306334
1329868518,2,4320321060
3005327000,2,4320334744
4210113184,1,4320324567
4210115774,1,4320321718
4210150450,2,4320321468
4210148620,1,4320337005
75420490,1,4320312119
4210101659,1,4320321290
19008122,1,4320318758
4210100685,1,4320310930
4210119298,1,4320315381
2800847695,1,4320321490
4210166599,1,4320335262
65674248,3,4320324893
4210167088,1,4320325308
2802189213,2,4320310206
4210148786,1,4320333002
2799325408,1,4320313719
4210148691,1,4320311063
1335486098,1,4320310509
4210147313,1,4320312026
1312092360,3,4320310608
129604602,5,4320334732
1283633810,1,4320307182
4210118260,1,4320309027
4210110148,1,4320306959
4362561690,130,4320332718
4210151970,1,4320337788
2954434813,1,4320308755
2802615869,1,4320308878
12315562,1,4320309537
4210104976,2,4320323009
1293302089,1,4320311299
1336375059,1,4320317185
2799424032,1,4320317763
4210154809,1,4320326051
4210119633,1,4320330243
4210163145,1,4320322525
173029219,1,4320313202
4210100101,1,4320306384
55143463,1,4320324041
4210115911,1,4320311317
4210102505,1,4320328115
4210157225,1,4320328046
194391707,1,4320309546
126520041,1,4320325599
33849332,1,4320322604
4210107163,1,4320309764
4210123313,1,4320307211
17653759,1,4320321390
126826664,1,4320318932
4210140860,1,4320306714
4210113350,1,4320320571
59361560,1,4320321694
5388228,3,4320332646
305386,2,4320321892
2802778386,1,4320315454
4210121472,1,4320328799
2800035258,1,4320314430
4210139792,1,4320309486
68879011,1,4320320221
4210146864,1,4320306292
4210139514,1,4320324936
83558840,1,4320323459
4210158661,1,4320320580
2800212897,1,4320313141
4210124610,1,4320319671
4210152097,1,4320322895
140942544,1,4320326519
1315708676,1,4320306432
2799353513,1,4320308965
4210151953,1,4320315490
1295271775,1,4320332975
107672454,3,4320332818
4210127336,1,4320323785
118019719,2,4320309432
4210123652,1,4320319924
14894300,1,4320327069
2800945377,1,4320308602
63190737,1,4320309851
4210155998,1,4320309865
4210138620,1,4320311544
4210149976,1,4320310355
