institution_id,language_code,institution_international_name
13854938,fr,Defense Equal Opportunity Management Institute
174748290,ko,카이난 대학
4210165174,en,Prototal (Sweden)
1322608751,pl,Instytut Francji
182712176,nb,Montanuniversität Leoben
4210125519,en,American Writers Museum
19772626,zh-hant,葉史瓦大學
3141673221,uk,Уряд Румунії
161296585,pt-br,Universidade de Ciências de Tóquio
1284215983,uz,Yangi Zelandiya Zaxira banki
2802220778,zh-cn,冲浪者基金会
185443292,ru,Университет Уэйна
2799837961,fr,The Henry Ford Museum
4210114805,en,Ministry of Foreign Affairs
4210108751,en,Wasser Cluster Lunz
2896998738,fr,musée des civilisations asiatiques
3024757219,it,Chilton Medical Center
2802293875,arz,مستشفى الملك جورج الخامس التذكارى
3130270872,tr,Moskova Konservatuvarı
1351752,pnb,کوچ یونیورسٹی
2802331550,ja,台北医科大学付設医院
4210137754,en,Hai Kang Life (China)
99613584,es,Universidad Nacional de Taipei
93251985,uz,Irkutsk State University
4210156344,en,Girochem (Slovakia)
71063693,en,Pacific Salmon Commission
1323260719,el,Αστυνομία της Σιγκαπούρης
71576600,ba,Урал дәүләт тау университеты
4210121646,en,Partnership for Dengue Control
28006308,ja,山東師範大学
119443389,en,East Tennessee State University
161103922,cv,Марбург университечĕ
4210138822,en,Sa'adatu Rimi College of Education
1316064682,ml,ലിങ്ക്ഡ്ഇൻ
95568926,zh-hans,物理技术研究所
4210141397,en,Eginition Hospital
24101674,ru,ConocoPhillips
1342218316,it,National Museum of African Art
172675005,nb,Nanyang teknologiske universitet
4210133108,en,European University
57053284,nl,Rockwell Automation
4210161116,en,Nomura Holdings (Japan)
192929712,zh-hant,朱巴大學
4210100505,en,BST Bio Sensor Technology (Germany)
2801903817,sv,World Food Prize
34250744,eo,Universitato de Łódź
1301933859,zh-sg,英国外交和联邦事务部
2801139515,es,Política de investigación y desarrollo tecnológico de la Unión Europea
1289762815,th,ราชสมาคมแห่งลอนดอน
4210097347,en,Fred Hollows Foundation
4210166334,en,Continua Health Alliance
4210146806,en,Harmonic Drive (Germany)
223441202,en,Royal Astronomical Society of Canada
889342715,en,Del Mar College
112112522,fa,دانشگاه ایالتی یانکا کوپالا
4210141134,en,East Tennessee Children's Hospital
1336375059,en,Goethe-Institut
4210135931,en,Hospital Nacional de Niños
2800396189,ja,南方大学学院
60770847,es,Universidad de Notre Dame – Louaize
177881444,ru,колледж Помона
4210107759,en,National Women's Health Network
4210115056,en,Latvian State Institute of Wood Chemistry
4210167348,en,Abderrahmane Mami Hospital
19268510,sr,Кволком
2801263469,ru,Мемфисский колледж искусств
2800308760,zh,亞特蘭大歷史中心
196622127,nl,Rajiv Gandhi Proudyogiki Vishwavidyalaya
153183030,pt-br,Universidade de Vincennes
4210138784,en,Carcerano (Italy)
207624831,en,Slovak Academy of Sciences
4210086940,en,Zenuity (Sweden)
118783713,ja,福建中医薬大学
13955877,ru,Университет имени Бар-Илана
64185308,he,אוניברסיטת ויסקונסין—אושקוש
2800834503,en,Tamale Teaching Hospital
1322635020,de,National Wildlife Federation
2801536413,ur,ایجنسی فرانس پریس
91044043,pt,Universidad del Valle
1305756057,zh-hans,菲尼·法里纳
200705115,be,Акадэмія навук Рэспублікі Таджыкістан
4210162768,en,Leading Health Care
49278261,ml,ആസാം യൂണിവേഴ്സിറ്റി
1281109512,tr,Nevşehir Üniversitesi
592451,de,Indiana University System
2799276119,uk,Швейцарська національна бібліотека
4210103193,en,Universitas Iba
10986801,se,Oakwood universitehta
4210097219,en,Ministry of Investment and Development
195460627,th,มหาวิทยาลัยแอเบอร์ดีน
3132919487,en-gb,Sandwell College
2800666604,es,Glasgow Royal Infirmary
4210166663,en,Leeoat (United States)
3143470655,ar,معهد القياسات الصحية والتقييم
