institution_id,lineage_institution_seq,lineage_institution_id
2802244315,1,2802244315
4210157171,1,4210157171
4210117437,1,4210117437
4387153971,4,4210090127
4210140634,1,4210140634
1331168281,1,1331168281
4210147276,1,4210147276
4210148765,1,4210148765
4210098739,1,4210098739
4210092932,1,4210092932
2800554417,1,2800554417
4210123400,1,4210123400
4210153460,2,4210153292
927257375,1,4210092504
4400009021,1,4400009021
2802885564,1,2802885564
4401200370,1,4401200370
4210089971,1,4210089971
4210103967,3,4210103967
4210086924,1,4210086924
4210133938,4,39804081
4210140355,1,13469542
4210131207,1,4210131207
4387152950,1,4387152950
4210145783,1,4210145783
4210131850,1,4210131850
1280414376,5,4389425425
4210136163,1,4210136163
3129947195,1,3129947195
4210134530,1,4210134530
29457043,1,29457043
3017965041,1,3017965041
4210128442,1,4210128442
32394136,1,32394136
4210134832,1,1294671590
196829312,1,196829312
4210093645,2,4210093645
4210115618,1,1294671590
4391767889,3,9736820
4391012592,1,2802797007
4210090617,1,4210090617
4387156224,1,4387156224
4210124227,1,4210124227
2799746221,1,2799746221
1299555466,3,4210102265
4210149467,1,4210149467
4210122254,1,4210122254
2799853345,1,2799853345
4210126154,4,4210126154
4210099718,1,4210099718
4210153396,1,4210153396
2799739429,2,2799739429
4210097449,2,4210142983
4210161302,1,4210161302
4210145389,1,4210145389
4210090809,1,4210090809
4210128085,1,4210128085
32046576,1,32046576
4210143293,1,4210143293
4210153712,1,4210153712
127174594,1,127174594
126954138,3,4210129478
4210152607,1,4210152607
4210086142,1,4210086142
4210161165,1,4210161165
4210110184,1,1313323035
179368126,1,179368126
4210102776,1,4210102776
4210140213,1,4210140213
4391768146,2,4391768146
40900055,1,40900055
1299725459,2,1328499231
4210131290,3,4210131290
4210159492,1,4210133790
4210098699,1,4210098699
4210124851,3,4210110594
4389425412,5,21491767
4387155100,1,40434647
4210087727,2,159885104
4387153522,1,4387153522
2799598503,1,2799598503
4390039264,1,195731000
4210123615,1,4210123615
4210110955,1,4210110955
125225536,1,125225536
4210092579,1,4210092579
4210099965,1,4210099965
130653702,1,130653702
2800517447,1,2800517447
4210110894,1,4210110894
4210130322,1,4210130322
4210159836,1,4210159836
4210121819,1,4210121819
4210166781,2,153648349
4210136447,1,4210136447
4210122678,1,4210122678
4210108169,1,4210108169
4210130618,1,4210130618
4210095486,2,34931013
4210094376,1,4210094376
4210131364,1,4210131364
4210106483,1,4210106483
4401200338,1,4401200338
4210158456,1,4210158456
4210103604,2,4210125590
4210131022,1,4210131022
143545923,1,143545923
4210098053,1,4210098053
4388891814,1,4388891814
4210132481,1,4210132481
4210105510,1,4210105510
4210091356,1,1340206300
4210146617,2,4210146617
4210121437,2,4210121437
4210155667,1,4210155667
4210120589,5,90183372
4210096560,1,4210096560
4210123962,1,4210123962
4210126062,1,4210126062
4210115695,1,4210115695
4210102400,1,4210102400
4210135880,1,4210135880
4210118127,1,1294671590
4210106430,1,4210106430
4210102877,1,4210102877
3004607761,1,3004607761
4210115149,2,4210115149
4387153984,1,4387153984
4210123564,1,4210123564
4210094062,1,4210094062
3130796309,1,3130796309
43081956,1,43081956
4210099128,1,4210099128
4210155659,1,4210155659
4210159013,2,4210159013
4210141861,1,4210141861
4210153504,1,4210153504
4210140943,1,4210140943
4210107556,1,4210107556
4400008921,1,4400008921
4210147109,2,4210107625
1319689352,2,2802286613
4210088804,5,4210139971
4210138583,1,4210138583
4400573298,1,4400573298
3132590351,1,3132590351
4210106709,3,2801247003
4210140034,2,4210140034
4210155787,1,4210155787
4389425387,3,4389425387
4210151853,1,4210151853
4210157944,1,4210157944
4392021252,1,4392021252
4210118612,1,4210118612
2801393264,2,2801393264
4210164350,6,4210164350
4210121323,1,4210121323
4210116730,1,4210116730
4210098424,1,4210098424
4210127186,1,4210127186
4389425453,2,1330347796
4210150260,1,4210150260
4210110825,1,4068193
4389425467,1,1319490839
4210106545,1,1326498283
43591049,1,43591049
4210092619,2,4210092619
4210162739,1,1294671590
4210105369,1,4210105369
4210127748,1,4210127748
4387152803,4,4387155652
4210142872,1,4210142872
4210114581,1,4210114581
4210090323,1,4210090323
4210100775,1,100532134
4210145799,1,4210145799
4210162755,1,4210162755
4210124056,1,4210124056
4210107962,1,4210107962
4389425351,2,2800842121
4210109553,1,4210109553
4392021168,3,4392021168
102117144,1,102117144
4391767736,1,162868743
2799418822,3,2799418822
4210153608,1,4210153608
4210089382,2,2801316944
4210110750,2,1294671590
4210143856,1,4210143856
4210138868,1,4210138868
4210106378,1,4210106378
4210129916,2,4210129916
4210089087,1,4210089087
8030538,1,8030538
27551014,1,27551014
166311279,1,166311279
4210156899,2,61970326
4210141965,2,4210141965
4210096344,1,4210096344
4210112882,1,4210112882
4210094805,1,4210094805
4210092053,1,4210092053
4210159294,1,4210159294
2831913,1,2831913
4210130609,3,204730241
4210163702,1,4210163702
4210091442,1,4210091442
79767729,1,79767729
4210130756,1,4210130756
4210115314,1,4210115314
4392738177,1,4392738177
4389425471,1,168635309
4210128796,2,4210154486
4210096783,2,4210096783
4210123391,3,4210138754
4210091791,1,4210091791
4210104264,1,4210104264
4210147978,1,4210147978
2800696149,1,2800696149
4210122860,1,4210122860
4210103913,1,4210103913
4392021213,4,98702875
4210167043,3,4210167168
4210110145,1,4210110145
4210158403,1,4210158403
4210095441,1,4210095441
4210105547,1,4210105547
922412305,2,922412305
4210094040,2,4210151455
4210100537,1,4210100537
4210127443,1,4210127443
2943797522,1,2943797522
4210099576,6,4210107625
4210150792,1,4210150792
4210146808,5,4210127572
4210153604,1,4210153604
4210096207,1,4210096207
4210165617,1,4210165617
4210123783,4,4210136517
4210112661,1,4210112661
4210092277,1,4210092277
4210100423,1,4210100423
4210117449,1,4210117449
4210128899,1,4210128899
2803044603,2,2803044603
4210135463,1,4210135463
4210162886,1,4210162886
4210134587,1,4210134587
4210142659,1,3020162681
2800206066,1,2800206066
4387154951,1,4387154951
4210159819,1,4210159819
4210156651,1,4210156651
4210151650,1,4210151650
4210092624,1,4210092624
4390039272,1,4390039272
4210146641,1,4210146641
4210143941,1,4210143941
4210152939,2,887702905
4210109823,1,131827901
2802431724,1,2802431724
4210151408,1,4210151408
4394709082,1,4394709082
2799943424,1,2799943424
4210112591,1,4210112591
4210154285,1,4210154285
3017153554,1,3017153554
4210099004,1,4210099004
4210112777,1,4210112777
4210154979,1,4210154979
4210142285,1,4210142285
4210121427,1,4210121427
4210088961,2,4210088961
4210098006,1,4210098006
2800903681,2,4210146983
4210166956,1,4210166956
4210155567,1,129162050
106965489,4,4210088792
19325673,1,19325673
4210094915,1,4210094915
4210160977,1,4210160977
4210135585,1,4210135585
2801240477,1,2801240477
4210144328,1,4210144328
4210091120,1,4210091120
4210119661,1,4210119661
4210135083,1,4210135083
4210161007,1,4210161007
4210123061,1,179420787
4210141791,1,4210141791
4210099549,2,4210099549
4210165452,3,2799535048
1284465020,3,4210151419
4210148186,3,4210148186
1290491151,1,1290491151
2802434210,1,2802434210
4210148708,1,4210148708
4210139122,1,4210139122
4210110687,1,4210110687
3130971797,1,3130971797
4210086570,1,4210086570
4210096542,1,4210096542
4210149433,2,4210155236
4210144915,1,4210144915
4210089231,1,4210089231
4210111231,1,230744626
4210149959,1,4210149959
4210141803,2,4210141803
4210116605,3,4210138501
4210122660,1,4210122660
306340464,1,306340464
4210120081,1,4210120081
4210107545,3,4210127448
4210093223,1,4210093223
4387153253,1,4387153253
4210121825,1,4210121825
4210125577,1,4210125577
4210116779,2,4210116779
4210114965,1,4210114965
4387155243,5,4387155568
4210123863,1,4210123863
1321067030,1,1321067030
886237282,1,886237282
4210124769,1,4210124769
4210139942,1,4210139942
4210090754,1,4210090754
4210147397,1,4210147397
4210104477,2,4210104477
4210166110,1,4210107804
4210095266,1,4210095266
51195161,1,51195161
4210150626,1,4210150626
2801129757,1,2801129757
3019035496,1,3019035496
4210129928,1,4210129928
4210137235,1,4210137235
2802571797,1,2802571797
4387152819,3,4387156201
4210142817,1,4210142817
4210088066,1,4210088066
4210156942,1,4210156942
4210166665,1,4210166665
4210086759,1,4210086759
4210166781,1,143804889
4210087650,1,4210087650
4210155378,1,4210155378
4210130812,1,4210130812
4210093258,1,4210093258
4210151570,2,4210151570
34391226,1,34391226
4210118910,2,4210110862
4210152685,2,16097986
2802118644,1,2802118644
4396570551,1,4396570551
4210143641,12,63634437
884065104,1,884065104
4210138082,1,4210138082
4394709221,2,4210088623
26604189,1,26604189
4210098100,1,4210098100
4210149386,1,4210149386
4210095389,3,4210094901
4210148698,2,4210148698
4210116457,1,2801923502
4210098898,1,4210098898
102163072,1,102163072
2197358,1,2197358
190861549,2,190861549
4210099705,1,4210099705
4210112655,1,4210112655
4210142938,1,4210142938
4388482733,4,4388482733
4210123820,1,4210123820
4210135312,1,4210135312
2799276830,1,2799276830
4210130820,1,4210130820
4210109245,1,4210109245
4210154670,1,4210154670
4210111780,1,4210111780
4210128624,1,4210128624
4210164241,1,4210164241
4210131880,1,4210131880
4210151461,2,4210151461
4210125968,1,4210125968
1286499117,3,4210134808
4389425423,5,39804081
2799530342,1,1299022934
4210136484,1,4210136484
145808223,1,145808223
4210112939,1,4210112939
113254221,1,113254221
4210151620,1,4210151620
4210089344,1,4210089344
4210094843,1,4210094843
4210165478,1,4210165478
4210109653,1,4210109653
4210112656,1,4210112656
4210126122,1,4210126122
4387154195,1,4387154195
46679452,1,46679452
4210115736,1,4210115736
3122695212,1,3122695212
4210157503,1,4210157503
4210115015,1,1284112523
4210149692,1,4210149692
4210137520,4,4210137520
4210124909,1,4210124909
205173300,1,205173300
119444248,1,119444248
4210164390,1,1305996414
201726411,1,201726411
4210094857,1,4210094857
4210105766,1,4210105766
4210114594,1,4210114594
16478408,1,16478408
4210132309,1,4210132309
4210090941,2,2799323385
4210127459,1,4210127459
4210161233,1,4210161233
4210101004,1,4210101004
4210155607,6,48430043
4210161587,1,4210161587
4387153753,1,4387153753
2800360542,1,2800360542
4210150548,1,149899117
4210133082,3,4210133082
95568926,3,95568926
4210113923,1,4210113923
4210117742,1,4210117742
4210098120,1,4210098120
4210149017,1,4210149017
4210156976,1,4210156976
4210114363,1,4210114363
46860202,1,46860202
4210117069,1,4210117069
4210146889,1,4210146889
4210163119,1,4210163119
4210087602,1,1294671590
96916377,1,96916377
4210100131,1,4210100131
4210123393,1,4210123393
9796191,1,9796191
4210157089,3,4210091158
4210132659,1,4210132659
4210086422,2,2799886695
44187974,1,44187974
4210092149,1,4210092149
4389425247,4,19894307
4210090867,2,4923324
4210136805,1,4210136805
165235744,1,165235744
206324368,1,206324368
1322144052,1,1322144052
4210092340,1,4210092340
4210101407,1,4210101407
4210151813,1,4210151813
4210142080,1,2801453606
4210164843,1,4210126300
4210106173,1,4210106173
4391767664,2,4391767664
4210110318,1,4210110318
75430998,1,75430998
2800484787,1,2800484787
4210156041,1,4210156041
4210164539,1,4210164539
4210152743,1,4210152743
4210160136,1,4210160136
4210153078,2,4210153078
4210112989,1,4210112989
1296875392,3,4387156273
4391768118,2,4391768118
4210166598,1,1294586568
4387152833,3,4387152833
4210107757,3,4210123736
47265099,1,47265099
4210092109,1,4210092109
2799272863,1,2799272863
4210113666,5,4210100892
4210106177,1,4210106177
3131163126,1,3131163126
4210097765,1,4210097765
4210086071,1,4210086071
4210150000,1,4210150000
4210138394,1,4210138394
2800495630,1,2800495630
4210110823,1,1294671590
4210118774,1,4210118774
4210094056,1,4210094056
4210093016,1,4210093016
4210097109,1,4210097109
4210113059,1,4210113059
4210141403,1,4210141403
2799321569,1,2799321569
4389425281,4,12449238
4210140207,2,4210140207
4210123260,1,2803097894
4210122857,1,4210122857
4390039278,4,4210142672
4210165747,1,4210165747
4387152340,2,4387152340
4392021200,2,4210105918
4210094552,1,4210094552
4210142516,1,4210142516
4210164688,1,4210164688
4210139737,1,1311060795
4210150577,1,130375150
46208956,1,46208956
98640878,1,98640878
4210150388,1,2799279586
4210114115,1,1341412227
4210131704,1,4210131704
4210138669,1,4210138669
4210110502,1,4210110502
4210154390,1,4210154390
2800906181,2,2800906181
4210143517,1,180606324
4210088191,2,4210127390
4210127117,1,4210127117
4210086768,2,4210086768
3129482412,1,3129482412
4210103674,4,4210103674
4210140639,1,4210140639
4210107530,1,4210107530
4210138825,1,4210138825
4210138187,1,4210138187
4210137324,1,1307946715
4210131876,1,4210131876
4210154973,1,4210154973
4210132231,1,4210132231
4210146775,1,4210146775
4210103444,1,4210103444
4210162166,1,4210162166
74054363,1,74054363
4210146055,1,4210146055
4210092390,1,4210092390
4210138316,1,4210138316
4210117018,1,4210117018
4210155654,1,2802002022
