mesh_descriptor_ui,mesh_descriptor
D050781,Transcranial Magnetic Stimulation
D008845,Microinjections
D004845,Epitestosterone
D031212,Bixaceae
D006975,"Hypertension, Portal"
D000796,Angiolymphoid Hyperplasia with Eosinophilia
D003230,Conjunctival Neoplasms
D055493,Spiral Ligament of Cochlea
D000538,Aluminum Silicates
D046710,Agapornis
D003025,Clubfoot
D029800,Vaccinium myrtillus
D013805,Theobromine
D049874,Corbicula
D019921,Biotinylation
D010560,Personnel Selection
D020083,Acquired Hyperostosis Syndrome
D001561,Benzilates
D012412,Rubella virus
D024501,Nonmuscle Myosin Type IIB
D018478,Extravehicular Activity
D057585,Aeromonas caviae
D000067575,"Administrative Claims, Healthcare"
D010778,Photochemotherapy
D044225,Piscirickettsiaceae Infections
D005826,"Genetics, Medical"
D000583,Amikacin
D008152,Loxapine
D008419,Materia Medica
D000077773,"Hospitals, Rehabilitation"
D053662,Interleukin-4 Receptor alpha Subunit
D015452,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
D000366,Age Determination by Teeth
D018043,"Receptors, Corticotropin"
D013598,Systems Theory
D064726,Triple Negative Breast Neoplasms
D020627,Azoarcus
D005004,Ethmoid Bone
D000091162,AMP-Activated Protein Kinase Kinases
D010636,Phenols
D055273,Salivary Proline-Rich Proteins
D011727,Pyridinolcarbamate
D065067,Antihyperkalemic Agents
D000082564,Elevated Plus Maze Test
D002775,Cholestadienols
D003279,"Contraceptives, Oral, Sequential"
D062070,Hydrology
D014477,Underachievement
D000080526,Cebus capucinus
D053819,Atelinae
D064889,"Psychotherapy, Psychodynamic"
D015750,"Genes, gag"
D048529,Papio hamadryas
D028743,Professional Misconduct
D028244,Camellia
D025722,Granulovirus
D001108,Architecture
D004929,Esculin
D054477,Glutaredoxins
D063928,Ependymoglial Cells
D015764,Bepridil
D011063,Poly A-U
D011978,"Receptors, Nicotinic"
D001309,Auditory Threshold
D031674,Argemone
D010100,Oxygen
D017395,Plasminogen Activator Inhibitor 1
D057079,Pongo
D009879,"Ophthalmia, Sympathetic"
D044665,Porphyridium
D000079103,Scope of Practice
D010876,Pipemidic Acid
D055112,Pyometra
D031163,Ageratum
D002446,Celiac Disease
D000068276,Giraffes
D008664,"Metal Metabolism, Inborn Errors"
D036641,"Microscopy, Fluorescence, Multiphoton"
D013007,Growth Hormone-Releasing Hormone
D002304,"Cardiac Pacing, Artificial"
D055358,Cone Opsins
D000070000,Bacillus coagulans
D007940,Leukemia L5178
D000078065,Aegilops
D018975,Insulin-Like Growth Factor Binding Protein 5
D017520,Mucinoses
D020247,Myofunctional Therapy
D039002,Prophages
D064887,Observational Studies as Topic
D001846,Bone Development
D013744,Tetanus Toxin
D054388,"Receptors, CCR"
D027925,Viburnum
D020454,Dugong
D011415,Complement Factor B
D022561,Advanced Cardiac Life Support
D001455,Bambermycins
D018993,Myelin P0 Protein
D033902,Periplasmic Binding Proteins
D020098,"Natriuretic Peptide, C-Type"
D009485,Neuroradiography
D014445,Tyrosine Decarboxylase
D020837,SOS1 Protein
D004456,Echothiophate Iodide
D000091402,Prohibitins
D014462,Ultrafiltration
D057905,Stem Cell Research
D011807,Quinolizines
D054793,Truncated Hemoglobins
D055457,Nodal Protein
D003161,Compartment Syndromes
D001740,Black Widow Spider
