publisher_id,alternative_name_seq,alternative_name
4310310987,3,Multidisciplinary Digital Publishing Institute (Switzerland)
4310315679,3,OSA
4310318117,1,Hylonome Publications
4310318422,1,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu
4310319677,2,Editora Universitária da PUCRS
4310319680,2,Edusp
4310319685,2,Издательство Грамота
4310319696,2,KONVOJ spol. s r.o.
4310319702,1,パルグレイヴ・マクミラン
4310319702,5,川越俊彦
4310319718,1,NZSAP
4310319724,4,HOAJ
4310319727,3,องค์กรความร่วมมือโคชเรน
4310319727,7,Cochrane Collaboration
4310319727,11,Cochrane-samarbeidet
4310319727,15,Col·laboració Cochrane
4310319727,18,Przegląd Cochrane
4310319727,22,Кокрейн
4310319727,26,コクラン共同計画
4310319731,1,Sociedad Química de México
4310319732,4,IU Press
4310319734,1,Connecticut Medical Society
4310319736,2,Columbian Museum of Chicago
4310319736,6,Field Museum of Natural History
4310319736,10,Museum Field
4310319736,14,The Field Museum of Natural History
4310319736,19,موزهٔ میدانی تاریخ طبیعی
4310319736,23,Музей естественной истории Филда
4310319736,27,シカゴ自然史博物館
4310319739,1,SfN
4310319745,1,Railway and Locomotive Historical Society Inc
4310319745,5,R&LHS
4310319748,1,EDITION DIFFUSION PRESSE SCIENCES
4310319749,3,Queensland University of Technology
4310319749,7,Квинслендский университет технологий
4310319751,2,朝日新聞出版社
4310319754,2,Seehafen Verlag
4310319762,2,PTCh
4310319775,2,Mezinárodní politologický ústav
4310319777,1,Karolinum
4310319783,2,Belles Lettres
4310319787,4,로열 소사이어티
4310319787,8,영국왕립학회
4310319787,12,บริติชรอยัลโซไซเอตี
4310319787,17,Britská královská společnost
4310319787,21,Hið Konunglega félag
4310319787,25,Királyi Társaság
4310319787,29,Konunglega félagið
4310319787,34,Královská společnost v Londýně
4310319787,38,Londoni Kuninglik Ühing
4310319787,42,Real Sociedade de Ciências
4310319787,46,Reial Societat de Londres
4310319787,51,Royal Society of London for the Improvement of Natural Knowledge
4310319787,55,Societas regalis Londini
4310319787,59,Tabiat haqidagi bilimlar taraqqiyoti bo‘yicha London qirollik jamiyati
4310319787,63,Tabiat Haqidagi Bilimlar Taraqqiyoti Bo‘yicha London Qirollik Jamiyati
4310319787,65,"The President, Council, and Fellows of the Royal Society of London for Improving Natural Knowledge"
4310319787,69,Towarzystwo Królewskie
4310319787,73,انجمن پادشاهي
4310319787,77,انجمن شاهی
4310319787,80,جامعهٔ سلطنتی
