raw_author_name_id,raw_author_name
85869011,Ш. Ч. Кан
3900689,Alexandra P Townsley
32562620,J . R . Park
49741375,Maria S Schmoll
26661503,Giulia Peli
16394152,Daniel Felix Santos
85931967,Ю. А. Олейник
69135025,Sarah Redden
18767208,Dr.  RANGASWAMY G
98932973,M. Irsyad Maulana
72365854,Stephen Ballew
28170473,H. Sandoval
103784747,Youmo Wang
83277857,Zizheng Qin
69800300,Serena Baker
76180656,Ts Djankova
69539077,Sebastián Chacón Soto
32321826,Ismo Uskali Mäki
60474208,Patrick H McCann
91326405,燕青 陳
751168,A. D. Kiyatkina
74275926,Takuma Hotani
20046740,Edem F Avakame
80213891,Wui Ching
35983109,Jia kuan Li
18926005,Duan WeiXin
23321059,Fazil O. Gülaçlar
40786634,Kenneth H. Willlams
33948330,J.M Shilton
5974490,Anglaret X
56287195,Ngwalangwa F
20170628,Eduarda Silva de Araújo
19735778,E. T. Ralph
44130579,Lex A Brown
30668652,Hurtado Rivas
54340458,Mukhamad Roni
2329616,AbuBaker AlMadani AlShaffi
76953484,"V. Distanov,"
95596375,Del Clasificación De Medidas
3189535,"AKBULUT, Gülpınar"
17856474,Diana Chávez Rodríguez
16103154,Dae Ghon Kim
44827736,Liu Shewen
22437044,F Tauscher
87454235,장호영 ( Chang Hoyoung )
18710428,Douglas Garcia Alves Júnior
79408657,Wayne Gafford
35752239,Jerzy Kuźniar
44506662,Lin Zhanquan
59374530,P. Amoudruz
39212784,K. Michelle Lipe
98582419,Letícia Marinho Pontes Giacomelli
100180595,None Citra Dewi Fitri Astuti
40680913,Kelly Piazza
20090381,Edina Komódi
80696038,Y G Zhuang
35834300,Jessica Morais de Araújo
60041248,Paloma Mateu-Rogell
102961861,"Takano, Koji"
82797510,Zeyar Min Thwin Htoo
26241470,Gerardo O'Brien
57117288,None Eva Maria Putz
92519684,謙次 岩崎
96769146,Guoqi Pan
4731482,Amelie Grammen
4693668,Amber Erin Dupree Dupree
43256989,Larnia Rouached
40845762,Keoyul Jung
14259828,"ÇINAR ÖZKAN, Fatma Tuğçe"
65516866,Robert Honeychurch
57463662,None SUPER study collaborators S. S. C. SUPER study collaborators
27410139,Guillermo Antonio Coll Ferrari
47198288,M. Nakano Miyatake
84171689,Вучкович Мария
81329564,Yee Lee Wong
15663431,D. Kastberg
67361455,S. Gale Denley
78264293,Vincent Kroon
29676794,Henry Schoenfeld
16245393,Damien Gauden
87598219,三浦佳奈
33301649,J. Joanne. Herr
29990491,Hiroki Teramae
91644618,真生 細尾
80782398,Y. Izumiya
38660321,Junivia Virginia Jermias
90467459,杉山愛子
90437971,朱小磊（编译）
7641719,Audrey Deacon
93182004,隆夫 保積
3267726,Akshata Matapati
71521801,ٍsmatosadat Hosein
8057934,B Kocoń
81437079,Yi Q. Zhan
93551020,龐大慶
11895908,Camille Cleuziou
73189270,Suzane de Oliveira Rodrigues Schumacher
90052984,戴荣修
103247092,V Mikhailovskii
17857184,Diana Constantinopol
63030500,R. J. W. Charlton
38670414,Junmao Yin
21744503,Ernest  Benjamin Ikechukwu Ugwu
96489274,G Nikhil Sai
89716640,廣志 駒澤
72308019,Stephanie B. Dunkel
44102824,Lev R. Youngelson
25020844,G. H. J. J. Roebroeks
50174371,Mario Carranza
78534926,Vladimir Semyonovich Kagramanian
54608112,N A Rosen
73945975,T.. Taneda
51031554,Mason Sun
65378813,Rizza Arista Veronica
17367859,Deepesh Bhati
82263596,Yuri A. Mikishin
51301823,Matthias Kloppmann
17758577,Dexter James Tomczak
17074840,David W. Amrhein
7156604,Arran Rowles
60125339,Pang Xume
5957917,Anggi Fitriani Sihombing
50120587,Marina Hovius
92969340,鈴木 博行
53855695,Monika Wójtowicz‐Marzec
21520213,Eri Tomida
19803610,E.A. dos S. de Almeida
77176895,V. Tolstova
39218215,K. Müeller
55586708,Nanticha Kalapat
87044009,김룡국
15914493,D.A. Volkhin
1338788,A. S. Buono
5374396,André Granier
83709979,А. Р. Ибрагимов
6401748,Anne-Marie Faussat
