source_id,source,abbreviation,source_type_id,country_iso_alpha2_code,host_organization_publisher_id,host_organization_institution_id,homepage_url,issn_l,openalex_id,mag_id,wikidata_id,fatcat_id,is_in_doaj,is_oa,apc_price_usd,updated_date,created_date
4306555959,祝你幸福：知心,,3.0,,,,,,S4306555959,,,,0.0,0.0,,2024-06-26,2022-10-17
4210185948,Symbolon,,3.0,RO,,,,1582-327X,S4210185948,,,,1.0,1.0,0.0,2024-08-20,2022-02-03
4387280433,Perinatology and reproductology from research to practice,,3.0,,,,,2788-6190,S4387280433,,,,0.0,0.0,,2024-08-26,2023-10-03
4210189778,Turkiye Klinikleri Journal of Dental Sciences,,3.0,TR,,,,2146-8966,S4210189778,,Q96731255,yrxeq22pwrbxdde37gn3yrxlhm,0.0,0.0,,2024-08-28,2022-02-03
4387284276,Jurnal Inovasi Pendidikan Agama Islam (JIPAI),,3.0,,,,,2809-1345,S4387284276,,,,0.0,0.0,,2024-08-08,2023-10-03
4306494724,언어사실과 관점,,3.0,,,,,,S4306494724,,,,0.0,0.0,,2024-06-26,2022-10-17
4210228543,International Journal of Advanced Nursing Education and Research,,3.0,AU,,,http://gvschoolpub.org/journals/IJANER,2207-3159,S4210228543,,Q96710429,,0.0,0.0,,2024-08-26,2022-02-03
4363606949,Archivos hispanoamericanos de sexología,,3.0,,,,,,S4363606949,,,,0.0,0.0,,2024-06-25,2023-04-11
4210169242,International Journal of Research in Undergraduate Mathematics Education,,3.0,US,4310319900.0,,https://link.springer.com/journal/40753,2198-9745,S4210169242,,,,0.0,0.0,2990.0,2024-08-29,2022-02-03
4387288522,Jurnal Inovasi Mesin,,3.0,,4310315212.0,,,2746-7694,S4387288522,,,,0.0,0.0,,2024-08-08,2023-10-03
4306537068,فصلنامه پژوهش های نوین روانشناختی,,3.0,,,,,,S4306537068,,,,0.0,0.0,,2024-06-25,2022-10-17
4210185695,Perspectives on Aural Rehabilitation and Its Instrumentation,,3.0,US,4310320281.0,,,1940-7688,S4210185695,,,,0.0,0.0,,2024-08-19,2022-02-03
