source_id,alternative_title_seq,alternative_title
121161810,4,"Proteins, structure, function, and genetics"
4210215667,1,JPRR
2764594341,1,Journal of Liaquat University of Medical and Health Sciences
4210240017,2,World of transport and transportation
4210220561,2,Proceedings of the IEE.
4210200828,2,Evrazijskij naučno-muzykalʹnyj žurnal
4210234561,1,JMIKI
143171917,2,Resource sharing and information networks
4210204235,3,Journal of nanotechnology and molecular computation
2764907355,4,IT & D
4210191447,1,Organisation for Economic Co-operation and Development reviews of digital transformation
4210181278,1,Zbìrnik naukovih statej Kiïvsʹkogo mìžnarodnogo unìversitetu j Ìnstitutu socìalʹnoï ta polìtičnoï psihologìï NAPN Ukraïni. Serìâ: Psihologìčnì nauki: problemi ì zdobutki
138902939,1,ZGW
2739379204,2,"#Tear, Revista de Educação, Ciência e Tecnologia"
172873562,2,American journal of biochemistry and biotechnology
25017790,3,Journal of industrial psychology
4210225171,4,Journal for comparative government and european policy
4210224752,1,Social computing
2764410520,2,J. res. gender stud
4210229498,1,E&P
4210199561,1,Journal of Ankara health sciences
4210202051,1,Journal of theoretical educational science
4210226420,1,Arab journal for quality assurance in higher education
2764742177,1,Revue de la philosophie française et le langue française
4210183677,1,Supplementary series
4210169326,1,Transformasi Islam dan kebudayaan
4210219522,1,FREP
4210168057,1,Evraziâ medicina žurnaly
4210231829,1,The Korean journal of elementary counseling
169477635,5,Nihon jibi inkoka gakkai kaiho
4210232504,1,Continuing medical education supplement
2764754848,2,Papers on civil engineering information processing system
180200651,1,MR
4210211182,1,"Medical Journal of the Rzeszow University and the National Medicines Institute, Warsaw"
4210171472,3,ZfWU (Print)
4210186588,1,IJTET
4210168331,3,"Landolt-Börnstein. Group III, Condensed matter"
121161810,3,"Structure, function, and genetics"
1995308,1,JNS
2764375043,1,Doshisha University economic review
112856106,3,Magn Reson Chem
4210171338,5,Proceedings of the ... Annual IEEE/ACM International Symposium on Microarchitecture
4210201124,2,Mongolyn geosudlaač
47640537,1,IJIMA
4210210088,1,IEJEE-Green
121803438,1,IJH
4210231546,1,Hayina
4210217911,2,MHGCJ
182611093,2,JKFN
6791298,2,Condensed matter and materials physics
188676343,1,"PM, ICMA public management magazine"
4210212672,5,Metal science & treatment of metals
148153482,2,GJ advances
1024877810,3,"Journal of defense modeling and simulation, applications, methodology, technology"
4210233561,4,International journal of public and private healthcare management and economics
4210211017,1,Povolžskij region. Tehničeskie nauki
4210219253,1,Jurnal Ilmiah Ilmu Keperawatan dan Ilmu Kesehatan Masyarakat
4210204215,1,ReDIT
73468131,1,Shingō shori
120552281,1,Annual of social work
2764613475,2,Evropejskij žurnal sovremennogo obrazovaniâ (Print)
4210188296,1,Österreichische Zeitschrift für Soziologie (Print)
4210238124,2,Naučnye doklady vysšej školy. Filologičeskie nauki
2764658658,1,Chinese Journal of Cardiovascular Rehabilitation Medicine
179481622,2,Journal of literary semantics (Print)
1002854943,1,Information and culture
4210194834,2,Journal of innovation management in small and medium enterprises
4210180884,1,NECES
4210237155,1,Money and finance
117267838,1,AJOB Neurosci
4210177626,2,Jurnal komunikasi
4210190249,2,Journal of soceity of Korea industrial and systems engineering
4210183574,2,"Collection ""Antiquité et sciences humaines"""
2738328867,1,Behbood
4210219158,1,ER
46388605,1,Meddelelser fra Dansk Geologisk Forening
4210191001,1,Science planétaire sécheresse
4210236408,1,"Sastra, Bahasa, Kebudayaan dan Pranata Jepang"
4210176581,1,GIS&T BoK
4210220683,1,JIPI
4210198467,1,Siberian journal of numerical mathematics
4210237449,3,Enterprise Distributed Object Computing
4210183332,1,Izvestiâ Akademii Nauk èestonii.
4210198534,1,Al-Mağallah Al-Dawliyyaẗ Lil Taʿlīm bil 'ntarnīt
4210218658,1,Routledge advances in social economics
4210181260,3,Vestnik TvGTU. Seriâ Nauki ob obŝestve i gumanitarnye nauki
23813625,2,JPRAS
4210222991,1,JPU
4210212341,2,Studien zu den Kriminalwissenschaften
4210208479,1,R&D enterprise Asia Pacific
4210170332,1,Jurnal ilmiah teknik mesin
4210174848,1,"Phaos, revista de estudos clássicos"
186240106,2,MIJ-NSR
2898257771,1,Radiología (Barcelona. Ed impresa)
100638937,1,Journal of the Society for Applied Anthropology
4210219192,1,Underground Mining Engineering
147287002,4,Acquired immune deficiency syndrome & public policy journal
4210237315,1,Guide to education innovation
19579230,1,Race and society
63270775,3,Daqi kexue jinfa (Internet)
4210225279,1,Organon (Warszawa)
4210191891,1,JTMP
4210172778,2,SJAS
78634436,1,Revue canadienne des études sur le nationalisme
8999885,2,American Society for Artificial Internal Organs journal
41719476,1,Interventional medicine & applied science
4210227669,2,Annals of contemporary developments in management and human resources
4210171609,2,Global International Scientific Analytical Project.
4210229354,1,EPOL
4210189375,1,Journal of electrical engineering and electronic technology
4210211753,2,"Moreana, gazette"
2764825290,1,CELT
4220650857,1,Chinese literature & thought today
4210240390,1,IJMPES
60318618,1,World journal of surgery (Print)
4210210356,1,International general practice
188171716,2,Women in engineering magazine
4210234109,1,Insurance Business Journal
4210193159,1,Sasanidische Studien
4210226002,1,"Synthesis lectures on assistive, rehabilitative, & health-preserving technologies"
15031725,2,ATF-anerkannte interaktive Fortbildung
4210234962,2,"Revista Carioca de Ciência Tecnologia e Educação, revista de Pesquisas e Projetos em Ciência, Tecnologia e Design aplicados à Educação"
4210180463,1,Infrastructure and sustainability
4210173824,1,Astma i allergiâ
2764997579,2,Korean journal of breeding
4210212218,1,IRSP
71011333,1,Proceedings of Japan Society for Lipid Nutrition
4210168368,1,Journal of actor-network theory and technological innovation
4210175332,1,Izvestiâ Severo-Kavkazskogo naučnogo centra vysšej školy. Estestvennyh nauk
107940400,1,Journal devoted to the biology and management of moose
4210232345,1,Wireless networks and mobile communications series
2764687798,1,Han-gug suhag nonmunjib
4210205986,1,Springer briefs in behavioral medicine (Internet)
4210232143,1,Jurnal Hadis
89102014,10,IP (Köln. Global ed.)
125058558,1,International journal of value-based management
4210167538,2,Hals-Nasen-Ohren-Informationen (Internet)
35573031,3,IJBM (New York)
987534898,2,"MW,"
4210172109,3,Bulletin of the British Educational Research Association
4210167532,2,Journal of clinical medicine reviews in therapeutics
2737908387,4,"Rivista italiana di biblioteconomia, archivistica e scienza dell'informazione"
2764387897,1,Communication engineering
9051360,3,EPJ. B
206936884,1,Computational intelligence and applications
142480851,1,DJLS
4210231367,2,Revista de la Facultad de Ciencias Exactas y Naturales y Agrimensura
4210213864,3,"Stem Cells Research, Development & Therapy"
4210185441,1,Media kajian pendidikan dan pengajaran bahasa
4220651035,1,Jurnal Akuntansi Manajemen Madani
4210239380,1,Agricultural science
4210237075,1,Severo-Kavkazskij region
4210238739,2,AISS
4210181692,1,NANO
113878176,2,Japanese journal of physical fitness
4210219302,1,Acta automatica sinica
2765029160,1,Safety and reliability
4210170590,1,The Journal of Economic Development
4847439,3,Journal of the Chartered Institution of Water and Environmental Management
158082692,1,NQHR
4210172151,1,EJST
39948230,3,Occupational environmental health
4210200607,1,CIJGC
2764848467,1,Journal of the human and social science researches
4210176018,1,Série: Revues de l’OCDE sur la création locale d’emplois
4210240973,1,RITP
4220651643,1,MRR
4210179950,1,European journal of parenteral and pharmaceutical sciences
33562827,3,Institute of Electrical and Electronic Engineers intelligent systems & their applications
2764478987,1,Chinese Vegetables
2737562164,1,German medical science. Medizin - Bibliothek - Information
4210203308,3,Communications Society magazine
4210234302,1,IJAM
4210214483,1,SOJS
957200628,1,Brigham Young University studies quarterly
4220650804,1,Al-Mağallah Al-Dawliyyaẗ Lil Dirāsāt Al-Mutaʿadidaẗ fi Al-Fan wa Al-Tiknūlūğiyā
4210201762,4,ASPA book series on public administration and public policy
2737480470,2,Revista de Estudios Interdisciplinarios en Ciencias Sociales
114502960,1,Biological crystallography
40489520,1,Australian and New Zealand journal of surgery
4210208585,2,NP
2764882150,1,IATA World Airline Cooperation review
4210234372,2,Communication
72546408,1,Centralblatt für Chirurgie
2764568980,1,"Research bulletin of the Plant Protection Service, Japan"
7391137,1,Gerokomos (Barcelona. Ed. impresa)
2764769916,3,SA chemistry
4210236133,1,J-FLEX
4210171726,2,Global International Scientific Analytical Project.
4210182622,1,JGEL
