source_id,issn_seq,issn
2898556737,1,2352-0035
8943243,1,1941-6210
4393918934,2,2629-2327
2764842932,1,0096-6703
4387283559,1,2963-7937
4210223642,1,1660-5403
4210233006,1,1698-5583
2764792025,2,2233-0070
4210171681,1,1566-7669
4210228782,2,2148-0710
4210229990,1,2355-2840
4210232654,2,2749-9197
4210230735,1,1983-3253
4210241133,1,2721-2521
4210197857,1,2634-3770
4210194627,1,2579-6216
4210169772,2,2349-1515
4210175009,2,2594-2786
36826945,1,1882-1782
4210208813,2,2321-5674
4387285907,1,2455-8532
4210179334,2,2614-5839
2764796954,2,0976-6847
2737440677,2,2444-3239
4393911581,1,0012-6624
4210168047,1,1225-6919
4210195202,1,2657-1935
4393916304,1,0928-303X
4393918847,1,2578-9694
2739462270,1,0026-1742
4210218123,1,0972-415X
2756028644,1,0023-1924
4210230455,1,0302-6701
4210167534,1,1226-8682
4210205918,2,2657-1714
4393911714,1,0017-5900
4210187576,1,0235-7208
4387278780,1,2827-7694
1093243,2,1931-227X
4210191642,1,2072-5183
156862075,1,1076-2752
4393920086,1,2959-5959
4210172211,2,2519-321X
4387290095,2,2964-2841
4210227495,1,1863-4621
4210228498,1,2805-2595
4210168620,1,0184-7694
4306504753,2,2341-3409
4210190486,2,2706-9338
4210186764,1,2502-0919
158536582,2,1873-3190
2764607641,2,1947-5756
126920787,1,1073-2780
4394735523,1,1100-326X
4210235909,1,2502-3918
4210173679,1,0329-5559
4210193350,1,2504-446X
169712084,1,1461-4111
2764508021,2,2723-4673
83082368,2,1538-9286
4393915736,1,0736-3680
4387290153,1,1816-336X
4210176819,2,2713-1653
4210232412,1,0777-527X
4387284881,2,2962-1569
4393911213,1,0001-9682
4210213926,1,2624-8220
4210182756,1,1759-3093
89003483,1,0942-9352
4387286895,1,0862-397X
4210205331,1,2246-3755
4210199851,2,1875-6778
675406,1,0749-2227
4393919377,1,2731-8907
4210216026,1,2509-9329
187296519,2,1806-9584
4393919191,1,2721-057X
4210197578,1,0235-1188
4210186734,1,2641-2969
160034077,1,0361-6274
4210212904,1,0104-3579
4210210710,1,2474-1353
4210220770,1,2572-004X
4387284494,1,2832-9163
4210172435,1,2519-9285
4210167651,2,2376-6603
4210192506,1,2141-4092
4210237598,1,2521-537X
2764403422,1,1470-5001
4210176826,1,2693-9681
135560524,1,1741-7015
4210172050,1,2249-5517
4210210644,2,2212-7283
31752339,2,2795-8558
2764754687,2,1540-8698
4210218240,2,2176-0675
188947811,2,1568-5292
4210177981,1,2723-5238
4210202719,2,2522-4735
4210203585,2,2683-2852
4210173516,1,2458-8849
4393917049,1,1096-7699
4210208026,1,2525-9849
4306514431,1,1122-7893
4210188681,1,2289-8298
4210201928,1,1220-2053
4210229876,1,2521-2915
103146128,1,1386-2820
4210180119,1,2067-6808
51939333,2,1944-0987
4210170292,2,1936-6760
4210169086,1,2249-2720
141843025,1,0278-6656
4210169120,2,2375-0367
4387279705,1,1999-4214
4393914724,1,0362-3173
4210227282,1,2527-3612
2764544290,2,2303-6397
4394735964,1,2829-6915
4210177672,1,2708-7298
4210218469,2,1998-1368
4210185779,2,1177-6641
4210202590,1,2303-064X
2755960773,1,0738-467X
4210236105,1,2594-3863
46065367,2,1812-5700
4387289553,1,2786-7676
4210184459,2,2194-8798
201526756,2,1539-8293
64016596,1,1359-6454
148921865,2,1946-1607
4210169521,1,2352-2208
4393917111,1,1130-6106
4210201585,2,2349-6681
66666449,1,0038-0253
85012289,1,1744-1765
4210204872,1,2663-6050
4210226368,1,2456-0561
78370763,2,1827-160X
2764588327,1,0079-6085
2736574670,1,1843-1577
173335977,1,0008-4204
4210171216,1,0108-7681
4306505250,1,0389-9071
4210196550,1,1982-1921
4210230679,1,2776-3099
120371716,1,1471-2091
4210191981,1,2624-9995
4210179523,1,0772-4292
4393914074,1,0261-4375
4210239516,2,2656-3339
41725135,2,1588-2578
2764943954,1,1995-0756
4210199308,1,1678-4855
46247591,2,1934-1563
4210195438,2,2574-089X
2764694309,1,1980-2447
4210225915,2,2215-1729
4394906775,2,2523-4773
4210183407,1,2454-0633
4210200194,1,2639-8265
2764824094,2,2090-8539
4210229531,2,1990-0449
4210238432,1,2500-2074
4210231039,1,2712-8768
4210173148,2,2528-1658
2764578571,1,1000-3940
4210194865,1,0082-8424
4210200031,2,2187-4999
4387284992,1,2772-6665
2764823735,1,0370-8446
4210223740,1,2674-788X
2764374800,1,0302-2773
188110670,1,1741-4113
127036354,2,1432-234X
4306535010,1,1000-8918
4210234109,2,2746-3427
4210192887,1,2250-4591
4210189269,1,1229-6406
4210173520,1,2185-9493
4210173726,2,2166-0689
2764396440,1,2307-3489
4230431,2,2326-4586
4210174603,1,2469-7869
4210183656,1,0992-2059
4306534086,2,2281-0617
4210169609,1,0078-6225
192843772,1,0387-6101
4210187300,1,2084-2937
4393914652,1,0347-8998
5248501,2,1872-7913
2764755947,1,2214-3912
4210209128,1,1735-1324
4210208313,2,1439-1635
2764520244,1,1001-7380
4210169476,1,1492-8442
4387282702,1,2828-5514
4387289511,1,2642-9144
4210191104,1,0900-6362
1034174532,1,0046-001X
4210225740,1,2517-729X
2736869188,1,1862-1678
4210188035,2,0976-6413
108514543,1,1876-5025
4306510501,1,1553-0302
4210210753,1,0849-1089
4387290550,1,2243-822X
4210190915,2,2194-3834
4210193310,1,2328-7640
4210190755,1,2384-633X
4210188442,2,2654-5985
207133668,1,1524-153X
4210218212,1,1025-8817
4210207351,2,2317-6962
4210200044,1,2337-8646
2737887012,1,1870-0462
4210222794,2,2721-4249
4210218941,1,2059-5816
2765067646,1,1342-4181
4387284008,1,0154-7763
4210176526,2,2671-8421
4210178460,2,2412-8929
136764900,2,2374-8753
2736967410,3,2666-6529
4387287941,1,2985-4881
4210168406,2,2381-6961
2764836474,1,0308-2245
4210168306,2,2056-5216
2764869302,1,0113-8359
4210168505,1,2190-460X
4210181373,1,2615-6520
4210207722,2,2352-9512
4210178479,1,1217-4696
