source_id,society_seq,society,homepage_url
182001,1,National Association for Gifted Children,http://www.nagc.org/
1390998,1,Political Studies Association,http://www.psa.ac.uk/
2092408,2,http://www.acrnet.org/,FALSE
2181421,1,Society for Social Studies of Science,http://4sonline.org/
2280673,1,Association for the Study of Medical Education,http://www.asme.org.uk/
2329919,1,The British & Irish Association for Practical Theology,https://www.biapt.org/
2680034,1,Deutsche Gesellschaft für Internistische Intensivmedizin und Notfallmedizin (DGIIN),https://www.dgiin.de/
3234473,1,European Urban Research Association,http://www.eura.org/
3756010,1,SICOT - The International Society of Orthopaedic Surgery and Traumatology,http://www.sicot.org/
3992287,2,European Society for Pediatric Dermatology,http://www.espd.info/
4029648,1,Foundation for Veterinary Dentistry,http://veterinarydentistry.org/
4078192,2,Royal Swedish Academy of Sciences,http://www.kva.se/en/startsida
4847439,1,Chartered Institution of Water and Environmental Management,https://www.ciwem.org/
5303612,1,Association of periOperative Registered Nurses,https://www.aorn.org/
5444993,1,Institute of Geophysics of the Academy of Sciences of the Czech Republic,https://www.ig.cas.cz/en/
5745031,1,International Solar Energy Society,http://www.ises.org/
6139184,1,The Botanical Society of Japan,http://bsj.or.jp/index-e.php
6691161,1,African Association of Insect Scientists,http://aaisafrica.org/
8600569,4,Società Italiana di Emaferesi e Manipolazione Cellulare,http://www.emaferesi.it/
8734658,1,Japan Neuroscience Society,http://www.jnss.org/
8769598,1,Taiwanese Society of Biomedical Engineering,http://www.bmes.org.tw/
8788103,1,l'Association internationale de psychologie du travail de langue française (AIPTLF),https://www.aiptlf.net/
8901149,1,Canadian Psychiatric Association,http://www.cpa-apc.org/index.php
9351053,1,Eastern Finance Association,https://www.easternfinance.online/
9565702,1,International Mycorrhiza Society,http://www.mycorrhizas.org/
9600176,1,European Association for Research on Learning and Instruction,https://www.earli.org/
9856456,1,International Political Science Association,http://www.ipsa.org/
10201666,1,Society for Public Health Education,http://www.sophe.org/
10288104,1,European Association of Social Psychology,http://www.easp.eu/
10402646,1,American Alliance for Theatre & Education (AATE),http://www.aate.com/
10544101,2,ACADIA – Association of Computer Aided Design in Architecture,http://www.acadia.org/
10751480,1,European Society for Artifical Organs,http://www.esao.org/
11778488,2,American Anthropological Association,http://www.americananthro.org/
11852655,1,The American Association of Veterinary Parasitologists (AAVP),http://www.aavp.org/
12146737,1,International Society for Animal Genetics,http://www.isag.us/about.asp
12267756,1,Society for Laboratory Automation and Screening,http://www.slas.org/
12492028,1,Published on behalf of the International Institute for Conservation of Historic and Artistic Works,https://www.iiconservation.org/
12511572,2,The British Otorhinolaryngology & Allied Sciences Research Society (BOARS),https://www.entuk.org/boars-british-otorhinolaryngology-allied-sciences-research-society
13506822,1,American Psychosocial Oncology Society (APOS),http://www.apos-society.org/
13698240,2,Association of Rheumatology Health Professionals,
13872956,1,Hammill Institute on Disabilities,http://www.hammill-institute.org/
14468722,1,The Agricultural Economics Society,http://www.aes.ac.uk/
14586973,1,Society of Analytical Psychology,https://www.thesap.org.uk/
14856742,1,"Center for Italian Studies, Stony Brook University, NY",https://www.stonybrook.edu/italianstudies/
15409311,1,Voice Foundation,http://www.voicefoundation.org/
15609493,2,World Psychiatric Association,http://www.wpanet.org/
16559285,1,The Psychonomic Society,http://www.psychonomic.org/
17068196,1,Association for Tropical Biology and Conservation,https://tropicalbiology.org/
17185278,1,Public Administration Committee,http://public-administration-uk.org.uk/
17594912,1,Durham University,http://www.dur.ac.uk/
18188872,3,"Spanish Society for Analytical Chemistry (Sociedad Española de Química Analítica, SEQA)",https://www.seqa.es/
18307414,1,International Society for the History of Physical Education and Sport,http://ishpes.org/home/
18318442,1,National Communication Association,http://www.natcom.org/
18792341,1,Taiwan Fuzzy Systems Association (TFSA),http://www.fuzzy.org.tw/
18942856,1,The Psychonomic Society,https://www.psychonomic.org/
19143454,2,University of Science and Technology of China,https://en.ustc.edu.cn/
19171858,1,Australian Society of Exploration Geophysicists,https://www.aseg.org.au/
19400458,2,Campbell Collaboration,https://www.campbellcollaboration.org/
19605986,1,EURASIP – European Association for Signal Processing,http://www.eurasip.org/
19655492,1,National Children's Bureau,http://www.ncb.org.uk/
19769454,1,Australasian Society for Intellectual Disability (ASID),http://www.asid.asn.au/
20076162,1,European Association of Social Anthropologists,http://www.easaonline.org/
20419620,1,Association for Research in Post-Compulsory Education (ARPCE),http://arpce.org.uk/
21016770,1,Inter-University Seminar on Armed Forces and Society,http://www.iusafs.org/
21314667,1,Istituto di Informatica e Telematica del Consiglio Nazionale delle Ricerche,https://www.iit.cnr.it/en
21371779,1,Australasian College for Emergency Medicine,https://acem.org.au/
21476359,1,The Korean Institute of Power Electronics,http://www.kipe.or.kr/eng/
21531352,1,Sociedade Brasileira de Dermatologia,https://www.sbd.org.br/
21859746,1,The American Society for Composites,http://www.asc-composites.org/
22214007,2,http://www.ishd.org/,FALSE
22216877,1,Center for Translation Studies,http://translation.utdallas.edu/
22523967,2,Società Italiana di Chirurgia Plastica Ricostruttiva ed Estetica (SICPRE),http://www.sicpre.it/
22797964,1,Society for Urodynamics & Female Urology,http://www.ics.org/
23243006,1,British Veterinary Association (BVA),
23343376,1,European International Business Academy,https://www.eiba.org/r/home
23625584,3,American College of Veterinary Clinical Pharmacology,http://www.acvcp.org/
24165732,1,Spanish Society of Statistics and Operations Research,http://www.seio.es/index.php?lang=en
24354371,1,Society of Radiopharmaceutical Sciences,http://www.srsweb.org/
24603639,1,European Society of Rheology,https://rheology-esr.org/
25105827,1,Institute of Concurrent Engineering,http://icei.weebly.com/
25178087,1,International Pediatric Nephrology Association,http://www.ipna-online.org/
25199142,1,The Ludwik Hirszfeld Institute of Immunology and Experimental Therapy,https://www.iitd.pan.wroc.pl/en/Institute/
25376279,1,American Evaluation Association,http://www.eval.org/
25654872,1,Japanese Society for Neuroimmunology,http://www.neuroimmunology.jp/index-e.html
26113922,1,The Society for Post-Medieval Archaeology,http://www.spma.org.uk/
26173706,1,Deutsche Gesellschaft für Innere Medizin e.V. (DGIM),https://www.dgim.de/
26362423,1,Postcolonial Studies Association UK,https://www.postcolonialstudiesassociation.co.uk/
26598852,1,SPONSOR: Fondazione Edison,http://www.fondazioneedison.it/it/
26966653,1,Population Council,http://www.popcouncil.org/
27308184,1,Oxford Centre for Mission Studies,http://www.ocms.ac.uk/
27783554,1,Institut Henri Poincaré,http://www.ihp.fr/en
28330355,1,The Korean Physical Society,http://www.kps.or.kr/
28349394,1,American Dairy Science Association,http://www.adsa.org/
28964699,1,International Academy of Sex Research,http://www.iasrsite.org/
29194541,1,The Liturgical Conference,http://www.liturgicalconference.org/
29534538,1,Monumenta Serica Institute,http://www.monumenta-serica.de/monumenta-serica/institute/index.php
30211177,1,"Society for the Psychology of Women, Division 35 of the American Psychological Association",http://www.apadivisions.org/division-35/
30638350,1,National Council on Measurement in Education,http://www.ncme.org/
30657385,1,The Society for Geology Applied to Mineral Deposits (SGA),https://e-sga.org/home/#
30841621,1,The Histochemical Society,http://histochemicalsociety.org/
30880287,1,Institute of Philosophy and Sociology of the Polish Academy of Sciences,http://www.studialogica.org/
31062579,1,International Council of Museums,https://icom.museum/
31493525,1,South African Association of Botanists,https://sabotanyblog.wordpress.com/
31634851,1,Teacher Education Division of the Council for Exceptional Children,http://www.tedcec.org/
31672787,1,European Society of Contraception and Reproductive Health,http://www.escrh.eu/
31690342,1,Strategic Management Society,http://strategicmanagement.net/
31976903,1,The Royal Geographical Society with IBG,http://www.rgs.org/
32061424,1,Royal Meteorological Society,https://www.rmets.org/
32190847,2,International Geriatric Fracture Society,http://www.geriatricfracture.org/
32314625,1,Population Council,http://www.popcouncil.org/
32591859,1,Peace History Society,https://www.peacehistorysociety.org/
32670438,1,Urban and Local Politics Section of the American Political Science Association,http://www.apsanet.org/section13
33108253,1,International Society of Bionic Engineering,http://www.isbe-online.org/?ui=english
34816297,2,Norwegian Psychological Association,https://www.psykologforeningen.no/
34872747,1,International Union of Biochemistry and Molecular Biology,https://iubmb.org/
35920007,1,European Association for Signal Processing,https://www.eurasip.org/
36489579,1,National Center for State Courts,http://www.ncsc.org/
36510773,2,Association of Applied Biologists,https://www.aab.org.uk/
37340297,1,Tusi Mathematical Research Group,https://profsite.um.ac.ir/~moslehian/tmrg.htm
37660120,1,Academy of Human Resource Development,http://www.ahrd.org/
37667796,1,World Federation of Hemophilia,http://www.wfh.org/
37853641,1,Institut Pasteur,https://www.pasteur.fr/fr/research-microbiology
38337076,2,Brazilian Society of Clinical Neurophysiology,http://www.sbnc.org.br/
38863834,1,Society for Terrorism Research,http://www.societyforterrorismresearch.org/
39250910,1,YOUNG Editorial Group,
39924113,3,American Pediatric Surgical Association,http://www.eapsa.org/
40080443,1,CAIPE,https://www.caipe.org/
40136177,1,"Nordisk Odontologisk Förening, (NOF) - the Scandinavian Division of the International Association for Dental Research (IADR)",http://www.iadr-nof.com/
40198776,1,International CCN Society,http://ccnsociety.com/index.html
40280859,2,"Division of Operation and Maintenance, Lulea University of Technology, Sweden",https://www.ltu.se/
40362259,1,Society for Cross-Cultural Research,http://www.sccr.org/
40391745,2,International Society for Mechanical Circulatory Support,https://www.ismcs.org/
40505786,1,American Society of Nuclear Cardiology,http://www.asnc.org/
40678964,1,Pennsylvania Prison Society,http://www.prisonsociety.org/
41010807,1,British Educational Research Association,http://www.bera.ac.uk/BCF
41582180,1,American College of Medical Toxicology,http://www.acmt.net/index.html
41663952,1,A Journal of the International Listening Association,https://listen.org/
41709181,1,American Society for Bioethics and Humanities (ASBH),http://www.asbh.org/
41786655,1,la Société Française de Dermatologie et de l'Association des Dermatologistes Francophones,
42225297,2,Österreichische Schmerzgesellschaft (ÖSG),https://www.oesg.at/
42421247,1,Association for Radiologic & Imaging Nursing (ARIN),https://www.arinursing.org/
42481033,1,Association of Professional Chaplains,http://professionalchaplains.org/index.asp
42573498,1,International Association of Sedimentologists,http://www.sedimentologists.org/
42686363,1,"Institute of Materials, Minerals & Mining",https://www.iom3.org/
43043541,2,European Society of Cardiovascular Radiology (ESCR),https://www.escr.org/
43555407,1,Nevin Scrimshaw International Nutrition Foundation,https://inffoundation.org/
43587112,1,Eastern Communication Association (ECA),http://www.ecasite.org/
43637407,1,RADMA,https://www.radma.net/
43667197,1,The Japanese Society of Neuropathology,http://www.jsnp.jp/en/
44033376,1,European Society of Paediatric Radiology (ESPR),http://www.espr.org/
44261829,1,Indian Psychiatric Society - South Zonal Branch,http://ipsszb.org/
44419007,1,International Sustainable Development Research Society (ISDRS),http://isdrs.org/
44433209,1,"Latin American Perspectives, Inc.",http://latinamericanperspectives.com/
44888363,1,International League of Associations for Rheumatology,http://www.ilar.org/
45445671,1,American Society for Reproductive Medicine,http://www.asrm.org/
46169546,1,Academy for Gerontology in Higher Education (AGHE),http://www.aghe.org/
46238352,1,Behavior Genetics Association (BGA),http://bga.org/
46483713,1,International Environmental Communication Association,http://theieca.org/
46670945,3,European Society for Haemapheresis,http://www.esfh.eu/
48180145,1,Association for Molecular Pathology (AMP) American Society for Investigative Pathology (ASIP),http://www.amp.org/ http://www.asip.org/
48298795,1,British Association for Counselling and Psychotherapy,http://www.bacp.co.uk/
49302835,1,"IFAC, the International Federation of Automatic Control",http://www.ifac-control.org/
49871393,1,French Society for the study of Diabetes,https://www.sfdiabete.org/
51087889,1,Association for Scientific Advancement in Psychological Injury and Law,http://www.asapil.net/
51135293,1,The European Society of Radiology,https://www.european-radiology.org/
