subfield_id,sibling_subfield_seq,sibling_subfield_id
1100,3,1104
1100,7,1108
1102,4,1106
1102,8,1109
1103,1,1102
1103,5,1107
1103,9,1110
1104,4,1106
1104,8,1109
1105,1,1102
1105,5,1107
1105,9,1110
1106,3,1104
1106,7,1108
1107,2,1103
1107,6,1100
1107,10,1111
1108,3,1104
1108,7,1100
1109,2,1103
1109,6,1107
1109,10,1111
1110,4,1105
1110,8,1108
1111,1,1102
1111,5,1106
1111,9,1109
1200,4,1202
1200,8,1209
1200,12,1213
1202,3,1206
1202,7,1208
1202,11,1212
1203,2,1205
1203,6,1207
1203,10,1211
1204,3,1200
1204,7,1208
1204,11,1212
1205,2,1206
1205,6,1203
1205,10,1211
1206,4,1202
1206,8,1209
1206,12,1213
1207,1,1204
1207,5,1202
1207,9,1210
1208,3,1206
1208,7,1203
1208,11,1212
1209,2,1205
1209,6,1207
1209,10,1211
1210,4,1200
1210,8,1208
1210,12,1213
1211,1,1204
1211,5,1202
1211,9,1209
1212,4,1200
1212,8,1208
1212,12,1213
1213,1,1204
1213,5,1202
1213,9,1209
1302,2,1304
1302,6,1308
1302,10,1312
1303,3,1305
1303,7,1309
1303,11,1313
1304,1,1302
1304,5,1307
1304,9,1311
1304,13,1315
1305,4,1306
1305,8,1310
1305,12,1314
1306,2,1303
1306,6,1308
1306,10,1312
1307,3,1304
1307,7,1309
1307,11,1313
1308,2,1303
1308,6,1307
1308,10,1312
1309,3,1304
1309,7,1308
1309,11,1313
1310,1,1302
1310,5,1306
1310,9,1311
1310,13,1315
1311,4,1305
1311,8,1309
1311,12,1314
1312,3,1304
1312,7,1308
1312,11,1313
1313,2,1303
1313,6,1307
1313,10,1311
1314,4,1305
1314,8,1309
1314,12,1313
1315,1,1302
1315,5,1306
1315,9,1310
1315,13,1314
1402,1,1403
1402,5,1406
1403,4,1405
1403,8,1409
1404,1,1402
1404,5,1406
1405,4,1404
1405,8,1409
1406,2,1403
1406,6,1407
1407,3,1410
1407,7,1408
1408,2,1403
1408,6,1406
1409,3,1410
1409,7,1407
1410,1,1402
1410,5,1406
1502,3,1506
1503,2,1504
1504,1,1502
1504,5,1508
1506,2,1503
1507,3,1504
1508,2,1503
1602,2,1604
1603,3,1605
1604,2,1603
1605,3,1604
1606,1,1602
1606,5,1607
1607,4,1605
1702,1,1703
1702,5,1707
1702,9,1711
1703,4,1706
1703,8,1710
1704,2,1703
1704,6,1708
1704,10,1712
