subfield_id,topic_seq,topic_id
1100,3,10367
1100,7,11862
1100,11,12033
1100,15,13011
1100,18,14405
1102,4,14499
1102,8,12436
1103,1,10152
1103,5,13294
1104,4,12319
1105,1,10439
1105,5,12596
1105,9,14399
1105,13,12132
1105,16,13269
1105,20,13506
1105,24,12001
1105,28,11528
1106,3,12048
1106,7,14272
1106,11,12181
1106,15,10411
1106,18,12468
1106,22,12385
1106,26,13670
1106,30,12114
1107,2,14050
1107,6,13668
1109,2,11386
1109,6,11641
1109,10,12043
1109,14,12968
1110,4,12665
1110,8,12346
1110,12,11229
1110,17,12618
1110,21,10473
1110,25,12605
1110,29,12571
1110,34,11771
1110,38,11578
1110,42,10875
1110,46,12834
1110,51,11613
1110,55,10451
1110,59,11546
1110,63,11750
1110,65,14398
1110,69,11179
1110,73,13422
1110,77,12344
1110,80,12475
1110,84,13238
1110,88,12660
1111,1,14054
1111,5,11789
1111,9,10889
1200,4,12680
1202,3,14451
1202,7,13863
1202,11,12909
1202,15,14312
1202,18,14386
1202,22,12382
1202,26,12990
1202,30,13006
1202,33,13766
1202,37,13590
1202,41,12739
1203,2,13156
1203,6,13606
1203,10,10021
1203,14,13260
1203,19,10034
1204,3,13198
1204,7,13068
1204,11,13621
1204,15,14197
1204,18,13409
1205,2,14469
1206,4,12981
1207,1,12471
1207,5,14475
1207,9,14131
1207,13,14266
1207,16,10778
1208,3,13466
1208,7,11794
1208,11,12184
1208,15,13145
1208,18,13667
1208,22,14172
1208,26,14149
1208,30,13329
1208,33,12130
1208,37,13486
1208,41,12461
1208,45,13837
1208,48,14193
1208,52,13733
1209,2,13515
1209,6,11462
1210,4,10941
1211,1,14092
1211,5,12623
1211,9,12517
1211,13,12957
1211,16,13087
1211,20,13908
1211,24,12511
1211,28,14314
1211,35,12308
1211,39,13931
1211,43,13277
1211,47,13144
1212,4,13178
1212,8,14063
1212,12,14426
1213,1,13133
1213,5,12390
1213,9,13216
1213,13,12632
1213,16,14322
1303,3,11844
1303,7,13711
1304,1,12859
1304,5,10540
1305,4,10900
1305,8,11340
1306,2,13350
1306,6,10433
1306,10,10183
1307,3,11650
1307,7,11150
1307,11,11399
1307,15,11131
1308,2,11027
1310,1,12499
1310,5,12824
1311,4,11974
1311,8,11214
1311,12,12232
1311,17,13354
1311,21,11171
1311,25,10702
1311,29,10594
1311,34,12447
1311,38,11353
1312,3,10887
1312,7,11561
1312,11,11765
1312,15,11385
1312,18,12688
1312,22,12360
1312,26,12820
1312,30,10066
1312,33,10207
1312,37,10404
1312,41,12610
1312,45,11879
1312,48,11848
1312,52,11533
1312,56,10885
1312,60,11956
1312,66,10724
1312,70,12441
1312,74,12140
1312,78,10303
1312,83,11919
1312,87,10952
1312,91,10911
1312,95,12254
1312,96,11335
1312,100,12867
1312,104,12756
1312,108,12835
1312,113,10521
1312,117,12412
1312,121,11332
1312,125,12030
1312,128,11178
1312,132,12534
1313,2,10147
1314,4,11505
1315,1,10857
1402,1,13509
1402,5,14419
1402,9,14030
1402,13,12509
1402,16,10517
1402,20,12378
1404,1,10328
1404,5,11995
1404,9,12734
1404,13,11734
1404,16,10703
1405,4,12885
1405,8,12671
1405,12,11729
1406,2,10145
1406,6,11114
1406,10,14477
1406,14,12392
1407,3,13642
1407,7,13603
1407,11,13431
1407,15,13235
1407,18,13812
1407,22,12918
1407,26,14264
1407,30,10006
1408,2,10910
1408,6,10539
1408,10,14356
1408,14,12121
1408,19,13810
1408,23,11849
1408,27,13706
1408,31,12779
1408,32,13151
1408,36,13616
1408,40,13137
1410,1,13088
1503,2,10480
1504,1,13840
1507,3,10962
1508,2,11821
1602,2,10180
1602,6,11630
1604,2,10464
1604,6,10807
1604,10,13217
1605,3,10701
1605,7,13115
1605,11,11989
1605,15,10835
1605,18,11748
1605,22,13124
1605,26,11440
1605,30,10274
1605,33,10405
1605,37,11790
1605,41,12228
1605,45,12562
1605,48,13859
1605,52,13489
1605,56,12852
1605,60,12189
1606,1,13297
1606,5,11129
1607,4,12748
1607,8,10519
1607,12,14068
1702,1,12072
1702,5,11689
1702,9,13734
1702,13,10906
1702,16,13083
1702,20,10951
1702,24,10637
1702,28,13559
1702,35,13935
1702,39,11652
1702,43,11303
1702,47,11598
1702,50,11276
1702,54,10028
1702,58,13567
1702,62,10126
1702,64,10020
1702,68,10215
1702,72,10181
1702,76,12676
1703,4,12469
1703,8,13182
1703,12,12541
1703,17,13286
1703,21,11063
1704,2,10481
1705,3,12216
1705,7,10796
1705,11,11896
1705,15,12288
1705,18,10249
1705,22,10575
1705,26,12127
1705,30,13983
1705,33,10829
1705,37,13836
1705,41,11158
1706,1,10533
1706,5,12797
1706,9,13541
1707,4,14319
1707,8,11605
1707,12,12357
1707,17,10775
1707,21,10901
1707,25,11165
1707,29,12549
1707,34,10331
1708,1,12326
1708,5,14067
1709,4,14074
1709,8,10648
1710,2,14025
1710,6,14484
1710,10,10101
1710,14,10538
1710,19,12338
1710,23,13999
1710,27,13274
1710,31,12395
1710,32,14387
1710,36,12863
1710,40,10286
1710,44,13964
1710,49,13386
1710,53,14307
1710,57,14215
1710,61,13081
1710,67,14174
1710,71,13932
1710,75,12016
1711,3,10931
1711,7,11241
1712,2,13197
1802,3,14280
1802,7,12766
1802,11,13758
1802,15,10068
1803,2,12368
1803,6,10357
1803,10,13612
1803,14,13609
1803,19,12101
1803,23,12177
1803,27,11413
1803,31,13587
1803,32,13886
1804,3,13309
1804,7,14406
1902,3,11459
1902,7,13811
1902,11,11234
1904,3,13785
1906,4,13067
1907,1,11211
1907,5,14427
1908,4,11757
1908,8,12424
1910,3,11405
1910,7,11698
1911,2,12142
1911,6,10109
2000,2,13473
2000,6,14112
2000,10,13498
2002,1,14261
2002,5,11257
2002,9,13370
2002,13,12708
2002,16,14094
2002,20,13442
2002,24,10438
2002,28,14404
2002,35,10391
2002,39,14491
2002,43,14213
2002,47,13949
2002,50,11770
2002,54,11711
2002,58,10393
2002,62,14334
2002,64,10987
2002,68,11014
2002,72,13407
2002,76,13399
2003,4,10127
2003,8,11817
2003,12,13146
2105,1,13331
2105,5,11784
2105,9,13870
2105,13,14481
2105,16,10024
2105,20,10905
2200,1,14446
2202,2,11008
2202,6,12719
2202,10,11170
2202,14,12449
2202,19,11325
2202,23,12158
2202,27,10597
2202,31,11946
2202,32,12007
2202,36,10191
2202,40,10801
2202,44,10680
2203,3,13990
2203,7,10663
2203,11,12197
2204,2,10822
2204,6,10784
2204,10,13552
2204,14,10088
2204,19,11018
2204,23,11667
2204,27,11802
2204,31,13418
2204,32,11808
2204,36,12285
2204,40,12740
2204,44,13232
2204,49,11739
2204,53,12078
2204,57,11196
2204,61,12466
2204,67,12706
2204,71,10338
2205,3,13808
2205,7,12865
2205,11,10713
2205,15,10033
2205,18,14146
2205,22,12435
2205,26,11874
2205,30,10160
2205,33,12293
2205,37,12940
2205,41,13596
2206,1,11233
2206,5,13049
2206,9,10615
