sustainable_development_goal_id,sustainable_development_goal,taxonomy_url
4,Quality education,https://metadata.un.org/sdg/4
8,Decent work and economic growth,https://metadata.un.org/sdg/8
12,Responsible consumption and production,https://metadata.un.org/sdg/12
17,Partnerships for the goals,https://metadata.un.org/sdg/17
1,No poverty,https://metadata.un.org/sdg/1
5,Gender equality,https://metadata.un.org/sdg/5
9,"Industry, innovation and infrastructure",https://metadata.un.org/sdg/9
13,Climate action,https://metadata.un.org/sdg/13
16,"Peace, justice, and strong institutions",https://metadata.un.org/sdg/16
3,Good health and well-being,https://metadata.un.org/sdg/3
7,Affordable and clean energy,https://metadata.un.org/sdg/7
11,Sustainable cities and communities,https://metadata.un.org/sdg/11
15,Life on land,https://metadata.un.org/sdg/15
2,Zero hunger,https://metadata.un.org/sdg/2
6,Clean water and sanitation,https://metadata.un.org/sdg/6
10,Reduced inequalities,https://metadata.un.org/sdg/10
14,Life below water,https://metadata.un.org/sdg/14
