topic_id,sibling_topic_seq,sibling_topic_id
12545,13,12884
11281,3,10096
12677,61,13820
11922,4,11064
13320,97,10314
14337,119,13401
14153,47,10959
10125,104,10590
12997,33,13510
12616,69,11806
12570,53,13160
10558,17,11451
13187,56,10885
10246,17,10249
13753,29,14273
11607,91,13856
10382,14,11683
13937,4,12763
11308,42,10432
11101,22,14075
11023,3,11160
12358,56,11878
13956,3,13784
11960,6,13080
13364,38,13879
11062,67,10938
12374,28,13364
10628,44,11971
12474,113,13207
14423,10,11170
13823,2,13428
10623,10,13292
12088,87,10446
13529,11,11729
14276,47,13183
13144,28,14314
11851,5,10472
12720,148,12375
14290,19,11779
13560,81,10609
13168,23,10174
13655,24,10289
11264,7,10084
11482,91,10911
14297,4,11298
13000,18,13556
12371,30,12898
11859,62,13162
14077,60,13631
13031,20,12152
11853,9,11449
12253,55,10451
10261,22,10134
14278,16,13087
12045,16,13015
13454,125,11308
14188,107,13726
10650,24,12403
12034,39,10286
13534,150,10652
13783,169,12892
11439,32,10531
12251,56,10092
10321,37,12302
13900,100,13823
13672,50,13245
13466,21,14172
11445,14,10251
12885,2,12594
13908,12,10297
11663,134,10929
11644,28,13673
11383,37,14214
14084,19,11696
11059,33,13894
14212,33,12402
10637,16,13083
13947,91,13059
14044,1,14418
14008,62,10991
10024,20,11877
10821,3,11021
12501,54,14077
10559,97,11248
11852,1,13185
10314,26,13698
13348,109,14283
11298,42,13013
10589,84,13273
11855,57,10189
12360,97,13157
13348,120,10008
12070,105,12616
11470,13,12305
13346,9,13498
13170,3,13336
12510,19,10424
12538,87,12906
12684,33,13272
11224,9,11222
11676,99,13349
11896,13,11596
13384,24,10415
12578,68,12154
12109,24,14504
13227,48,14294
11806,76,11676
13460,2,13492
12443,194,10153
12694,5,10258
13270,29,14496
10241,22,12520
13914,1,12194
13376,164,14490
12525,199,12953
11414,13,10739
11276,32,14175
13834,14,11730
13120,50,13655
11010,5,11689
13395,41,12070
11877,20,10905
12411,31,10381
10742,4,13693
13519,8,12585
11043,43,14129
14227,110,14161
14281,71,13900
13632,194,10153
12829,37,11579
11845,49,10407
12668,61,11889
13503,137,13119
11102,76,11429
12518,26,10760
12676,34,12026
10426,16,13118
14043,71,12656
13231,16,13750
13873,76,12601
12820,68,11237
11753,7,10029
12948,84,13841
14176,220,11647
13338,5,12674
10308,23,13313
14476,73,14473
12425,37,13020
14026,5,13408
12925,44,13929
12204,130,12556
10593,99,12867
11422,17,10227
13219,15,10448
11197,36,13043
11771,80,10869
10326,63,11607
14051,32,13389
11835,87,13395
12206,12,12804
13236,20,12152
10898,12,14452
11806,45,13929
11162,22,11907
12476,21,12426
14255,4,12148
14062,110,12730
10474,11,10310
13576,66,13035
12432,143,11981
12428,34,13384
13337,56,13787
12394,17,10605
13300,66,13035
10273,18,10249
13521,46,14043
14201,16,10747
12769,59,12108
12282,7,13451
11115,37,12940
13437,9,13188
13054,19,13468
13824,167,11239
14476,35,11645
11533,4,12763
14440,179,13613
11248,96,10187
12950,68,12474
10674,9,13701
12638,11,12280
11384,203,13622
13629,13,10906
11268,63,12771
14337,22,13783
10407,61,11889
11474,186,14142
14167,169,12892
12426,90,13775
12058,19,13934
12350,5,11284
13676,62,10679
14460,46,13144
10245,2,11224
10772,9,10317
12441,34,11845
11937,55,13874
13994,50,14140
13176,27,10983
12267,9,11521
10013,49,10721
11323,13,12788
14201,59,14073
13348,16,13987
10796,6,11478
10724,41,12610
10836,107,12835
13135,74,12501
12728,13,13173
10653,7,13382
13885,2,13050
12677,10,13552
13078,125,11838
13582,126,11838
13833,24,12973
12231,46,14043
10363,74,10847
11134,13,11730
14227,105,12616
13617,53,13707
11561,28,13326
14051,27,13042
11187,35,13748
14205,128,14136
12215,102,13187
10923,1,13493
11003,9,11556
10615,22,12540
12812,2,11210
12403,16,11745
12708,55,14501
10624,58,10369
11197,107,12970
11531,5,14166
10751,17,13354
13634,170,13311
12675,35,13384
10675,4,12015
11790,60,12893
11339,55,13012
14120,1,10419
11515,8,12215
10682,38,11273
10561,108,13056
12305,67,13688
14215,71,11813
11851,37,10559
14473,27,11743
11974,4,11764
13584,44,14096
14257,26,11444
11014,52,14230
10658,21,12935
10230,13,10332
10457,26,13903
13930,64,13412
13303,13,13907
10243,12,11716
11154,10,11369
13576,22,13783
13476,56,14032
10700,2,10705
10603,27,12495
11944,60,12903
12109,118,13534
12613,2,13889
14508,105,12500
12118,10,10514
13835,172,14476
13575,34,13484
14319,25,10052
12747,1,13328
13988,40,13995
13685,18,10700
10060,4,12279
11402,5,12622
12143,106,14111
13136,140,14053
10610,5,11966
13073,4,12432
12495,55,12510
14288,113,14000
14014,11,12735
11236,15,11394
11912,6,14187
10926,44,12237
13183,39,10409
13377,5,14296
11618,25,10760
14423,33,12019
10312,1,10327
10924,12,10882
11802,40,13267
13103,133,10216
12700,74,12501
11845,30,10066
12645,117,13000
10045,6,12791
10967,29,14454
11653,13,13744
12443,36,13043
13098,20,13376
10659,29,10341
12074,33,11608
11727,11,12541
10191,6,12719
13944,33,12684
11277,37,13104
12882,37,12521
13918,59,13436
12077,24,10666
14379,1,12323
14260,26,11413
13844,57,11299
11705,11,10182
12983,15,10969
10824,16,10057
13963,7,12671
11242,41,12875
12591,136,14391
13078,102,14288
13426,120,11736
13143,9,13419
14066,6,14467
11841,92,11072
10066,124,12030
12156,67,13029
13823,222,13747
12472,16,13015
13965,29,11254
11256,177,10070
10228,27,11338
13895,82,12998
13867,4,11693
13484,32,12777
11895,180,13491
10598,23,12082
14207,105,12500
14004,28,13303
10259,47,11474
11838,116,10349
14007,93,14205
12150,5,10442
11987,2,10668
10953,66,13029
12022,21,12152
10232,48,13183
11341,42,11646
11692,6,14507
14334,53,11059
11938,10,11912
14350,33,14422
11384,186,14142
11343,66,10913
13627,104,12500
12609,175,14281
12969,108,13605
13452,4,11991
10555,6,14296
14335,21,11130
10446,92,14080
13590,5,13333
12011,13,12783
13412,130,12556
12028,2,13496
11203,173,14389
13576,134,11859
13903,33,13709
10497,33,10207
12089,46,12053
13982,3,13764
10053,76,13196
13212,207,13994
10124,22,10728
10762,35,10214
13994,20,13376
13933,32,13920
12309,49,14158
11005,28,12495
14059,40,12949
12257,87,10268
