work_id,affiliation_seq,institution_seq,institution_id
4388633007,6,2,4210131615
2109389549,3,1,4210137744
3177829721,1,1,4210107108
2067653670,1,1,100072489
2565139928,1,1,169877490
2027148274,1,2,98704320
4385441742,1,1,170013655
2118071950,1,2,83041322
2621268925,3,1,52010207
1980379135,1,1,1316535847
4390344534,1,1,93251985
2993921975,1,1,181631907
2079797861,2,1,4210142031
4360930888,3,1,1313323035
4387653981,2,1,205237279
4238874900,158,2,7899908
2106693534,3,1,115752224
4248335239,1,2,68947357
3039454348,2,1,4210092736
4323653305,1,1,153267046
1512807191,3,1,4210150070
2560773129,3,1,58048189
4390340189,2,1,250383648
2993204591,2,1,123387679
4362635214,1,2,52158045
4388195757,2,1,4210149463
2749172546,1,1,2801997478
4321018351,4,1,131651094
4391784994,1,1,1299303238
4239321328,2,1,35440088
2889942221,3,1,121847817
2796297140,2,1,90871651
2043935313,1,1,137902535
2907516615,1,1,39804081
4389861075,3,1,45129253
866556,1,1,4210086012
2917405761,1,1,4210138877
2883266240,1,1,245364917
2085269729,1,1,1334819555
2156769709,2,1,145311948
4401218765,1,1,79619799
2615202908,1,1,4210139762
4323286542,1,1,161593684
2945934429,1,1,86519309
3151202240,1,1,2800865746
3203375343,1,1,20089843
2013691372,2,1,39387349
1964344383,2,1,4210157264
2435798690,1,1,4210114530
2086104663,2,1,165779595
2754887937,1,1,88273585
2073384032,1,1,44461941
2303987587,1,1,183935753
2157141491,3,1,39804081
4360931304,7,1,4210153401
2041157929,4,1,161318765
2013503613,1,1,41116869
3042251444,3,1,2800006345
2161253764,1,1,4210161852
2994792085,4,1,201448701
1508140212,2,2,47720641
2994153632,2,1,2801900665
2973853912,1,2,4210086732
2034830515,2,1,6406202
2158109418,2,1,92415913
2792419385,3,1,4210099595
2278560686,1,1,193181351
2119041432,1,1,4210155114
4296226100,1,1,4210097553
2340713870,1,1,157725225
2729718256,1,1,102502594
2989781468,2,2,45084792
4386544157,3,1,142974352
2015373503,2,1,2801227569
4200279374,2,1,99065089
3162077738,1,1,33434090
2041617984,26,1,7597260
2146357325,1,1,98251732
3112145905,1,1,89652312
887502303,2,2,4210118560
4389409435,2,1,51556381
2000937266,1,1,137996928
3021288641,5,1,4210104958
2136205516,2,1,112754052
4233561843,1,1,123534392
2095305043,1,1,92869138
2125862839,2,1,26347476
4213429928,1,1,7863295
4231290064,2,2,33213144
4394325018,3,1,76130692
4282962895,2,1,162051807
2129424686,1,1,202697423
4235453149,1,1,55302922
4310099091,3,1,97188460
2045956353,1,1,138006243
2108693021,3,1,87445476
2962972601,7,1,61623833
2538881845,1,1,891191580
4380881336,2,1,899646
1972669938,1,1,4210148371
1630451673,1,1,43980791
2950989885,3,1,1294671590
2039225232,1,1,2801926401
4367842155,1,1,102461120
4313297671,1,1,121596126
3087723104,7,1,2800006345
3168497714,1,1,91819753
1967318236,2,1,174025329
3015542244,2,1,11855966
2939418306,13,1,172427033
2952218046,1,1,2898391981
4293010944,6,1,200358475
2914423995,1,1,4210113915
2052415122,2,1,4210140750
2908343210,3,1,151201029
3124955648,2,1,34352273
2500040124,1,1,162148367
287028346,1,1,98947143
2221079460,1,1,177877127
2588621053,1,1,4210089335
2913483507,6,1,2803066834
3123168302,1,1,196137440
2079363209,3,1,181547552
3206084531,2,1,161321875
4382601040,1,1,149851306
4213017791,1,1,25041050
2080452080,2,1,1299303238
2790285747,1,1,1516879
2789165660,1,1,79576946
2031754056,3,1,113940042
4388590858,4,1,80626142
2529607757,5,1,173304897
2018937148,1,1,52158045
2339716966,6,3,4210144005
1987725323,1,2,3020100970
2460203074,1,1,4210162904
2084553452,1,1,1294671590
4250559127,1,2,58956616
2971449941,2,1,4210115484
2171452107,1,1,4210142205
2071043968,3,2,2802164966
3203366990,9,1,94624287
1979950299,3,1,4210115295
4385408327,1,1,83648350
2082484607,1,1,2800664608
2559223962,2,1,4210137674
2128690955,1,2,160993911
2946218238,4,2,4210166946
2076692337,1,1,265217849
3193085905,5,1,17877952
4281694395,2,1,4210089486
3181826905,6,3,4210097159
4366823090,1,1,55732556
1998008845,1,1,197524780
2005900536,1,1,1325886976
2169249465,2,1,181565077
3086453280,2,1,110525433
2771044452,1,1,4210126306
3192025081,2,1,114546181
2963658079,4,1,4210121101
1817697566,5,2,55769427
2051917818,3,1,25112270
3162259071,19,1,134359838
4366440262,1,1,161350542
3164787812,1,1,68106152
2912951327,4,1,2801395776
3003760832,3,1,4210165038
4233926940,2,1,1311060795
2794146954,4,1,4210128618
2181399582,3,1,80850581
2068896919,5,1,84218800
3093981735,1,1,95457486
4200584507,404,1,189462010
2399376686,3,1,4210161746
2335013842,5,1,96852419
2007255572,2,1,117023288
2895975440,6,1,1282927834
4296696842,1,1,4210119109
2908622687,4,1,224549313
3048380939,2,1,1516879
1460858611,2,1,4210141662
2068298258,1,1,100005738
4396907418,3,1,4210093431
2326510909,3,1,152518017
4388020489,2,1,98704320
4281662954,1,1,4210161599
4246483855,6,2,45129253
2738466971,4,2,174216632
4295073730,3,2,200166805
2474119733,3,1,172675005
2066384652,1,1,117331123
4231019937,1,1,2801680271
3189723768,7,1,4210098460
4281941030,6,1,58200834
56177662,1,1,158708052
2898016409,3,1,163205636
4236639733,1,1,183764125
2603827114,3,1,87445476
2074169073,3,1,1334536514
2411546559,2,2,136199984
2976142964,3,1,4210133813
2954985758,1,1,55892964
2347530540,1,1,4210157155
2119225418,1,2,63634437
4385951978,3,2,4210087691
2610606479,1,1,4210152067
4382141546,4,1,860813019
3207849623,9,1,4210087626
2388179953,2,1,24185976
3008975701,7,1,40347166
2123947955,2,1,78577930
2065773370,2,2,2799337515
3044312527,1,1,153297377
4390940460,1,1,94518387
2398317819,1,1,166825849
2317969389,1,1,861488341
4389160285,5,1,2801357902
2505500595,3,1,2800443534
2889367135,1,1,62921916
4386167663,2,1,192454743
1992187384,6,1,32881790
2948859229,1,2,71999127
2791594790,4,1,4210092303
4391561768,9,1,178777954
2999632148,1,1,183067930
4392371234,6,1,119664326
2011326720,3,1,192805215
2614740839,8,2,165143802
4200330780,1,2,4210129127
1514922917,1,1,36258959
4388596060,3,1,64767286
1983963961,2,1,36234482
2073219448,1,1,114395901
2785780384,1,2,45084792
3010134845,1,1,21449261
1996504346,3,1,4210154218
4393700458,1,1,4210117220
2162527663,1,1,1283280774
4237058720,1,1,91732220
2083151874,1,1,189712700
2982335261,2,1,151746483
2175188540,1,1,22046295
2080539621,2,1,135598925
4318614018,1,1,200650556
4253083327,1,1,145286018
2400673165,5,1,106745318
4313345920,1,1,271888150
3162213022,1,1,41455075
2794294764,2,1,205237279
4385631174,1,1,4210119674
4394965867,1,1,73613424
4236090614,1,1,95457486
2142134352,6,1,52357470
3187381248,1,1,151201029
2134907006,10,1,3123035732
3138941242,2,1,4210121710
3115538169,1,2,205783295
2196345157,4,1,122140584
4280546236,1,2,4210105091
2079047679,2,1,4210140020
4293078874,1,2,2802603000
2778480051,4,1,162868743
3113228921,3,1,145608581
2597559767,1,1,4610292
4367181451,3,1,184598052
4312288825,2,1,4210143900
2581212489,3,1,5681781
4393733076,1,1,24359323
2135023525,4,3,4210166506
2148320855,3,1,82495205
2480153031,3,1,200475212
1924684965,1,1,159308992
2724519630,2,1,4210133369
2807784080,2,1,24943067
2783294828,1,1,52357470
4246429771,4,1,4210155236
2149420433,1,1,26092322
2357679106,1,1,183519381
2081043987,3,1,142108993
1997754224,1,1,79741316
230133518,1,1,59361560
3137730786,4,1,2799391451
2507771226,2,1,4210159266
2988484081,3,1,113018520
2094667944,1,1,1292875679
2387358348,1,2,4210155611
1759021015,1,3,65806277
2998040624,4,1,133731052
4385347555,1,1,4210157038
4205271724,2,1,58918642
3099960792,2,1,2801397489
2095260320,2,1,24541011
2088892406,1,2,223822909
2319917590,21,1,102197404
2128162479,18,1,141472210
1982486856,1,1,2799342194
2947361553,1,1,165690674
2794562393,2,1,8961855
4388691868,1,2,4210138474
4319988224,1,1,4210124786
2744041560,17,2,2802654988
1550906107,2,1,67581229
1984931078,2,1,201799495
2014333453,4,1,119454577
2765763816,8,2,2799503643
2765754857,1,1,1330342723
2316318429,2,1,146516829
4241879369,1,1,76130692
2129675192,2,1,1332737386
2900856997,2,1,4210157616
2141093407,3,3,4210088138
3039495802,2,1,98358874
2318834332,2,2,134560555
1992283755,2,1,4210150093
4249478716,2,1,185443292
2895460709,1,1,60134161
4387832295,6,2,4843557
2270237290,3,1,150729083
4317600119,2,1,4210101891
2986003101,1,1,16038530
1985909942,1,2,40120149
2338591743,2,1,72816309
4235198771,1,1,3018851911
3196437935,2,1,26415053
2056881946,4,1,95793202
373228879,1,1,90843659
2060394452,1,1,21028721
3135028850,1,1,198105771
2079171899,2,1,43406934
2048262946,2,1,170201317
3132296545,5,2,87445476
2166257032,1,1,9341345
4391605070,7,1,32971472
2796172563,1,1,187531555
2899791716,6,1,235686326
2472687816,2,1,106165777
3125422625,1,1,172675005
2948354081,1,1,3121799822
1985791611,1,1,4210110770
2160657553,1,1,126231945
4386525056,2,1,197097402
2054033522,3,1,4210103341
2606434598,3,1,5023651
3102414736,1,3,4210109259
4205142460,4,2,1336096307
2899559047,1,1,194604659
2307136559,2,1,110200422
2111159494,7,1,157773358
2083298010,1,1,16391192
2134123425,1,1,4210100047
4393908213,2,2,4210090658
4393946306,2,1,4210138501
4390987401,3,1,4210096899
2915231456,3,1,180670191
4385948277,2,2,4210146410
2628743015,1,1,150744194
2099499053,2,1,124055696
2312627623,3,1,150744194
2387415480,1,1,4210138370
4311936113,1,1,4210120396
2110369783,1,1,130769515
3214705636,1,1,2801993434
2101323553,2,1,4210131908
2042236538,2,1,74788687
4390048779,1,1,132053463
2599069090,5,1,126477371
2381395093,1,1,4210116144
2035196958,2,1,922474255
2047176599,1,1,4210090372
3201466503,6,1,4210155103
1971023865,1,1,74801974
4400371235,5,1,2799803557
2902091291,1,1,43545212
4391025387,1,2,4210146956
4396502047,1,1,1284541357
2753916264,15,1,90610280
4387975773,2,2,4389425402
2955827056,27,2,4210115082
1970252845,2,1,9617848
2613265080,4,1,174878644
37253957,1,1,4210143013
4213416962,4,1,9927081
4398351920,3,1,121934306
2404558235,1,1,4210094678
2979186792,1,1,50180762
2119882812,1,1,121820613
2091812031,1,2,4210156930
4376630747,1,1,28109999
2565875091,7,1,2802229908
4323304679,2,1,108468826
1902210162,2,1,3018965473
2023038240,3,1,98285908
2883608033,2,1,25169866
2341104175,1,1,4210125992
2172134323,1,1,4210096703
3024431576,2,2,205612303
1489892799,1,1,27825529
1993387033,1,1,9340077
2796642622,1,1,126744593
2889945802,2,1,202697423
4234708092,2,1,50519452
4246967022,2,2,4210161852
2032183129,3,1,34250744
2096954071,1,1,61152923
1891357844,2,1,191240316
2004474580,2,1,153374732
1973601610,3,1,33213144
2075603902,3,1,135310074
2896099818,1,1,121748325
2410722456,1,1,177933477
2413978395,1,1,172917736
92093426,2,1,1299303238
2354478354,1,2,4210101984
1807447558,1,1,4210095188
2007471153,1,1,1313323035
2031939838,2,1,125602781
2056343875,1,1,200777214
2157803007,2,1,168807105
4281393261,3,1,124055696
1984218127,2,1,114090438
1515657705,1,1,891521709
2915515498,1,1,5023651
2955997930,2,1,187279525
4200314146,21,1,52357470
3096992328,1,1,163340411
1242177662,8,1,25974101
1973548980,2,1,4210115854
2754173927,5,1,4210095519
3202163850,1,1,25846049
2025469293,1,1,32389192
2055519123,3,1,133984924
3211033558,1,1,142899784
2089127645,7,1,139264467
2793950871,2,1,90090648
2015016716,4,1,4210134448
2074899172,1,1,205349734
2414577986,2,1,66514158
4380447408,2,1,3129555431
4312713538,2,1,9360294
4220896579,6,1,5023651
2788202983,5,1,4210113761
2586147017,1,1,45643870
2011704740,3,1,52357470
2067693753,1,1,113018520
4232403321,3,1,83328450
4395454315,1,1,165230279
3090638367,4,1,4210096910
656294212,1,1,142631665
3132015221,5,1,157773358
2240978721,2,2,4210119060
2014621178,2,1,32699454
2141201439,1,1,1292875679
4386466090,4,2,4210137582
1521705353,1,2,884043246
2001365763,1,1,155173764
4309884738,1,1,4210114319
4313318364,1,1,72600253
4400307140,3,2,97565354
2469938764,3,3,4210124388
2032959742,2,1,52357470
2109803593,1,1,194604659
1985767850,2,1,2800129641
4327621751,1,1,126527374
3041782366,3,1,196272386
