work_id,author_seq,affiliation_seq
4401665074,8,3
4389394595,8,1
2313837960,3,1
2522721443,8,8
2189672789,6,1
3103646447,6,2
2095728594,3,4
4292582099,3,3
207426417,1,1
2089221712,11,1
4389393721,6,6
2885166855,5,1
1521048365,26,4
2067929290,4,10
4205779086,4,4
4389262924,8,3
2073034009,1,1
2023674267,1,1
3021659354,2,4
2144951924,5,1
2735763226,2,1
3007934223,7,1
1988636149,1,1
2766801642,4,14
4293243123,7,5
4313332865,6,2
2766773329,4,1
3092405345,1,1
4280544031,8,2
2022659315,1,1
2779329085,1,1
4256289768,1,1
2951008605,1,1
3053927465,3,1
2150990363,4,1
1997432026,3,1
1984861758,8,6
4321382138,1,1
4401425161,1,1
2079697292,6,4
2115210730,359,1
2141235757,5,1
2804638144,2,1
2364287897,1,1
1980133505,1,1
4226292173,2,1
4395103112,1,1
2936970098,4,3
2979872623,9,9
2564540252,2,1
2097983385,1,1
3118238884,3,3
3160945070,1,1
3191815107,2,2
2391980647,1,1
2898644781,5,2
472361975,1,1
3014319524,5,6
2947381071,5,2
3154930633,3,1
2927886074,12,2
2988152057,3,1
2227360016,3,3
2112327306,6,1
2149691576,2,2
4245787878,559,284
2952431513,3,2
4226088912,2,1
2094177449,4,2
2086412578,15,4
3107525234,1,1
4317781477,5,2
4241892991,1,1
4396235432,3,3
3163089774,2,1
4392119438,5,3
3208395582,3,1
4394333481,16,32
4389691336,3,1
4237951880,24,7
2775860236,1,1
2332952929,7,1
4376130825,3,1
2553704739,4,1
2913506855,5,5
231495389,1,1
3007609126,3,2
2052811721,1,2
4319794021,126,60
2375962193,1,1
2993566829,1,1
4320888592,8,4
2472155059,5,3
2074356480,1,1
2060144150,8,6
2178055167,2,1
2727579069,1,1
3208938557,4,1
4383619681,3,3
2131658623,2048,164
2167675402,1,2
4224068961,5,3
2939333582,5,1
2328818107,2,2
4200258481,1,2
4385185832,9,5
2805957052,1,1
2048828337,4,2
4400882826,4,3
1530326013,2,2
1995608500,2,1
2894521227,4,2
2946607074,6,1
4399212347,417,69
3035744264,2,1
1988203339,6,1
4302342101,1,1
4224315168,4,1
765488387,1436,112
2004558712,2,1
2033908606,1,5
2159333293,3,1
4392984893,1,1
3155660028,5,2
1981972850,1,1
3190430505,2,2
2165731681,3,2
160506706,4,1
4382762974,2,1
2128160754,4,1
3015867205,3,2
2120055561,1,1
4399647003,14,1
1518654206,4,1
2928113207,3,1
2912763628,6,1
2045827862,2,1
2169347102,1,1
2809991248,5,3
2350243861,1,1
3161379382,5,1
2399734833,1,1
2034838951,4,1
2048786682,1,1
1507210886,1,1
2754261208,2,2
4388893508,7,8
2939482862,10,10
2801720268,2,1
4320504741,1,1
4384698290,7,1
2913052603,2,2
2382260962,1,1
4386020980,1,1
4366089448,8,6
1978886704,1,1
2981093812,2,2
1575149368,1,1
4233589355,7,2
2055984379,1,1
3153172698,1,1
2463159691,8,1
4307352638,26,1
4396845211,7,1
2151381151,1,1
3193668431,3,3
1979902532,2,1
3013727856,1,1
2742113360,1,1
4312610625,2,3
2012372842,9,4
4398139910,4,2
2078229949,3,1
1995633947,1,1
2401891000,1,1
4255021040,25,6
4385305039,254,5
2903125521,5,3
2000508521,1,1
4234576593,1,2
4389737094,6,6
2913447610,12,5
4210746485,3,1
3035213021,6,6
1975313581,7,1
4251661503,58,4
4327591053,6,1
3108939502,3,2
2016024747,1,1
2021631460,5,1
3089961413,2,2
2040200766,3,1
2074638964,8,4
2039156841,1,1
2545550103,6,6
2991810017,3,3
4388589385,9,1
4249582719,2,2
2887893881,6,4
1937095798,3,3
2093009749,1,1
4393926499,3,5
2308630877,1,1
1710458974,67,1
3198802184,1167,86
2093972876,4,1
2947902774,5,4
2942056860,1,1
2149933439,1,1
2099813741,36,7
2358003575,1,1
2610392884,1,1
2020425680,1,1
3014441867,7,2
1996158337,2,2
4309428008,16,8
4312881304,3,3
4392948908,2,1
1977275485,5,1
3033603273,4,1
3084137589,3,1
4293254861,3,3
2408786861,2,2
54563526,5,2
2424485677,1,1
2490230291,5,2
4289636394,1,1
4251205427,2,1
4297423816,4,2
4288050865,18,1
2952132629,2,1
2992532747,20,8
1985599943,3,6
4376127442,1,2
2115676620,2551,3
2158420658,3,2
2791790309,5,1
