work_id,concept_seq,concept_id,score
2333300894,4,178790620,0.3496325
2752797339,5,191897082,0.20565897
1983602007,11,143425029,0.4114374
1499511262,5,63540848,0.461728
4250044444,9,2780074459,0.41340315
2026472364,4,2778106681,0.7355635
1964802841,4,2779916870,0.55921197
2588262470,5,70410870,0.32649183
4382562416,13,119599485,0.34078163
232458741,3,147176958,0.3647166
2037655795,2,177515723,0.6886697
2609050199,3,95457728,0.408583
2794201426,7,142724271,0.269347
2997978822,6,3018378255,0.44981626
2807552484,1,121040770,0.81463706
2546950827,8,41008148,0.4527486
3146579156,4,2779760435,0.6253648
2029191043,6,148898269,0.4430304
2284179673,6,118552586,0.43506408
2321663015,6,151730666,0.0
2167225171,3,19417346,0.5666336
4386268349,11,15744967,0.0
1490874537,11,47446073,0.43786505
1986790643,5,185592680,0.6517578
2269325252,7,162324750,0.16070467
3203459868,12,2780931571,0.46737996
2091729862,13,36289849,0.0
2030973132,9,26873012,0.32055807
2197126303,18,2780400711,0.0
2062810072,10,24890656,0.39772594
3081232920,10,144024400,0.27690032
2589918072,4,6557445,0.3719579
4242402234,3,145420912,0.61393255
1976553553,10,121332964,0.2140095
2128925808,10,170493617,0.21988866
2388267301,5,127413603,0.41513294
632828290,1,41008148,0.29610854
2026620105,9,49204034,0.35910052
4394204906,2,29694066,0.63298696
2417948618,4,22467394,0.5364514
2808616224,7,107872376,0.5292251
79275940,7,102519508,0.4444727
2952213482,1,149550507,0.75412667
4386372769,16,2775924081,0.0
2794233839,17,134306372,0.1629461
2771739439,3,2776787076,0.44479698
4313558205,15,74916050,0.12014714
612236334,4,175605778,0.39897963
2037184875,7,71924100,0.0
2963325572,1,42704618,0.74554515
2314080985,6,98045186,0.4201983
2749682604,10,33923547,0.17743081
1993025123,2,181500209,0.84546256
2953749874,6,205649164,0.1886509
4200631955,3,121332964,0.32360992
4386499639,9,74650414,0.37989295
1569542030,11,153349607,0.1852003
2979744080,1,41008148,0.4122041
4390546467,13,207886595,0.41805086
1735212756,1,2780598303,0.6451841
2768063271,1,89395315,0.84487057
2415636942,3,185592680,0.4579029
2291127168,3,17409809,0.10480282
632968413,8,166957645,0.078063935
2088860280,11,104293457,0.18348858
3005425014,2,150846664,0.59192574
3197675602,4,2984408293,0.4285984
2157678665,2,74909509,0.47814167
4319655800,5,512399662,0.3937012
2077288373,15,162324750,0.10597223
2350821400,14,86803240,0.0
2127911850,18,55493867,0.0
2104150388,9,147977885,0.4135063
1972752790,3,134018914,0.88101816
2953356330,9,2781197716,0.44703946
326749904,4,2780560099,0.6077916
2165584891,3,132215390,0.73894286
2263245908,13,124952713,0.21725416
226841227,8,76177295,0.43673325
2035396381,6,126322002,0.18210953
2259025953,6,169760540,0.28610712
2354409966,18,62520636,0.0
4306938070,28,199360897,0.0
2040654615,6,3018906752,0.42263588
2127353109,7,194969405,0.48989862
2164350953,7,2780385302,0.5331784
2003691176,5,86803240,0.5357356
2000833492,9,86803240,0.46123955
2119653507,17,159985019,0.0
4293245575,15,11413529,0.0
1593227638,12,71240020,0.08686513
1551759428,6,2992107181,0.46247637
4290730690,8,2781170535,0.5446351
2258815999,8,153294291,0.17852008
48283608,12,54101563,0.18820241
4312889829,1,2778137410,0.6262322
2318873675,5,41625074,0.6088648
2888559443,1,2776505523,0.6946458
2888461866,9,41008148,0.3412495
1506355651,5,18762648,0.45657873
2971756454,2,156957248,0.65228057
4324057363,4,2777351106,0.50352186
4288082630,5,2780737616,0.4630888
2810991610,9,110121322,0.48119384
1513161841,17,121332964,0.0
2945470721,1,29456083,0.5878814
2972440179,4,71924100,0.26593077
1983311285,5,154945302,0.38846782
3156200020,1,33923547,0.36638296
2589148828,2,205649164,0.3258739
2982601183,3,175551986,0.6926696
2125393542,14,1491633281,0.37784687
2414982994,4,15744967,0.27057415
2772287536,7,2780945536,0.4227122
4392027349,1,127172972,0.7125333
4317465743,2,177731217,0.7549379
4252607783,3,28859421,0.0
2795067780,2,205649164,0.5400852
2142881422,10,2780645631,0.47483116
2615899183,8,556039675,0.15687114
2110490609,1,2775938767,0.75704986
1983996626,7,69357855,0.6228337
133879583,6,15744967,0.34129065
2211309784,1,169760540,0.5997906
161282337,10,150846664,0.2709696
2198613695,9,2776132596,0.42104077
2416197257,5,17744445,0.34773567
4380521263,17,199539241,0.06738567
1573419069,19,121332964,0.0
3010678266,13,202751555,0.2979114
4232814110,10,127413603,0.060187757
4386511632,14,94625758,0.06079313
2462339902,6,71924100,0.30942523
2019947405,2,44870925,0.8223313
2329184859,19,62520636,0.0
2770680863,6,523546767,0.11242333
1970045924,5,28826006,0.44677874
2400433271,9,185592680,0.19939002
4397249183,9,185592680,0.3182329
3037930518,2,205783811,0.6181789
4313458799,14,144133560,0.0
4236061449,5,15744967,0.37551433
1981299733,1,121332964,0.92684114
2912099984,6,60748783,0.59509367
2963390829,5,71924100,0.1883342
2046453103,3,113754120,0.7827544
3016696464,4,178790620,0.04502365
2568558007,2,33923547,0.5462581
2068647722,14,49110097,0.122032106
2903181281,2,207456731,0.899346
2011623333,8,127313418,0.4516052
2231780492,5,144024400,0.3494584
1846726357,3,41008148,0.34096143
2080919322,16,62520636,0.08726883
2113213914,14,15744967,0.10754293
344002411,4,138885662,0.27603105
2936606681,4,24890656,0.49522558
4397541507,1,8010536,0.4974449
2896921981,12,79403827,0.36927867
3047710379,7,105702510,0.44402087
2181534179,14,142724271,0.0
2597456735,1,185592680,0.6818658
1990114813,10,174010058,0.46359745
2773938173,3,149629883,0.5313915
4213070848,3,199639397,0.37244612
2169192771,11,41008148,0.109448016
2365554433,2,134984996,0.7492204
2483326387,15,41008148,0.049906343
3124626722,8,2779878721,0.47924972
2020186779,22,207114421,0.0
2148278806,6,2908647359,0.59439564
3127435757,19,97355855,0.0
4244900215,1,2777905996,0.93666613
287035397,1,24245907,0.7662933
2556463610,12,41008148,0.26386476
2061533517,19,41008148,0.0
2766192422,2,2781355719,0.7411432
2354827858,7,2780677400,0.49698785
2950970274,7,23123220,0.32400185
1604412912,6,2780744974,0.44108352
4211032394,7,153180895,0.35921794
2460217935,11,2993531722,0.42406026
2529645566,6,539932907,0.5491821
2188828300,5,3018303953,0.48440033
3171586404,3,164913051,0.67063
2384906786,10,17744445,0.25016856
2975562508,9,127313418,0.080756515
2090486528,13,55493867,0.14314589
2139832333,4,204323151,0.5855514
2796951154,8,48372109,0.4506552
3179639469,1,2780750338,0.7011728
2125718779,4,2776652708,0.58093
3215444005,3,52119013,0.32544416
2416873877,1,2776954882,0.8346299
4387983245,5,520681616,0.44198135
2329523939,4,2780804531,0.5709372
2173570888,26,91881484,0.0
2326067948,16,18903297,0.11106369
3013576178,16,39432304,0.1127283
2078338425,17,162324750,0.0
2915987606,8,2984118289,0.5396088
4214678917,14,162324750,0.08529839
2342283251,1,41008148,0.33064026
2777702511,11,120665830,0.16192576
2973327253,12,145148216,0.24720502
2592956410,12,136229726,0.40736955
4389691045,6,2993737187,0.44382074
4323305740,4,51141536,0.6434352
4247639521,6,144024400,0.16212323
2912486851,5,107673813,0.4868402
1998983111,6,2780378348,0.55840814
4391778745,3,145420912,0.4381761
4394989231,3,73573662,0.42139557
4253580213,9,2781274984,0.42258006
4322486077,4,2779699715,0.47103244
3206462613,9,98274493,0.5184731
2010678753,2,60432849,0.7697482
2368008514,6,88548561,0.50085163
