work_id,data_source_seq,data_source_id
1495170549,2,5
2091955159,1,2
2900090661,2,4
4250060205,1,2
2079833103,1,2
1976030170,1,2
3199687905,1,2
3041320883,1,2
1994361095,1,2
2128565339,1,2
4399037863,1,2
4291168650,2,3
2015157245,3,5
1967778657,2,5
3008145212,1,2
4241774843,1,2
2078739959,1,2
1986716480,2,5
4250023499,1,2
1491793883,1,2
2313120015,1,2
2913737889,1,2
1931232294,1,2
3020900033,1,2
2140868921,2,4
2398978832,1,5
2143726726,1,2
1532710484,2,2
2411897459,1,5
2078273654,1,2
4200188206,1,2
2995947933,1,2
2904314282,2,4
2940651527,1,2
2773563276,2,5
212029,1,2
2139976691,1,2
4300521521,1,2
2164472870,2,5
2021445881,1,2
1672130422,1,2
4309357944,1,2
4389784348,1,2
3206309059,3,5
4236506410,1,2
3025388360,1,2
2616587092,1,2
1811513324,2,5
4206351179,1,2
2766590159,1,2
4397479108,1,3
4366777432,1,2
4230229150,1,2
4206137214,1,2
4253421959,1,2
2316346213,2,5
3129174431,1,2
77360041,1,2
2325058863,1,2
96481437,1,2
2314977776,1,2
3023077758,1,2
1559706131,1,2
2949750922,1,2
111222103,2,5
3212924197,1,2
2315344453,1,2
2156807594,1,2
4251699273,1,2
4241647187,1,2
4238755053,1,2
2120633393,1,2
4388579184,1,2
4307580627,1,2
2053159891,1,2
2046800370,1,2
4220827399,1,2
3034764111,1,2
4318960846,1,2
1978257996,1,2
4252485884,1,2
2026469677,2,5
2406739388,1,5
2502447786,1,2
4251205056,1,2
2163624757,2,5
4231587163,1,2
2094853346,1,2
4389739570,1,2
4238187332,1,2
2189237110,2,5
4229013355,1,2
2053195688,2,5
2027049149,1,2
2769724957,1,2
2133047007,1,2
2099955665,2,5
2900432923,2,5
2003677177,2,5
2012482141,1,2
1983821696,1,2
4394394793,1,3
2419505256,2,5
2317460794,2,5
2517190386,1,2
4247009846,1,2
4234248938,1,2
2130864859,1,2
2806164299,1,2
2517050736,1,2
2009096747,1,2
1979356826,2,5
4239020228,1,2
2333039477,1,2
4244641713,1,2
370977932,1,2
2591277834,2,5
2614961878,1,2
4392984285,1,2
1576298479,1,2
4241937279,1,2
2394999129,1,5
2018752695,1,2
2282923914,2,5
2273473926,1,2
4238251274,1,2
1552727706,1,2
4283367464,1,2
4393548917,1,3
2050278371,2,5
2316726195,1,2
2073612178,2,5
3118630122,1,2
4320040234,1,2
3044603317,2,5
4397497652,1,3
3110348775,3,5
4391231601,2,5
3021310204,2,5
2054641754,1,2
2156096589,1,2
1981756935,1,2
4393132453,1,2
4384560453,1,2
2743770114,1,2
