work_id,author_first,author_et_al,institution_first,institution_et_al,title,source,pub_year,volume,issue,pages,doi,pmid,work_type,n_cits,n_self_cits
3028777764,Nasa Nasa,,,,JANTX1N5554 switching diode,,2011,,,,,,article,0,0
2362856061,Duan Zhuo,,Xian Mechanical & Electric Institute (China),,The Metatheory of Language Competence and English Teaching Practice,,2001,,,,,,article,0,0
2779783848,Jessica Bell,,,,MGH Guides: Search Strategies for Any Database: Search Basics,,2017,,,,,,libguides,0,0
2329204743,C. Vago,,Centre National de la Recherche Scientifique,,Problèmes pathologiques concernant les élevages en masse d’invertébrés,Entomophaga,1972,17,2,111-129,10.1007/bf02371124,,article,3,0
2318237193,Toshiyuki Uno,Kazuhiro Shougaki; Ryuichi Hirota; Kou Hayashido; Akira Mogami; Yasuo Hisa,,,A Case Report of Cervical Thymic Cyst.,Practica Oto-Rhino-Laryngologica,2001,94,3,265-270,10.5631/jibirin.94.265,,article,2,0
2369154765,Xiao Lian-xin,,,,Analysis on the Grinding Ripple of the Traction Motor Shaft,Electric Machines and Control Application,2007,,,,,,article,0,0
2036026502,Ulrich Von Gemmingen,R. Sizmann,,,Charge states of slow hydrogen ions reflected at single crystal surfaces,Surface Science,1982,114,2-3,445-458,10.1016/0039-6028(82)90697-5,,article,48,1
3216401998,A. R. Bibin,,Institute of Ecology of Mountain Territories,,FAUNA OF XYLOPHILOUS BEETLES IN THE YEW-BOXWOOD GROVE OF THE CAUCASIAN RESERVE AFTER THE DISAPPEARANCE OF BOXWOODS,Russian Journal of Biological Invasions,2021,14,4,15-19,10.35885/1996-1499-2021-14-4-15-19,,article,0,0
4233584323,,,,,El Niño looming,The New Scientist,2015,228,3042,5,10.1016/s0262-4079(15)31342-7,,article,0,0
2750424407,西田博,古川博史; 遠藤真弘; 小柳仁,,,PCPS:経皮的心肺補助法 心原性ショックとPCPS,,1999,10,10,908-916,,,article,0,0
3041743526,Rodrigo Fioravanti Pereira,,,,Testes de hipóteses: análise do domínio deste campo conceitual por alunos da área da saúde,,2020,,,,10.36443/10259/5525,,dissertation,0,0
2980012198,Andreas Schulze,Christoph Woernle; János Zierath,,,Weiterentwicklung eines Model-Update-Ansatzes flexibler Mehrkörpersysteme,,2019,,,,10.17185/duepublico/48220,,article,0,0
4214834242,Paul Hoyningen‐Huene,,,,Introduction,Oxford University Press eBooks,2013,,,1-13,10.1093/acprof:oso/9780199985050.003.0001,,book-chapter,0,0
2110698861,Maria V. Perel,Mikhail S. Sidorenko,St Petersburg University,,New physical wavelet ‘Gaussian wave packet’,Journal of Physics A Mathematical and Theoretical,2007,40,13,3441-3461,10.1088/1751-8113/40/13/011,,article,34,17
4252970194,,,,,Europium Complexes Emit Red Light at Record Efficiency,Optik & Photonik,2014,9,2,15,10.1002/opph.201490028,,article,0,0
2012179579,R. W. Robinett,,Pennsylvania State University,,ψψ production and multiple parton interactions at supercollider energies,Physics Letters B,1989,230,1-2,153-158,10.1016/0370-2693(89)91670-5,,article,9,3
2185621183,عباس بازرگان,حمید رضا یزدانی; ندا احسانی مقدم; مرجان شعبانی,University of Tehran,Tarbiat Modares University,An investigation of importance and consideration of Human Resource Value Chain Measurement in Saipa Industrial Group (Case study: Multiple),DOAJ (DOAJ: Directory of Open Access Journals),2015,,,,10.22059/jibm.2015.55552,,article,0,0
2078200847,John T. Pyle,,,,The median speed and the error function,Journal of Chemical Education,1984,61,11,979,10.1021/ed061p979,,article,0,0
