work_id,keyword_seq,keyword_id,score
2903009194,4,1355,0.554086
2329253414,2,31726,0.57859445
2946278283,1,56671,0.9572972
2010271825,5,4200,0.518938
4312932596,1,35164,0.607661
2774358588,2,67719,0.503342
2785955573,2,53981,0.49874
2613362620,1,28015,0.656261
4392980885,6,6010,0.531643
3194662096,3,54377,0.501914
2333624319,2,20252,0.54149
2909757941,1,47747,0.59025985
191296009,4,32109,0.563497
3022063219,4,11974,0.519595
2041146887,1,58605,0.569874
1441836712,2,18144,0.5425236
2244763587,4,15547,0.516802
2464467368,5,55648,0.44071186
2087894996,4,60692,0.5364
2122163391,4,44528,0.517722
2540154897,3,66989,0.467243
3009341987,1,557,0.5123638
4386357151,2,32417,0.94503427
1961259820,5,52207,0.468257
2059966323,3,67647,0.5445902
2921281912,4,15445,0.51815
4400370714,4,44848,0.556381
4385402853,2,29200,0.535886
2024385704,1,49847,0.490716
2053316324,4,13091,0.415258
600150958,1,60280,0.74679303
4245760355,1,12789,0.511677
2641750228,7,64654,0.42201632
2994934906,2,40835,0.558368
4391248573,3,41717,0.51865834
4311878921,2,37209,0.544382
4391925351,1,51251,0.7947265
1590120610,6,48762,0.4106769
4399104430,1,65195,0.6362271
4397137953,4,63727,0.551089
4251321043,5,18115,0.502553
2339110554,2,36510,0.492621
4221019644,6,52683,0.51443
4232856442,2,23076,0.52953374
4320487187,1,64328,0.76926935
2583438268,3,49181,0.4225186
2973070107,2,42034,0.48399
2069341200,2,32862,0.468929
2380310172,2,16064,0.511644
2901281187,2,28949,0.4922992
2910880266,3,66269,0.41245228
1905286351,3,54445,0.59793025
4311198714,3,69007,0.6572759
2013651173,4,45621,0.541298
3157538200,1,53734,0.7082975
2417940764,3,33076,0.525738
4300922650,1,39750,0.543577
4388053716,2,13029,0.41946542
3037510552,7,16407,0.509132
4205235875,2,68118,0.52698
2158743862,5,9991,0.4314808
2375551041,2,36245,0.588637
1991773866,3,13126,0.4595697
4390992479,4,44447,0.536162
650184653,1,48102,0.454248
2560168367,1,5363,0.539706
4299547106,2,24877,0.530809
3195778047,1,24082,0.9952095
2082906152,2,14292,0.525494
4247003093,2,21826,0.628143
4376613978,3,8838,0.53345
1981553442,2,26775,0.576686
2054607982,1,14381,0.437538
2321621035,2,45575,0.4944191
4254288542,2,22611,0.430547
2285595012,2,30030,0.597551
4395066748,1,40962,0.555098
1999211390,1,57207,0.492184
2462637670,3,70735,0.539727
2150843668,5,52028,0.5069654
2603695156,6,55298,0.534408
2064247291,8,72248,0.4617304
1590587045,3,45258,0.51025033
2954557220,4,29976,0.564695
2593428111,4,23191,0.579341
3041208688,1,24245,0.591528
2785959278,1,66934,0.498783
1573432328,2,65509,0.583695
4246530710,1,25296,0.79896635
1590542119,2,57910,0.48455492
3080667067,4,46504,0.504366
2374880147,1,16723,0.52237
3104331710,3,25089,0.511568
2594968349,2,52898,0.61639094
3135463259,1,66996,0.96565783
2945052310,2,56164,0.525285
2523833547,1,66914,0.45126
4397558531,3,13671,0.648869
2081147215,1,18077,0.543026
3126221481,11,56233,0.42094803
4240345025,1,24111,0.46830025
4398674204,1,18367,0.400286
2266025260,4,59942,0.470179
2523592353,2,52244,0.516725
2796077593,5,4529,0.531189
2568140280,3,65185,0.559083
1788455497,2,68928,0.58808
2013649711,4,45082,0.504711
2250217290,7,69787,0.5460073
2891126503,3,21556,0.557159
2988407718,1,57842,0.62303
2075857821,6,38484,0.47733003
2034552490,3,68899,0.53219
2069318881,1,49025,0.489153
2132534048,5,19089,0.524952
2899716606,2,71876,0.543168
4252839495,1,22262,0.44314
2498781581,1,42780,0.579353
3214569533,4,21214,0.559361
2486967070,2,68525,0.57727545
2402793077,4,36744,0.552026
630179233,5,17773,0.579442
2069538680,3,16453,0.518951
3155127123,2,64733,0.5113496
2062480413,2,14858,0.522567
4239782203,1,56079,0.6755
2808465143,3,45081,0.536205
2324809311,1,36318,0.519589
2105026917,4,23634,0.560266
4387569953,2,29385,0.491017
2901144006,1,53094,0.5582402
4206015256,3,34645,0.8841244
2791688959,4,33294,0.561019
2426119559,3,48378,0.459685
2000404420,3,31451,0.509898
4302560632,1,57349,0.9165615
2911911977,1,62463,0.515991
2895769414,3,16873,0.508084
2549997065,2,50566,0.448229
141500331,3,26865,0.504257
4234926423,3,13595,0.503072
4397100214,2,15116,0.560238
2942937825,4,67169,0.501759
2126981693,2,24808,0.497224
3146289005,1,64542,0.492156
4211084404,4,6457,0.469716
2173956865,2,4805,0.540012
1488232904,4,71007,0.599218
4243208887,1,32638,0.582133
4280591554,1,16129,0.915351
4200133934,5,63460,0.43228644
2087642887,3,48124,0.65771604
4390510374,2,4137,0.5787228
2039955588,1,53097,0.9227311
4294097024,3,12752,0.5485646
4392566175,1,52034,0.62956
2036426961,1,67507,0.7689037
2034759507,5,13384,0.51549655
2358410751,2,9614,0.56566244
2076054631,4,36950,0.503618
2232943957,3,17778,0.554094
2461657688,1,69494,0.462815
3083999112,4,58028,0.566744
2801663135,1,44328,0.617656
4318243942,2,65537,0.524799
2980863653,1,28684,0.414165
2410207555,3,23957,0.542022
4363647514,3,46606,0.478792
2771900228,1,67272,0.7916428
2468777985,2,8838,0.61441207
1991000644,4,59227,0.513842
3169039829,1,51750,0.9766534
2018634219,2,15811,0.5946308
2918069156,3,32522,0.6802386
2032779650,7,8848,0.45089084
2188141262,4,31096,0.41150045
163079425,1,22930,0.74012005
2281590016,3,68142,0.48346028
2073995707,1,17174,0.634083
4214839530,2,29341,0.584645
340099919,1,35082,0.6910343
3161561367,5,33517,0.50055
119697656,2,16064,0.509452
3217113568,4,62098,0.479018
635927380,1,37518,0.482692
2160287062,3,40347,0.4126171
2409714165,3,33371,0.512246
1994911617,3,15435,0.525219
4382196232,1,27647,0.51411
4398288232,1,53877,0.404526
4240791560,1,4677,0.9923276
2972613857,1,47980,0.641714
2340201232,2,67789,0.58798975
2036501872,1,47022,0.60486674
2609315648,2,9238,0.573297
2357436054,1,652,0.539492
2170635242,5,33657,0.49941874
4387150587,3,62335,0.47706544
2362938258,1,4406,0.8149235
3183534908,4,71002,0.41809633
4388160657,2,42593,0.67485875
4401653799,4,8551,0.5120664
1485614597,6,65540,0.576486
3139294654,1,37009,0.8344928
105635588,2,40911,0.576296
2268899644,2,48450,0.7496097
4246839231,4,24570,0.59913
3008917888,4,35987,0.553354
3026868312,3,61879,0.430408
2755659934,4,30397,0.525908
2328307630,3,46598,0.468279
2153705537,2,40835,0.513864
2605821590,2,18144,0.81143916
2097272517,7,18144,0.45947427
4383108791,2,13926,0.526813
4396739663,1,57198,0.701521
2382327527,3,60692,0.59155
2521986033,1,31819,0.58790153
2796321544,2,20595,0.517427
2151087696,2,26614,0.452441
4385835927,7,16878,0.515644
156415620,2,50370,0.43531513
2040202732,2,53302,0.542685
1989075344,1,2459,0.8567419
3043790479,4,47710,0.41016343
2395990399,1,5866,0.6405122
190023143,2,21979,0.46813
2034018849,3,2370,0.586165
1984932103,2,10162,0.54015
624261851,5,42973,0.587095
2119752929,3,19527,0.603419
3144511939,3,26057,0.614972
2891151181,1,9988,0.652609
2736098723,1,39826,0.40962
2105050352,2,68142,0.4470515
3034854298,1,4452,0.488019
4388247950,1,64682,0.59524393
2667847669,3,31477,0.568167
2590978767,1,24704,0.555605
2184488814,1,1314,0.965088
4238284625,5,22539,0.595049
2055145485,1,64610,0.6837778
1980492830,4,64689,0.509837
4312477939,2,56150,0.5120302
2301577928,5,5441,0.47634652
4386778590,1,37856,0.64383507
2029645606,4,68886,0.524762
1989527063,2,1774,0.8811618
2765415903,1,42457,0.536207
2066122289,3,20753,0.516011
4232966429,1,71615,0.583991
1480205271,2,53153,0.491425
3106262068,1,3610,0.48471832
2016512922,4,56427,0.448502
4288278281,4,15127,0.519277
4299489559,4,41953,0.4377449
2320346598,4,70461,0.4928577
4375861830,2,46724,0.46587536
1885776308,1,19401,0.6077
2081734571,1,53395,0.5789674
4312127284,2,13193,0.52085596
4232745086,2,2148,0.62456954
2417024112,6,29206,0.527549
1990101560,2,71392,0.47795
2337595540,2,3831,0.63169
3089313511,1,24192,0.533744
331429576,5,6143,0.579079
124635647,1,23590,0.514595
3023310805,1,50247,0.570279
2069709779,1,34709,0.5415938
4388274071,1,33795,0.59323
4239413912,1,53658,0.491258
4244381991,5,70859,0.565581
4307999730,2,57384,0.420282
4388454158,4,70032,0.49007285
2611510395,1,43060,0.547135
3135193459,5,40368,0.502291
3041532511,4,12136,0.504013
1530735470,2,4729,0.509861
3082099895,1,11903,0.492083
4315746488,1,51844,0.50555277
3020700834,5,19928,0.502302
4245351559,2,28179,0.565916
4297229007,1,42063,0.93075776
4246658003,5,14735,0.593006
2885962284,1,30981,0.9902381
4397752298,3,13671,0.647318
2893437639,5,43358,0.565618
2105144768,3,30915,0.5128763
4391593495,2,16515,0.8179941
2084925704,3,54698,0.432005
2047977776,1,479,0.79934156
1989233096,2,52778,0.512558
3123622846,2,16344,0.54245263
2334859050,1,39123,0.581731
2352148242,3,72100,0.4184428
1942806706,1,3293,0.54017
1578816751,2,33211,0.49435
2363498851,3,72252,0.513827
2333273383,1,12664,0.9131707
2087784677,1,41680,0.521506
2444133908,3,21827,0.5528
2674586989,2,4899,0.526087
2947263674,2,14889,0.554083
4239029283,2,41842,0.515708
3004805235,1,47472,0.87746406
4213322095,1,67147,0.90179217
3117105412,2,35939,0.545283
1577907045,1,35078,0.48333
2907222692,2,15446,0.596803
2024042196,1,46719,0.54814494
2094684001,2,28777,0.518653
2770587037,2,31774,0.60592633
2054896552,5,15108,0.453151
2996368997,3,2899,0.48843375
2394038404,2,4179,0.76497316
317997155,2,25174,0.516524
2142110713,7,3188,0.515939
2383290342,1,34161,0.75325453
3137572915,5,57291,0.557106
1413159947,1,21009,0.5701939
3010108387,3,53398,0.43313646
4234948970,1,68118,0.459719
2017308972,2,55256,0.5324883
2037978097,2,4165,0.59554994
3170273994,1,4382,0.540851
4390616407,1,35272,0.60529125
4224295253,2,56476,0.511565
4393719856,2,40356,0.48347694
2126212740,2,72291,0.473063
1985565332,1,43953,0.9854273
4400529150,5,45602,0.533747
4289774862,1,36573,0.456478
2888345023,1,29823,0.9711352
2329165796,4,34339,0.42523786
3136624016,7,14496,0.5017564
2058661961,1,37934,0.78284997
2040672252,1,65144,0.513111
2357259760,3,33037,0.42296964
2083734518,2,70942,0.543556
2169409181,4,29024,0.44243
4399727333,1,42357,0.57814234
4387458883,4,53658,0.516167
4389355665,2,51445,0.731897
2269747101,2,33718,0.569541
2760003200,1,24504,0.8317514
3123209336,3,22687,0.552548
4248395399,1,32274,0.593365
2184269611,1,31334,0.592282
2437227514,1,15693,0.8976748
4252998536,4,375,0.508349
2129375020,1,67167,0.8404691
2397163081,1,16572,0.80181897
50409931,2,1336,0.517013
3102672433,6,24657,0.44918948
2947981357,4,2890,0.5055711
365880984,1,45283,0.7992686
2140413822,6,23628,0.520708
1985186467,2,17215,0.540715
2010056973,2,53096,0.76042575
2004953496,1,13593,0.65855217
2977317343,8,29472,0.48840684
2738804156,1,17454,0.577665
4253290070,5,49231,0.654165
2918917312,3,71406,0.505751
1985812820,3,9031,0.45196563
112783804,2,62243,0.552338
592888438,1,14689,0.94820666
2025346488,1,55335,0.65612954
3009992544,1,29527,0.75286406
4231392565,3,61055,0.5721728
1982056831,2,7984,0.4608886
2331929272,1,38794,0.72154915
2160843040,2,25505,0.47038475
4245119130,1,51137,0.445119
2801227987,3,17863,0.515778
4312826274,4,46388,0.47284418
1988002549,1,38491,0.483496
1582552785,4,8227,0.4744022
1191497448,3,20844,0.517718
4210899990,2,33493,0.569808
4382278553,3,56660,0.587043
2944094430,1,42204,0.5812007
4253570950,1,9790,0.91790944
4212971401,1,51076,0.44075
2564122159,4,16339,0.518452
2060898986,2,15099,0.546942
2461541846,3,1817,0.4827244
2151247978,2,25958,0.450482
3125098371,1,42288,0.588216
3091437986,3,71270,0.4290378
333784983,4,19472,0.445146
2379024208,1,61729,0.89514655
4400400731,3,23889,0.515921
1994896802,1,53280,0.444536
4213264395,5,16004,0.51387835
2131163333,1,57207,0.554443
2001092563,1,5389,0.541191
4366003148,4,63788,0.552012
2104483285,3,3507,0.479596
2327866721,1,49811,0.9286683
4205863887,3,59670,0.564568
1972968279,6,31675,0.537519
2050402096,5,57291,0.503439
2289493186,2,56590,0.561204
2781995746,2,52266,0.616826
2403652320,3,71748,0.5195701
2904410688,3,42445,0.528775
4206924152,3,46155,0.6293427
4390778266,6,55226,0.41133416
1641422841,1,38091,0.468614
2475721518,5,4512,0.522691
2418132192,2,11881,0.522529
2767620229,1,2595,0.473023
2965240331,3,49645,0.499712
4229020489,2,1239,0.576157
2782664819,1,61378,0.577414
4394951066,2,46206,0.505781
2057674200,6,43241,0.5033154
4391022525,3,20995,0.576309
1994177771,3,16111,0.5166614
2029023843,6,69836,0.500449
2937656389,4,62382,0.543888
2065321782,5,61960,0.562249
2068776130,1,46762,0.90567017
2111325429,1,51533,0.57427025
4396619019,2,24939,0.462826
2036415195,1,65327,0.6905768
3126768408,2,1246,0.53401
2542874615,1,42955,0.563028
2086060051,1,66347,0.468577
4205190372,4,30343,0.533105
2765313058,4,19910,0.45677465
2546151128,2,17541,0.639311
2312552621,1,5724,0.74380565
3002797413,1,28667,0.48139
2244083293,1,58334,0.453599
2737105972,2,23638,0.648694
2944234555,4,44789,0.510305
3127318923,3,38266,0.500738
3217074630,4,67765,0.45216596
4245380764,3,33378,0.53528
2765919417,6,60167,0.547234
3216409485,1,67626,0.482009
1969817275,1,39537,0.528274
2081985530,2,48124,0.52533317
114565718,1,34644,0.8736634
2781473911,6,31318,0.50516
2525112908,2,65956,0.507319
2098749623,1,46994,0.569864
2738774446,1,36989,0.646203
2424800355,3,57105,0.481147
3048745727,2,34082,0.6587533
140928323,2,39115,0.503771
2163677524,1,36901,0.531391
1997728049,2,29895,0.426944
2793258450,1,19944,0.586933
2083565260,1,23251,0.70046854
2356093254,1,56578,0.86062264
