work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
2168660143,23,D008875,,0
1986722154,14,D013562,,0
2531322931,3,D003315,,0
3189907994,13,D014363,Q000737,0
3000577501,13,D005658,Q000145,0
2040847706,11,D012680,,0
2170148815,26,D051379,,0
2404091496,11,D001082,,0
1975935008,9,D006801,,0
1527313350,13,D008055,,0
1999010726,15,D009436,,0
2033438914,20,D008233,,0
2320081884,11,D006801,,0
2430342681,6,D005516,,0
2307061600,27,D009985,,0
2413705492,4,D006801,,0
4387692554,4,D006297,Q000941,0
2103775973,8,D001921,,0
1987757902,28,D009282,Q000008,0
3126546613,5,D045164,Q000379,1
2155525026,5,D000328,,0
2010406980,1,D001555,,1
2060446844,5,D000818,,0
1969993111,8,D000339,,0
2151857210,1,D004247,Q000378,1
2415360585,14,D008365,,0
1991901001,4,D007271,,0
2920748972,15,D012720,,0
2163775969,28,D015658,,0
2413870646,5,D013785,,0
2396061859,9,D006751,Q000191,0
2135513194,5,D005260,,0
2415743401,6,D016232,,0
2003248766,35,D010707,Q000378,0
2125099682,5,D006041,,0
2091774403,22,D014029,,0
2419100103,16,D004697,Q000188,0
1599635270,23,D064448,,0
1937040221,2,D016693,Q000276,1
1967676656,10,D002850,,0
2441661028,4,D012233,Q000166,0
1990522724,21,D012131,,0
2080693933,7,D006801,,0
2946451464,7,D018014,,0
1529349662,26,D008875,,0
2906102261,8,D003299,,0
2074698428,20,D008168,,0
4315620472,8,D006801,,0
2404788947,10,D006471,Q000601,0
2042766259,29,D014982,Q000378,0
2055965661,15,D007420,,0
2799375551,2,D044950,Q000737,1
2030400200,12,D008264,Q000502,0
2406844601,20,D012726,,0
2418237389,4,D053448,Q000601,1
1977413353,17,D058687,Q000401,0
2107532764,8,D015897,,0
2115716843,3,D011570,Q000639,1
2101985845,6,D002294,Q000628,0
3211297097,3,D006350,,1
2592859908,17,D014885,,0
2597030721,12,D003924,Q000453,0
2085214525,27,D012313,,0
2029604584,13,D006712,Q000628,0
2166546112,7,D003863,Q000453,0
2411828160,10,D003586,Q000276,0
4386084906,6,D006801,,0
2107498397,12,D011817,,0
2070575136,17,D000431,,0
2002892801,3,D000328,,0
2102128611,21,D013223,,0
2413003748,1,D009389,Q000473,1
2063229072,8,D003545,,0
2087786316,6,D008171,,0
3213630353,12,D015972,,0
3096345650,3,D003937,,0
2769856168,15,D000067877,,0
3111652454,14,D000890,Q000592,0
1576704900,17,D008875,,0
2084453812,9,D054316,,0
2048495619,21,D019950,,0
2911558181,6,D010988,Q000523,1
1164645786,6,D016475,,0
4307499973,3,D006801,,0
2054898497,11,D007166,Q000009,0
2316756647,6,D002455,,0
2888514674,11,D000701,,0
2009629940,2,D007407,Q000379,1
1992513887,1,D005670,Q000254,1
2048086787,17,D004833,,0
2129217896,30,D013997,,0
2402397910,20,D008871,Q000276,0
2724441495,29,D015473,Q000150,0
2171278646,35,D008070,,0
2140399857,15,D018782,Q000187,0
4301149950,24,D010179,Q000098,0
2054573434,15,D002538,Q000150,0
1977975806,26,D014505,,0
3019625017,16,D009154,,0
2890799404,13,D002921,Q000517,0
2159253830,4,D007515,Q000378,1
4290148895,9,D002417,,0
2795056963,15,D020128,,0
2746432733,1,D050197,Q000453,1
2315919672,16,D014453,Q000378,0
2885283087,20,D012270,,0
2084337427,10,D005385,,0
2037499091,6,D004909,,0
1999038352,6,D013223,,0
2021597338,6,D001491,,0
2324795466,3,D004480,Q000235,1
2906307726,15,D053208,,0
2099105653,18,D007262,,0
1744458092,7,D005500,,0
4299632422,2,D006046,Q000627,1
2031656652,12,D013997,,0
2028204805,20,D020099,Q000737,0
2413273353,14,D008954,,0
3022221567,7,D000368,,0
2097948558,28,D017422,,0
2040251615,29,D011486,,0
2413232095,11,D008943,Q000601,0
2007099486,12,D010974,Q000187,0
2415054634,9,D000818,,0
2050596412,39,D012702,Q000737,0
2146355738,15,D015850,,0
2936128944,15,D059348,Q000209,0
2308306818,8,D002874,,0
2142430469,12,D010300,,0
2770175125,8,D019918,Q000379,0
2159686005,7,D001483,,0
2299256019,14,D005260,,0
4200392681,11,D004195,,0
1868217980,15,D003704,Q000534,0
2522573458,8,D005260,,0
77653715,14,D016896,,0
1967919799,3,D000818,,0
4307178477,5,D002784,,0
1982527406,5,D002344,Q000201,0
2938932803,7,D005260,,0
2144291816,4,D013312,,1
2022473766,7,D000818,,0
1982419880,10,D002701,Q000378,0
2427580865,15,D008589,Q000453,0
4323073802,4,D003131,,0
2119120508,13,D015850,,0
2781554920,7,D009690,,0
2135271809,1,D012643,Q000097,1
2997065570,11,D000077143,Q000494,0
2083434167,5,D000631,,0
4255795146,2,D009462,,1
2413087217,17,D011567,,0
2025256697,1,D000374,,1
