work_id,reference_seq,cited_work_id
4281944944,79,3129036889
4206972142,10,2013194895
2726998474,156,4302377630
2101997522,31,2150675106
2039275370,11,2033845412
989070040,57,2071681399
2148764670,11,2133672224
4400845759,12,2782987273
2798123808,11,1977702697
2013669397,104,2087900954
73222202,77,4239345618
2019981428,1,1986730303
3034967403,8,2011989135
4390012069,8,2804547998
2086233683,5,2001094307
2052073771,6,1527708541
2001135043,8,1992389109
1992613923,11,2014833927
4309070789,8,2560367415
2271332645,25,44067190
231566618,13,2514889843
4245754902,91,2149101205
2903935595,52,2736508073
2119846269,76,2085999390
2506325476,15,2011044110
4375859017,33,3077228099
2917703804,67,2891480663
1574732353,166,4388183998
4400734128,5,2022225290
4372218942,25,3168595234
4220910228,52,2497359825
2967679440,3,1914029130
2982598245,3,1970116381
2133230026,5,1978654851
2057214107,12,2079233599
2331218492,93,2101633332
4399385142,35,2470420904
4295886719,223,4236173992
2111858454,51,4285719527
2033267920,7,2037694748
2899898478,60,3020840468
2086683514,11,2004715823
2155199664,6,2040756089
4282936864,46,3006768295
2598949711,59,2129172403
2057925852,24,569793150
1985718825,20,2096789748
2918440573,34,2073253475
2550364462,8,2322866941
4214625554,115,4292679678
2041631117,9,2017341347
3177520450,12,3144052929
4389618165,13,2098285675
2508070361,7,1662832695
1827549728,11,2093202386
4328105015,38,2992712911
2469887820,3,1979880456
2038151165,2,1667277804
2017569333,1,1480904378
2290494294,21,3123776348
2802470580,11,2475658966
2346684586,15,2076298363
4328125490,7,2133518073
2040637989,103,2054404048
2784981157,46,3123200913
2044739085,34,1997454604
2137223658,21,1982479167
3179307076,49,2052932598
2009208082,47,4327635065
3124890658,13,2033655415
571202907,99,2161835334
2950703362,13,2329158708
3021518380,33,1980178339
4293087174,26,2612898279
2341187315,7,185401002
2297431833,7,1993633200
2563531065,2,1546195232
2105043836,34,2111141292
1524925448,2,1965032813
2081608093,23,2005185235
55217941,202,2088864483
3021945001,124,2133860322
2478568806,303,3021062348
2162372626,46,2163611769
2576408596,225,577678953
2157656744,3,1775749144
2334294822,33,2053227378
187364463,727,2034041721
2103637700,40,2089571778
2808732674,15,2081974678
4230644285,39,2106209244
3115001044,7,2035988242
3137590890,2,2064112511
3159379662,2,1544177383
2467976973,22,758395811
1558706925,31,1994690219
1983136188,37,4285719527
2759902047,24,4249646082
4400234016,37,2953048932
1503110770,71,2135255848
2007578256,1,1775749144
4240498684,39,2332979614
2276009046,5,2003415704
4391848635,50,2475218214
1491026381,44,6856508
2113331147,59,2166722801
4211264023,396,2611783853
4320913192,157,3015146370
2141125456,14,2006094188
4205804453,71,2963835257
3197836143,31,3032449928
4295837752,1,1488584644
4237007791,9,2002484487
151761885,10,204919365
2794303667,4,1911810515
20646326,41,2094375604
2112099740,19,1997268854
2801057249,82,3199575620
2116147248,7,1685518911
2044397259,27,2081115605
2517213510,3,2099917041
2063923547,35,2155039075
2139246817,13,2080377362
2005861002,2,2070837016
4285094749,42,3047877060
4401181163,47,4391753104
2105269538,10,1964578545
2891735573,89,2145200932
