work_id,related_work_seq,related_work_id
3181010907,3,4250609648
4390844767,5,2948807893
4387225140,9,2067443264
2100544513,5,2948807893
3011751034,5,2161582420
3196942494,16,2027036616
2418883045,19,176770193
3085690387,3,3140033635
2282654870,3,2363997565
4236915236,7,2137941439
2398253944,5,2748952813
2352121732,13,2361424170
4393278537,4,3031052312
2057420881,8,2048182022
2438456512,19,1938356914
2804608276,3,2386066971
4361268902,10,120028938
4229902213,5,2376932109
3045854860,14,2910477479
3081820198,4,2390279801
4237472084,1,3014687876
2751488618,10,2130464959
2319855986,7,2171251595
4253568832,9,2748952813
1543257411,13,2264558490
4294904080,6,2357523926
2044603476,5,2041998205
2487567029,9,2748952813
2885207002,11,2185060059
233331638,12,2046151705
4380882585,2,4281614306
4210831154,9,1976181487
4394078741,4,2748952813
4391955810,8,2758277628
2413472806,7,2146745697
4396860843,2,4242984171
4206407916,9,1995515455
4249137633,3,3002753104
4250103655,4,2899084033
2366953435,7,2596389174
1491930824,5,2382290278
3097329005,6,2935909890
2480971719,5,3007404728
4389212079,6,3179695362
2904113135,1,3108674512
2034377797,4,2158625435
4281394058,3,3088560287
1996550196,5,2095067221
4237504810,6,2604872355
2077748696,9,1657486952
1976384147,5,2748952813
4385361434,3,2982442175
2299629106,20,1491133587
2037453719,3,2753356002
2417091287,5,2373994074
1990065018,5,2167833964
2754093719,15,2317583780
2377906588,10,2368991229
4283694072,5,2418440124
4310107930,5,2041917376
1971738697,9,1844547334
1017521597,7,2068588654
3029111472,16,2133833146
2071349629,5,2134894512
171233394,18,1816747902
3123799264,8,2755691166
1517392849,1,572522417
4321608229,9,2290927522
957599304,3,3035298250
655762452,9,2105416113
4250289050,9,1995515455
4205980309,1,3087333704
4283362053,3,2948807893
2026619312,8,2076898137
2901073518,6,2935909890
2795999896,2,571466533
3117442428,15,2269552446
4388105474,3,2391061603
2614604675,7,2354224618
2965220133,2,4319317934
2075765360,6,2884884929
2373292149,4,3034020988
2098416841,4,2532901088
3045559705,8,2055704044
2376699705,3,2391466859
3092150008,8,3193951088
14397491,2,3199617360
2139740720,5,345650252
2216611321,10,2111287004
4243846047,6,2604872355
2412782561,10,1588962460
3134909544,11,2626887788
2093065620,3,4238255451
2279876781,7,1977797987
634234278,20,1581103933
2415143847,15,2501487625
2060358519,2,2748952813
2346476268,6,2157046263
2119415170,1,4390377917
4232164539,10,1531601525
3037145172,9,2288605397
4398622271,1,4387497383
2901755769,19,1981394440
4241303621,5,2077600819
2969570594,7,2809069473
2809363598,6,2080652515
1974325614,9,2016032392
4233408633,8,2316160808
2564335234,3,3025406276
68680527,4,2404937507
4393630143,9,2070951564
2335509413,5,2313942144
1456509339,5,2102666135
2301628308,10,1983328904
2043621872,1,4387497383
1974530605,1,4293041685
4237137441,7,2080531066
326426286,4,275101856
4252359824,9,1995515455
3122541841,19,2015339018
2077492226,2,4282946448
2025239720,5,2061374421
2521878985,19,1545783835
4394622470,9,2080531066
4389753209,6,2390743027
3153647607,2,2935731242
4236928619,4,30628898
4210789730,9,12388962
2127038067,10,1990804418
4288447377,10,1994127078
2375213616,15,2355050746
149376715,13,2076372347
4388214225,2,3080576469
2393475255,1,979130646
4238931374,8,2354079631
2166538643,1,3102479861
2806722479,8,2946845490
2926716108,8,2273878947
4235820076,6,2899084033
3210586848,1,4299958558
2361767083,15,2042094679
2406814824,4,2083154867
4235779607,8,2808875111
3140113777,6,2416921282
591902760,12,183786859
2165807634,10,1987148631
196832309,5,2559405764
4239670248,4,4200014847
2114803602,7,2147145791
4368408048,10,1710126152
4240963548,7,2350741829
2320132332,4,2470968889
2381980488,19,2087674815
4244301127,5,2390279801
4241854368,9,2242139241
2382119238,14,2369970241
570683230,1,3088558196
4394292560,9,2334925608
4306909831,6,2738981461
3150806430,6,2377293458
2004908646,8,2075166434
4376869540,6,2324615561
131117764,12,2562588894
2026266708,4,2899084033
4388340310,10,1977153226
2615089810,13,1989811674
2086671267,3,379073799
4365597378,2,2409105151
4251271721,4,2765153054
327886801,7,299682841
2255789190,12,2611199148
1243747672,5,2073434522
3140070125,19,1958108332
4396533360,7,2614949365
2272638825,6,2364998975
2787642073,4,3176056741
2065958721,8,2048182022
2625280346,4,2603296253
3003610965,11,236877296
4241776085,8,2068954132
2737889669,9,2022371719
598604432,15,2074527410
3151774362,2,3128234638
2804126628,10,2920490152
2053122157,3,3019696165
2064485176,4,2377941652
2149433182,3,2184505782
2126668099,5,2377397314
4251707068,10,2001405890
2043634054,1,4301937836
2381155757,20,2062243759
2076482025,3,3108298832
4200170271,8,1993221137
1863707837,9,1988420290
4234490311,5,4244035922
2031034900,7,2361026142
2964915115,9,1570780624
4231675457,8,2350741829
2044515829,9,2049111008
2016739136,7,3170213355
4361895681,6,2578732716
4401543133,3,3166162583
4235790786,6,2899084033
2262612007,7,2735186623
2280091937,8,3004069182
2994219295,1,94965111
4239481871,3,3173606202
1455503815,14,2059515225
161107144,1,2059891449
4243640055,10,15327133
2095038978,4,2181776533
2101197949,7,2032645184
4390256381,7,2350741829
2940872665,10,243285075
2968727477,3,2508171592
2736498607,10,2016457596
2441505235,2,3032994888
2394736620,8,2092466058
2101420744,10,2022237035
2347960682,14,2354092266
71064243,16,2488188000
4225260705,9,2075763133
4229947748,4,2374882995
2620198835,4,2748952813
4253544470,4,2205976252
2159621608,4,2128244850
2032085028,6,2085301898
1459496736,5,2376932109
2461002782,3,30158547
1600096645,19,1959095240
2008628111,1,4384945517
4210488873,7,2120188143
3160622576,9,2610305595
4379644562,9,2733848258
1785231773,2,3208184104
749692207,16,2252404654
4384918064,3,3002753104
1999066321,2,2358990940
2044720620,2,4361287320
4248478862,10,1984402782
2273333264,10,2087309232
4220976996,4,2027622212
2978502464,5,3028595452
3132331922,5,2363110606
2912756764,5,2382290278
4205198292,3,3032375762
4395211620,5,2748952813
4401613849,8,2344506138
4315431777,8,2358668433
4220856712,10,1531601525
2991780673,1,590830942
2160598189,8,2060805960
4397572906,10,1969215021
4394428621,8,1993764875
1970530763,9,2083530853
2606576532,9,2176311362
1153126262,7,2332293693
3095563436,19,1604004564
4384338987,1,3204855173
2069830437,5,2460306460
2312289298,6,2586801360
11591519,4,2370848225
3209704679,3,4229499248
2386869067,19,2039374952
2806026036,6,2360117988
2390387359,13,2367782362
2060930919,9,2002534518
606516413,8,3102747881
4230813808,8,2758277628
2769309153,7,2152020947
4210484704,4,2899084033
3127065230,1,4234886518
4238620396,8,2187029649
4312200469,8,2038028311
1533601174,10,1979486760
3146963642,5,2374607405
2607388575,5,3011968840
2527570229,10,2596438360
2463230088,7,2238303164
3163071599,12,2112002580
4397565733,3,2462612165
1988933466,7,2356831756
4238590665,8,2004414690
3115418624,3,4388344315
2134746922,3,2952285322
2026863823,9,2086064646
4319591672,3,2952286633
2300963628,1,3156555347
2952179428,4,3138370843
2801757820,10,2185019695
3034475198,4,3156191367
4206410083,3,4226411291
4239926284,5,4230309575
1995280960,8,2559152914
2355754013,5,2361217388
2096645985,3,2348006682
2624417988,10,3011833490
4393074740,9,2025892773
3163848924,2,3204957341
4256189257,1,6032966
3038959523,2,2607264580
2012092556,8,2049737582
4251954055,7,2080531066
4232715882,2,3108674512
2957895347,4,2411060286
1750298360,9,1990804418
312710886,17,2065681693
205956758,9,1506200166
2581548914,13,2415957589
3204836157,17,2022269027
2067616327,8,2163380434
4310380127,8,2606473313
1596366008,9,2052046979
3014321825,4,2891673966
1522297074,13,2799789770
2416419200,14,2110054947
4393746022,10,1502198272
2135389665,5,2105558110
4236040369,8,4232343910
3140949728,13,2746669284
2414147832,3,2439875401
4360954543,1,616855241
4398185663,4,2603296253
4238721450,4,2418288010
4205816545,5,2389330181
4252018887,5,2748952813
4241792131,9,2748952813
2413358572,1,2413358572
2478478319,10,1513903619
4396926071,5,3152660226
2910248432,6,3186119154
4240871105,9,2188484492
1997429075,4,2360824019
2993183256,8,2311051492
2483460695,5,2559405764
613831881,5,2587373589
2412830681,2,4206729441
2072001071,2,2789562597
4400479572,2,4391375266
2067294854,8,2385953334
3185943578,6,2089603976
2414539036,4,2128857881
2119441589,4,4235981187
4400602757,5,2496030295
4291273603,4,2390279801
2344456581,3,2381782102
2416671149,9,2032540338
2018448369,6,2264958585
4243157787,2,2130076355
1992565600,6,2069291669
2016464012,5,2948807893
76588820,10,1981207589
2113621918,10,1496539094
4236949805,1,4387674232
2598128577,17,1588227604
1601244976,4,2902125901
3175032626,4,3212266943
3026891614,10,2560274061
3170872719,13,2790368285
2980293628,9,2274277230
2369123336,14,2044373022
2559168804,7,2910281213
2357246357,13,2367329499
124552972,4,4231810659
2138450617,8,2050665504
2807867727,6,2935909890
1480151715,3,2566194735
1996462221,10,134931362
4234506018,10,1164059599
4292383959,7,2093078828
141482324,18,1824326272
4255322031,1,4285082319
2135092425,7,2032293252
2022268262,2,3148032049
2606456102,1,594353338
2617594926,5,2530513217
2329345396,5,3120461830
2418384827,4,2440787519
3149232666,5,2802867153
264973880,4,309989597
4400157536,10,1518185400
2012201308,6,2362806554
2292104282,6,2991230892
2989965757,2,3108674512
2986597570,14,2331816944
2051878366,5,2407342067
2888569845,1,3144675622
2324108843,4,3032375762
2586201437,15,2571684917
2376810467,10,2942466631
2586782748,7,2078814861
2157064344,8,1966343486
3010160758,2,2603702003
1508920317,4,4200219957
2259261727,15,2024054716
3217708820,10,3009669391
2018828000,8,2035339873
2897011684,9,2230196840
3133945502,1,773889785
4213383019,7,3095939999
2120589071,2,2403835168
4241244415,4,2380581019
2985735417,3,3031052312
3135660929,12,2973072902
2499763542,16,3173631370
2085642808,6,2057009638
1806216024,4,2560619738
2314495642,9,1971568933
2089239595,5,2081992489
2371289546,8,2362637187
647792607,10,3043827628
2023587224,4,2380321258
2008047911,7,2090890183
2775670847,10,1572905580
109706975,4,3112234905
1526976,19,1614506583
2077952017,6,23086544
2351146718,14,2354714498
4393568755,4,2144661048
4253564359,10,1986135937
4384169830,4,2117077629
2283630985,20,1517184697
2406936449,7,2080531066
2014244764,9,1597366756
1980457215,8,2007615004
4399001990,6,2748952813
2151185538,4,2775342387
4251620443,7,1802230
2405598407,8,2377762721
4206114022,4,3150465815
2155939418,6,2350028524
2483424435,11,2554983837
3151956053,2,3183948672
4282943554,7,2144422987
1496937855,3,2478288626
2091411334,6,2093461594
4400610605,10,147928175
1610411565,4,2100603097
4233923691,5,2906372981
4398828477,10,2357926602
4385784196,2,4306653052
2262782387,5,2964998942
3211969915,12,2023934381
144986075,7,2080531066
2621051645,14,2603155382
2000640990,5,2000640990
1997860974,5,2093630755
2090743109,9,171560159
2366451001,14,2475648400
2663928031,5,2765167053
2893268094,9,1634010027
764673032,12,2057556090
4385182204,3,2478288626
2052401160,3,2126475232
2379385994,13,2382165134
2013250227,1,4389568370
156964081,8,3189599521
4311225871,9,2051787900
2971700385,14,2613772528
3089407095,2,4377097986
4247613489,7,2606230654
2942327229,1,601623910
4247883810,7,2139627947
4299438025,4,2390279801
2061991067,6,2586801360
4385501242,6,2948807893
2951927580,1,4321264424
4245592036,2,4360922125
4248801267,10,2141289501
4236760848,3,4232113781
2333208470,7,2377101853
3134629716,4,3159904644
3020649110,4,3084825885
3010776045,10,1966504330
2737305642,20,10046019
2023920858,9,1998622895
4398059804,2,2711806730
2980461951,8,3000697883
4231509168,5,2427497949
2156184529,8,2558538437
2137638496,2,3007100271
4401672551,8,2376932109
2728341078,5,2382290278
43921870,7,2081569435
3187075028,17,2582691907
1957859664,15,2135457465
3107288871,7,2359952343
4250318774,9,2350741829
2023023897,10,1493340299
2491136969,1,4391913857
4253645951,6,2319044756
2951705177,2,3149559504
1798487567,9,2993166298
3124844497,16,1965772775
4231172129,8,2169347334
3014178264,6,3138244192
2998933191,10,2532912370
2422353201,8,2061945526
2032093058,2,3108674512
2414798602,9,162348252
3018909802,14,2887439237
3011571985,15,2528718422
1703626961,2,4391375266
438586974,20,1010351644
2377502966,18,2086710909
2381837401,4,2996632070
4362620935,10,1990176886
3149097697,19,15067085
3214690527,2,3124523151
2580118632,4,2328208343
4398843851,8,2004200960
4385662490,7,2358668433
1589090113,9,1993825969
4397855435,8,1970277544
2414053123,7,2060462805
4389844229,5,2376932109
4320520707,8,2758277628
2947019869,2,2908757458
148307737,9,2058198901
4399139872,1,4393004084
2786997350,10,1917770611
2002892724,9,2271181815
2057904514,8,2061531152
1567219336,8,1696096160
4235909562,1,2973033783
2261441825,15,1993183980
2071941782,8,2397580754
2281321737,17,1994556733
122715041,8,2743539335
2144825901,5,2406638334
2275629174,5,2559405764
4210491155,10,1613422971
4240449485,10,11705736
2794610264,9,2045326262
4246913690,5,2134894512
3160149397,10,134783735
3129411286,4,3138802516
4232814675,9,1987346758
2018737140,8,2080923642
4213104606,5,2345186166
3095408327,10,1671124163
2988159159,5,2608956199
2977301893,2,58283987
4205686779,6,2912831041
1987075074,5,2351217280
2331913265,6,2790230897
3214172810,9,1902160994
4230387043,8,2110395692
2950613055,3,2316588399
7945503,2,4242354943
2076035435,3,3174507486
65066020,11,2742786225
2007561103,2,3108674512
2518647039,17,1964664938
2120715768,8,2481749367
4205474131,2,748985648
2375787220,1,55118290
2110667549,10,2009410446
2555548282,17,2072204558
2050233444,9,1999891779
4380479029,7,2011625108
4399221400,10,1531601525
4372348442,2,37826642
4400091537,8,2376932109
3002415760,1,4287396732
4399139964,2,3127151603
2970072871,10,1541164599
2792117338,8,1964092386
4381187819,6,2048196501
4385331103,10,2050736209
2502107344,5,3044164290
2364067636,2,3165150165
1968368005,7,2358668433
2439678973,1,2548268311
4234475807,7,2061643009
2491318388,4,2359412950
3175861876,4,2387442042
2911944221,20,1974014924
4382462932,10,2130043461
2119674678,5,2390651205
2506451057,6,2935759653
1554057208,11,2513981596
4212854846,7,2358668433
2205599617,10,2229291236
4250670649,7,2050156500
4256483467,7,2358668433
4280555313,9,1560614656
2121825298,7,1970683301
1993021240,5,3087886431
2065864597,5,2115812853
3016137088,3,3012069878
4256256669,4,2899084033
1510927020,5,2378936180
2348022161,11,2375591724
3003413003,5,2134894512
4254835652,4,2949263084
4240919528,7,2359012250
4396822715,4,4391375266
4395839464,1,4391375266
4254246269,6,2899084033
4211125893,10,137853624
2004817437,1,4241828763
2233994371,15,1573741930
2544374411,13,177476951
639675212,13,2493685204
2154721759,10,1508370056
2273260666,2,3103684317
2949204722,5,2603296253
2364926229,19,1827687986
2380085852,12,2378381456
2593134510,6,2781743666
3113596434,7,2360706974
623872745,16,2000253826
4400784332,7,2396107736
4230961681,10,1584959432
2385375148,18,1509669512
2799322912,10,1531601525
4205300660,8,2040815895
2967531127,3,3134255553
2596084612,2,2189523688
2808339425,3,65486890
4386764393,9,3111395152
2336087061,15,2071348180
2990395590,8,2006758266
4239810020,3,409584353
4285095777,10,1489783725
2063505451,2,2589107051
2366738224,16,2365243426
4255259852,9,2130043461
4285181652,6,2376932109
4309668866,8,2110740376
2995575898,10,2523575949
2792245914,1,4386824558
2478435749,5,2948807893
4245804551,2,3175319091
1426536486,2,2789462014
2319683596,6,2949263084
2154509739,1,4200053155
3010353828,18,1868932888
4242399673,4,2321737348
2367276989,16,2355751433
2735869910,6,2559405764
4247225792,5,2748952813
4235747537,5,2899084033
2154722030,9,1964097601
2080404341,7,2902782467
2900225333,9,2021573609
419783908,11,267748379
291568964,4,2593699346
4361240440,4,2392804979
333054141,2,350639247
2055605367,9,2002919566
2164855461,3,2900182103
1750183529,6,2078814861
