work_id,sustainable_development_goal_seq,sustainable_development_goal_id,score
2183010315,1,7,0.82
2623928575,1,3,0.79
1610034843,1,5,0.67
2336295765,1,2,0.5
3030084796,1,3,0.89
2742241579,1,4,0.49
4251108810,1,8,0.51
1978963378,1,7,0.89
3139928086,1,6,0.79
2747898199,1,7,0.5
160220938,1,2,0.6
1994828372,1,9,0.42
4281885975,1,9,0.45
234858732,1,9,0.59
2887778529,1,14,0.49
2748951341,1,3,0.76
126327997,1,3,0.7
2095484339,1,15,0.41
2379608969,1,7,0.61
2782201125,1,3,0.67
153562714,1,4,0.74
4396966740,1,4,0.78
1597061692,1,7,0.79
3030790808,1,3,0.69
4238120662,1,5,0.52
375827926,1,11,0.58
4250149764,1,3,0.8
2839879177,1,16,0.53
2167583634,1,7,0.6
2102351073,1,9,0.41
3124969771,1,10,0.46
2954413772,1,13,0.66
1587791415,1,7,0.58
2802550077,1,14,0.48
2612938712,1,4,0.63
974568885,1,5,0.44
3009131485,1,10,0.59
64672814,1,8,0.41
4387952256,1,15,0.45
2222656932,1,11,0.81
2167549712,1,15,0.56
4385368158,1,3,0.73
2047916610,1,16,0.69
2755830388,1,14,0.49
3175525202,1,16,0.51
2950757632,1,6,0.64
2289419605,1,3,0.42
2007306600,1,8,0.6
2626397048,1,4,0.67
2767721262,1,11,0.69
2379533860,1,4,0.62
2789469371,1,10,0.47
2049642699,1,4,0.85
2055311993,1,15,0.43
3129754570,1,10,0.6
2482223763,1,17,0.6
4238063510,1,2,0.57
4252027091,1,3,0.45
4248660851,1,15,0.64
4296573025,1,13,0.41
2935424355,1,11,0.73
3119605346,1,16,0.54
3109303871,1,12,0.41
1542487098,1,17,0.42
2168448881,1,4,0.47
4388769895,1,3,0.47
2787357026,1,11,0.88
4394598810,1,3,0.81
3011203001,1,13,0.59
2036012366,1,3,0.88
2149486978,1,11,0.82
3095040001,1,15,0.42
2269431939,1,4,0.44
2885007038,1,5,0.45
4225479411,1,14,0.72
2789382718,1,10,0.56
2035997451,1,8,0.47
4230334074,1,10,0.73
2148559847,1,9,0.64
4283801285,1,9,0.47
2390713331,1,7,0.85
2486952292,1,2,0.72
4206256781,1,3,0.73
4292301296,1,3,0.5
2317131013,1,11,0.55
2212675391,1,3,0.68
2968980856,1,4,0.81
1489576439,1,6,0.63
4205774259,1,3,0.76
4236378638,1,13,0.5
790866262,1,17,0.42
1985811851,1,3,0.81
1994413805,1,7,0.8
2286617132,1,7,0.9
2979960636,1,5,0.49
4244801170,1,3,0.69
2399543016,1,10,0.59
3031828968,1,2,0.82
4400028567,1,6,0.4
3007498739,1,4,0.46
2180523401,1,2,0.77
2972976707,1,5,0.67
2056752079,1,6,0.55
1418724576,1,8,0.69
4245068458,1,4,0.49
4250098067,1,16,0.71
3188140132,1,15,0.47
3036415495,1,2,0.64
1985043508,1,9,0.6
3015830564,1,11,0.41
2998227197,1,4,0.9
2470733597,1,10,0.76
563401403,1,10,0.56
3142620508,1,3,0.69
2991092324,1,7,0.76
1833901273,1,14,0.42
4399873749,2,10,0.47
1596671277,1,16,0.79
2041428191,1,7,0.88
198357465,1,14,0.68
296606988,1,2,0.52
3164558498,1,5,0.78
992806385,1,14,0.57
4235380234,1,10,0.45
2998927539,1,8,0.5
2037293379,1,9,0.41
1992812788,1,15,0.64
2343804032,1,8,0.41
49301642,1,10,0.49
2754672892,1,17,0.51
2592326808,1,15,0.71
3187103379,1,7,0.43
152151799,1,10,0.44
1985709277,1,4,0.47
4385638456,1,7,0.65
2978947215,1,10,0.43
2966865667,1,14,0.48
2079732768,1,4,0.88
1573137973,1,10,0.43
4391895059,1,7,0.84
4401840023,1,2,0.43
3198963056,1,12,0.47
4285075286,1,10,0.77
4211012660,1,10,0.4
3087688349,1,10,0.64
1040316929,1,11,0.48
2150068662,1,3,0.85
4229542085,1,2,0.57
2016264577,1,17,0.51
909917075,1,15,0.52
1986241847,1,15,0.45
2089437798,1,6,0.8
2060987149,1,2,0.48
1987051027,1,3,0.58
383450249,1,11,0.69
