work_id,title
3005780518,Green Sense: A Smart Assistant for Agriculture Management using IoT and Deep Learning
2480662737,Emphysematous Cholecystitis: A Case Report and Literature Review
4239455627,Xanthan Gum
2157418018,Synthesis of Ferrocenylpyrazole Derivatives.
4200480268,A Review Article on the Challenges in Teaching Tech Savvy Generation
2006142476,Fuzzy stochastic linear programming: Survey and future research directions
4389009239,Üniversite Öğrencilerinin Üçüncü El Sigara Dumanı Farkındalıkları ve Sigaraya Yönelik Algıları: Kesitsel Çalışma
2897033545,Synthesis Optimization and Characterization of Nitrogen-Doped Bamboo-Shaped Carbon Nanotubes
2973079590,A Study on Carbon Balance in full scale landfills
2891076046,"‘Naming en shaming’ of een nieuwe strategie?Een analyse van de strategieën die de internationale mensenrechtenNGO’s Amnesty International en Human Rights Watch gebruiken in huncampagnes voor economische, sociale en culturele rechten."
3043877940,مشكلـة النزاعـات المسلحـة الداخليـة المدولـة (أشكال جديدة تستدعي التأطير القانوني)
3097102905,ホリスティック・ケアとしてのタッチを深める試み-意識とつながりを大事にするワークを通して-
4323286712,"Sammanfattning av doktorsavhandling ”Development and Application of Genomic Resources in Non-model Bird Species.” (Wang B, 2012, Uppsala Universitet)"
4385284573,Биологически активные вещества и ноотропная активность растительного средства
1576271194,Naar een gereedschapskist voor constructieve ethiek
3104622176,Tunnel Construction Workers’ Cognitive Biases and Unsafe Behaviors: The Mediating Effects of Risk Perceptions
2269975186,女性形象的民族文化表达——读张泽忠先生的小说集《蜂巢界》
4236241136,THE DOCTOR'S ROLE IN RURAL HEALTH
3189163813,Origin of the Modern Concept of Probability
4396733692,Public expenditure on infrastructural development and economic growth: Evidence from Nigeria
2046070656,Speed of sound in deuterium oxide relative to normal water as a function of temperature and pressure
3181168232,EVALUASI PENERAPAN SISTEM KESELAMATAN KEBAKARAN MENGGUNAKAN METODE COMPUTERIZED FIRE SAFETY EVALUATION SYSTEM (CFSES) DI GEDUNG PERKANTORAN PT BANK X PALEMBANG
4248390143,Calendar
2889322651,PROGRAMSKA PLATFORMA APLIKACIJ NOVE GENERACIJE
4395456283,The Concept of Total Defense Options of the Republic of Serbia
426132028,"Effect of Growing Conditions, Processing and Storage on the Quality of Tomato Products"
2156416292,The Prediction of Business Cycle Phases: Financial Variables and International Linkages
1930751813,애니메이션을 위한 모션드로잉 교육의 현황과 과제
3120490110,Mechanical Properties Study of Reinforced Thermoplastic Pipes Under A Tensile Load
2115207347,Error‐secure and error‐propagating concepts for strongly fault‐secure systems
2594478404,"Science, décision, action : trois remarques à propos du principe de précaution"
2606214939,"Mladi i sredstva ovisnosti – rezultati istraživanja o stavovima, navikama i korištenju sredstava ovisnosti kod djece i mladih Međimurske županije"
1996386508,Complete rehabilitation of the mandible following segmental resection
2415687349,An investigation into the temporal scaling of community participation measurement.
4231092704,Product and Service Showcase and Spring ACS National Meeting Aisle by Aisle Guide
3159517214,پیشینة درمانگری در سنّت هند و اروپایی، ژرمنی و ایرانی بر اساس شواهد زبان شناختی و اساطیری
