work_id,topic_seq,topic_id,score,is_primary_topic
1988368989,1,10255,0.9999,1
2035962326,2,10513,0.9867,0
2144244742,3,10174,0.9033,0
2015090881,2,12279,0.9482,0
2972726030,3,11446,0.9936,0
2496853471,2,10218,0.6526,0
2090845407,3,11733,0.9941,0
2939997232,2,13668,0.8225,0
2398660615,2,10152,0.9977,0
2789555236,1,11154,0.9982,1
2748195984,3,12465,0.9712,0
4391320497,1,13913,0.9801,1
2040543790,1,10002,0.9995,1
2062968864,3,13372,0.9801,0
3180543553,1,10557,0.4252,1
2027661444,3,13107,0.9501,0
2772691699,1,10567,0.561,1
2024993445,2,12425,0.996,0
1556432222,1,10051,0.9994,1
1998032932,3,12095,0.9648,0
4367060753,1,11438,0.9983,1
2485083604,2,13867,0.9503,0
2607810051,2,12673,0.9972,0
150513387,1,13401,0.7569,1
2151867283,1,10847,0.9999,1
4388749550,3,10378,0.997,0
3111854071,1,10050,0.9998,1
2050253142,2,12423,0.9992,0
2066884931,1,11688,0.9999,1
2028994677,1,10597,0.9996,1
2065409115,1,10831,0.9999,1
2905963683,1,12173,0.9819,1
2245704912,2,14197,0.9996,0
4239092690,3,13127,0.6879,0
2093771229,1,12770,0.9988,1
82924417,1,13509,0.7153,1
4390670691,2,10041,0.9978,0
2167835017,2,13142,0.9973,0
2978309803,3,11279,0.9576,0
2321913012,2,11173,0.9986,0
3015115646,3,11027,0.9915,0
1582345640,1,12573,0.997,1
2170409333,3,13878,0.9934,0
4398160626,2,11249,0.9993,0
2184013158,2,10384,0.9886,0
2511351740,1,12739,0.9722,1
2407023734,3,14459,0.9741,0
3046885822,3,13634,0.9932,0
2160890223,3,10169,0.9875,0
3159844400,3,10502,0.9987,0
2171620714,1,10112,0.9999,1
2982520425,3,12947,0.3047,0
2230288078,1,11206,0.9992,1
2559263809,2,14089,0.9717,0
3049652450,1,11808,0.9377,1
2166673159,3,10291,0.9463,0
4285242471,1,10237,1.0,1
1515354784,2,11694,0.9928,0
2978917957,1,10831,0.9868,1
2077369680,1,11260,1.0,1
3081908356,2,12352,0.7826,0
1987551620,3,11243,0.9388,0
1530198524,3,10965,0.9478,0
53287029,2,11254,0.9968,0
2151563870,2,10589,0.9793,0
2505702321,3,13920,0.9749,0
4235301523,1,10715,0.1983,1
2789321185,3,11063,0.9601,0
4232744365,1,11362,0.1615,1
4253637676,1,11026,0.9727,1
2164218541,1,11767,1.0,1
4235170976,2,10385,0.7071,0
1520323138,3,13147,0.9452,0
2281835805,2,11059,0.7822,0
2252007474,1,10913,0.9999,1
2033146189,1,11663,0.9999,1
2997488464,1,12091,0.9975,1
4238583320,3,10804,0.5578,0
4225248751,3,13445,0.6926,0
2770265081,1,12184,0.9714,1
1983599574,1,12646,0.9972,1
2137668332,2,10209,0.9974,0
69626476,1,11986,0.9996,1
2887980775,3,11151,0.9888,0
4298153946,1,12527,0.1074,1
130686441,2,11174,0.9981,0
3153081875,2,10041,0.9993,0
2088499692,1,10195,0.9999,1
2153251279,1,11161,0.9994,1
4231373772,1,11243,0.9933,1
2908582711,3,14244,0.9008,0
3111333376,1,10715,0.9994,1
2240137896,2,11226,0.9983,0
3112911477,2,13944,0.9548,0
2092655214,2,11244,0.8692,0
3037247607,1,12922,0.9197,1
1985229092,1,10492,0.9804,1
4385663188,1,11414,0.5487,1
1997490573,1,10442,1.0,1
2442717064,3,12492,0.9536,0
2312396333,2,10360,0.9991,0
4401689449,2,10618,0.9844,0
2015415999,2,13143,0.9969,0
2415348996,1,14384,0.313,1
2977760243,3,12921,0.9502,0
3202288011,2,10088,0.9996,0
2412235058,3,12994,0.9978,0
2885193829,1,12200,1.0,1
1559526310,1,13870,0.4823,1
1966604133,2,10965,0.9992,0
3000306186,2,11930,0.9981,0
2069949664,1,11306,0.9811,1
3172011660,2,10928,0.9953,0
4281810670,3,12981,0.9959,0
642695056,1,14362,0.8055,1
3003576014,2,10330,0.9984,0
2205179954,2,12472,0.9926,0
2081810524,2,14249,0.8956,0
1515058776,2,12206,0.9854,0
4252361379,1,11424,0.9999,1
2142707053,1,11768,0.9988,1
3137680467,3,14490,0.9853,0
2322726543,2,12327,0.7164,0
4392462570,2,11478,0.9933,0
4389097556,1,12349,0.9998,1
59068069,3,12454,0.9268,0
1533365466,1,11810,0.7967,1
3011189017,3,11651,0.9973,0
2083278492,2,12468,0.9923,0
236805701,1,12108,0.9999,1
2589289012,2,12588,0.9995,0
3205369430,3,10821,0.978,0
2066491851,1,11531,0.6312,1
1026028255,2,14115,0.9869,0
2967991036,2,14178,0.1902,0
1935209182,3,14412,0.9345,0
2583070064,3,13035,0.9565,0
3154873107,1,14105,0.8872,1
4312693627,3,13556,0.9359,0
4230970648,1,13165,1.0,1
2967518928,2,11652,0.9988,0
2355966315,3,13772,0.9663,0
2086455147,1,11758,1.0,1
2397181335,3,10673,0.9143,0
2912860320,1,11365,0.7822,1
294976494,1,10806,1.0,1
3045550477,3,13178,0.7266,0
4243165803,2,11843,0.1882,0
2086559575,2,11974,0.9996,0
2281201731,1,12803,0.9312,1
2376854555,1,11224,1.0,1
2187919645,3,10144,0.9743,0
3015848484,2,13379,0.9748,0
2963234526,1,10157,0.8464,1
2790121406,2,10684,0.9754,0
3027693909,2,10794,0.6319,0
2625325905,3,10442,0.996,0
4281647006,1,10401,0.997,1
1999854675,2,11405,0.9162,0
2412624268,1,10658,0.9917,1
597854960,1,13086,0.0956,1
2315485171,1,10622,0.9794,1
2936293176,2,10658,0.9879,0
2033468865,1,10082,0.9998,1
1997652710,3,11814,0.8368,0
4399643342,3,13845,0.9686,0
2126961037,2,11161,0.951,0
2741341410,1,10930,0.0847,1
3182546878,1,10421,0.9899,1
4392636558,1,10230,0.4257,1
3162886164,3,10347,0.9946,0
2263904939,3,10423,0.6675,0
2324922572,2,13874,0.9732,0
1990342256,1,10723,0.9999,1
2949460137,3,10270,0.9857,0
4300671155,3,11251,0.9983,0
4386324726,2,10096,0.9976,0
1975140794,1,11878,0.9997,1
4401842378,1,10790,0.9998,1
4388536409,3,13346,0.9698,0
2259425969,3,10037,0.9552,0
4299843516,2,10804,0.6862,0
40538863,1,12599,0.9884,1
1902448825,2,10425,0.9988,0
1984448547,1,10449,1.0,1
2491388595,1,10758,0.9381,1
4391002565,3,11363,0.9968,0
2575705447,2,13376,0.9372,0
1959651944,1,12669,0.9952,1
947931300,2,12712,0.9227,0
4292800977,2,11482,0.9949,0
2090487656,2,13234,0.9512,0
2057121733,2,10075,0.9984,0
2322806554,1,12124,0.5398,1
2074048876,1,12670,0.3566,1
1995222467,2,11245,0.9842,0
1552664234,1,12961,0.7939,1
3179754679,3,13744,0.9386,0
2424003486,2,12093,0.9853,0
3200465425,3,11930,0.99,0
2138245982,1,11472,0.9978,1
3031988341,1,10518,0.9997,1
3014653366,1,12925,0.3776,1
2601929856,1,13049,0.7441,1
2949511711,1,10796,1.0,1
2151928634,2,12389,0.9863,0
2122440217,3,12929,0.9973,0
1176303020,1,12764,0.9429,1
2112558195,3,10818,0.9966,0
4397356759,3,10798,0.9735,0
995682983,3,13225,0.931,0
4389843003,1,10995,0.9491,1
2607663794,1,10172,0.9998,1
4243552844,1,11061,0.9915,1
2176769229,1,10976,0.9479,1
2273296621,2,14128,0.8518,0
2149617416,2,12279,0.9996,0
2846404365,2,14462,0.9552,0
4311341465,2,11857,0.9673,0
2418916588,3,12089,0.9685,0
2559913650,1,10092,0.9999,1
3005108561,3,11636,0.9884,0
4284962175,1,10810,1.0,1
4298260240,2,13754,0.6733,0
2315975654,2,10253,0.999,0
2505131764,1,10181,0.9988,1
4210742682,2,10795,0.9739,0
4392339900,1,10409,0.9991,1
5892993,2,14490,0.9428,0
2308508135,3,12639,0.9486,0
3137852226,1,10391,0.9998,1
4253544743,2,10431,0.814,0
4213151589,2,10379,0.8581,0
1572038479,1,12657,0.9995,1
1981695317,3,12603,0.9899,0
2464913802,1,12763,0.9999,1
2763798052,1,10229,0.9992,1
2264053562,2,12424,0.9964,0
4390936759,2,14021,0.9825,0
4224942142,3,12640,0.9956,0
2787387275,1,13359,0.8542,1
2378100496,3,12436,0.3812,0
4245916417,1,12930,0.8284,1
2170494208,1,11105,0.9999,1
4243790444,2,13193,0.9185,0
4322748594,1,10820,0.8569,1
