work_type_id,work_type
3,book-part
7,dataset
11,journal-article
15,other
18,proceedings
22,reference-entry
26,article
30,paratext
33,retraction
1,book
5,book-set
9,grant
13,journal-volume
16,peer-review
20,proceedings-series
24,report-series
28,erratum
35,supplementary-materials
2,book-chapter
6,component
10,journal
14,monograph
19,proceedings-article
23,report
27,editorial
31,libguides
32,preprint
36,edited-book
4,book-series
8,dissertation
12,journal-issue
17,posted-content
21,reference-book
25,standard
29,letter
34,review
